Vessel Name: 2024.05.30_Cirtuvivint
Metric: KNS-42 Confluence (%)
Cell Type: KNS-42, SMS-KAN
Passage: 1
Notes: Entered by user kconkrite on 6/3/2024 12:36:16 PM:
Cells plated 5/30. 12k/well for 3 day assay, 6k/well for 6 day. Allow to settle 30 minutes before placing in Incucyte. Wait 30 minutes in Incucyte before initiating scan.

5/31- 2 pm. Remove plates from Incucyte, remove 95 uL media from each well. Replace with 100 uL either fresh media, media + DMSO, or Media + Cirtuvivint in serial dilutions. Replace back into Incucyte and continue scanning.
Analysis: KNS-42_20x_klc

Date Time	Elapsed	Fresh Media 100%,KNS-42 (2) 12K / well	DMSO Vehicle 2%,KNS-42 (2) 12K / well	CIrtuvivint 10 µM,KNS-42 (2) 12K / well	CIrtuvivint 5 µM,KNS-42 (2) 12K / well	CIrtuvivint 1 µM,KNS-42 (2) 12K / well	CIrtuvivint 0.5 µM,KNS-42 (2) 12K / well	CIrtuvivint 0.1 µM,KNS-42 (2) 12K / well	CIrtuvivint 0.05 µM,KNS-42 (2) 12K / well	CIrtuvivint 0.01 µM,KNS-42 (2) 12K / well	Fresh Media 100%,KNS-42 (2) 12K / well (Std Err Well)	DMSO Vehicle 2%,KNS-42 (2) 12K / well (Std Err Well)	CIrtuvivint 10 µM,KNS-42 (2) 12K / well (Std Err Well)	CIrtuvivint 5 µM,KNS-42 (2) 12K / well (Std Err Well)	CIrtuvivint 1 µM,KNS-42 (2) 12K / well (Std Err Well)	CIrtuvivint 0.5 µM,KNS-42 (2) 12K / well (Std Err Well)	CIrtuvivint 0.1 µM,KNS-42 (2) 12K / well (Std Err Well)	CIrtuvivint 0.05 µM,KNS-42 (2) 12K / well (Std Err Well)	CIrtuvivint 0.01 µM,KNS-42 (2) 12K / well (Std Err Well)
5/30/2024 3:23:00 PM	0	20.05437	22.48985	22.46046	21.82174	19.39095	20.04413	19.81688	20.24428	20.63499	0.6602337	1.328296	1.819969	1.259486	1.374517	0.6555967	0.8403147	1.131861	0.8018177
5/30/2024 5:23:00 PM	2	30.99161	31.62885	31.38917	32.65497	28.94862	31.41634	30.05997	30.96974	33.37352	0.804162	0.4938809	1.406916	1.916758	1.57338	1.744144	1.439861	0.9256612	1.701205
5/30/2024 7:23:00 PM	4	33.07358	33.63102	33.74896	33.39893	30.78627	32.5849	32.10992	32.54905	34.5901	0.8954098	0.5462419	1.603029	0.8175183	1.577892	0.4995634	1.596774	0.7759411	1.72106
5/30/2024 9:23:00 PM	6	35.8187	36.24953	36.73965	37.58809	34.92726	35.66108	34.89888	36.99724	36.91731	0.867408	0.4620879	1.844423	1.252732	2.499852	0.5800781	1.686124	1.100064	0.7525561
5/30/2024 11:23:00 PM	8	40.13062	41.0719	41.63929	41.41881	37.94857	39.42266	39.41209	41.573	41.40707	1.145529	0.6794702	1.838612	0.8502342	1.913362	0.67432	1.88084	1.08291	1.398492
5/31/2024 1:23:00 AM	10	45.2176	45.12852	46.07922	45.90203	43.00928	43.93848	44.43709	45.8442	46.43661	1.14086	0.9247279	2.281867	0.7845451	2.205674	1.02536	2.229506	1.060744	1.138082
5/31/2024 3:23:00 AM	12	48.60088	50.4021	50.6894	50.01152	47.39714	48.79945	48.79495	50.19562	50.69049	2.299967	1.522583	2.234799	0.7208795	2.544095	0.8679895	2.388336	1.239105	0.6481497
5/31/2024 5:23:00 AM	14	51.57872	53.71083	54.94064	53.33197	51.18352	52.36506	52.63407	54.39914	53.81042	2.732554	1.431437	2.189083	0.7920019	2.589953	1.226533	2.168277	1.889954	0.6238918
5/31/2024 7:23:00 AM	16	56.5461	56.64091	57.48834	56.53984	54.34256	56.14452	55.78435	58.23545	58.0943	1.863344	1.514331	2.310981	1.025406	2.646581	1.331133	1.91399	1.919189	0.7465459
5/31/2024 9:23:00 AM	18	59.42143	59.46801	60.38363	59.83611	55.17931	58.83867	58.75524	61.08991	60.84839	1.406643	1.836732	2.577953	1.385031	3.217741	1.532627	1.951142	2.036427	1.138374
5/31/2024 11:23:00 AM	20	62.49419	62.72297	63.16394	62.80192	59.29076	61.54094	61.21201	64.20193	64.30064	1.502849	1.629981	2.750952	1.475371	2.988093	1.502293	1.839438	2.094259	1.499668
5/31/2024 1:23:00 PM	22	65.47993	65.54646	65.87731	65.32569	61.85373	64.18156	63.75827	66.68633	67.07354	1.510975	1.651265	2.826192	1.511561	2.815758	1.806611	1.833776	2.082017	1.382768
5/31/2024 3:23:00 PM	24	67.34252	66.02957	67.58673	63.49262	63.63002	63.52413	65.44559	67.59939	67.28082	1.56721	1.647117	2.611936	4.016219	2.700533	3.238245	1.965608	2.131491	1.715761
5/31/2024 5:23:00 PM	26	68.41338	66.16998	69.15022	68.54441	65.11816	61.76884	66.53197	69.01096	67.55698	1.53662	1.510745	2.396439	1.644928	2.795342	6.421249	2.022497	2.453108	1.962804
5/31/2024 7:23:00 PM	28	69.58321	66.7416	69.21416	69.55623	67.51222	69.48441	69.11243	71.37467	69.77998	2.102039	1.464193	3.66666	2.776533	2.695119	1.723115	2.071777	2.397844	2.066463
5/31/2024 9:23:00 PM	30	72.02937	68.36845	72.25228	71.48801	70.37603	71.86303	71.02608	72.9663	71.98695	1.683179	1.56545	2.48625	2.299911	2.626666	1.426469	2.277717	2.452437	2.397722
5/31/2024 11:23:00 PM	32	73.88016	68.79928	73.3548	73.87621	72.4941	74.0012	72.25681	74.47086	71.07891	1.747717	1.832781	2.537078	1.757182	2.697037	1.371885	2.271923	2.321158	4.616081
6/1/2024 1:23:00 AM	34	75.89803	69.63665	74.02238	74.298	74.10093	72.19798	73.31763	75.96705	78.04476	1.771481	1.700881	2.448314	2.365274	2.695486	5.043533	2.435898	2.413268	1.311254
6/1/2024 3:23:00 AM	36	78.04002	70.78058	74.4315	75.23499	75.40492	78.03397	75.03511	77.43576	75.11155	1.614007	2.072438	2.434522	2.176323	2.776929	1.108062	2.23323	2.318347	4.359869
6/1/2024 5:23:00 AM	38	77.63403	71.46228	74.69776	75.01955	74.38581	79.36821	77.21349	80.15791	79.88638	1.314171	1.55291	2.279234	3.009811	3.973547	1.126018	2.202839	1.575619	1.371677
6/1/2024 7:23:00 AM	40	77.09895	72.20141	74.60624	77.39199	77.98388	78.3922	79.49035	81.46073	82.80949	2.649643	1.351231	1.900282	1.537129	2.979627	2.894095	2.389918	1.983551	0.9032356
6/1/2024 9:23:00 AM	42	77.84409	73.93649	74.49296	76.05334	79.89567	79.85392	80.86561	82.77306	84.09257	3.029664	1.178217	1.748689	3.173507	2.855775	2.990433	2.145274	1.587647	0.6444795
6/1/2024 11:23:00 AM	44	82.56853	75.25068	74.42953	78.81849	80.83019	80.0275	82.14558	83.93266	84.77193	1.560758	1.240449	1.846069	1.327886	2.928086	5.193882	2.231746	1.4837	0.5552791
