Vessel Name: 2024.05.30_Cirtuvivint-6D
Metric: KNS-42 Confluence (%)
Cell Type: KNS-42, SMS-KAN
Passage: 1
Notes: Entered by user kconkrite on 6/3/2024 12:28:06 PM:
Cells plated 5/30. 12k/well for 3 day assay, 6k/well for 6 day. Allow to settle 30 minutes before placing in Incucyte. Wait 30 minutes in Incucyte before initiating scan.

5/31- 2 pm. Remove plates from Incucyte, remove 95 uL media from each well. Replace with 100 uL either fresh media, media + DMSO, or Media + Cirtuvivint in serial dilutions. Replace back into Incucyte and continue scanning.
Analysis: KNS-42_20x_klc

Date Time	Elapsed	Fresh DMEM 100%,KNS-42 (2) 6K / well	DMSO vehicle 2%,KNS-42 (2) 6K / well	Cirtuvivint 10 µM,KNS-42 (2) 6K / well	Cirtuvivint 5 µM,KNS-42 (2) 6K / well	Cirtuvivint 1 µM,KNS-42 (2) 6K / well	Cirtuvivint 0.5 µM,KNS-42 (2) 6K / well	Cirtuvivint 0.1 µM,KNS-42 (2) 6K / well	Cirtuvivint 0.05 µM,KNS-42 (2) 6K / well	Cirtuvivint 0.01 µM,KNS-42 (2) 6K / well	Fresh DMEM 100%,KNS-42 (2) 6K / well (Std Err Well)	DMSO vehicle 2%,KNS-42 (2) 6K / well (Std Err Well)	Cirtuvivint 10 µM,KNS-42 (2) 6K / well (Std Err Well)	Cirtuvivint 5 µM,KNS-42 (2) 6K / well (Std Err Well)	Cirtuvivint 1 µM,KNS-42 (2) 6K / well (Std Err Well)	Cirtuvivint 0.5 µM,KNS-42 (2) 6K / well (Std Err Well)	Cirtuvivint 0.1 µM,KNS-42 (2) 6K / well (Std Err Well)	Cirtuvivint 0.05 µM,KNS-42 (2) 6K / well (Std Err Well)	Cirtuvivint 0.01 µM,KNS-42 (2) 6K / well (Std Err Well)
5/30/2024 3:23:00 PM	0	13.22566	15.19251	14.63712	13.98945	12.58367	12.47895	12.34261	14.13355	12.43522	0.7742772	1.944567	0.4855433	0.6097628	0.6335092	0.3569069	0.5983607	0.8919583	0.2626873
5/30/2024 5:23:00 PM	2	17.0962	18.92126	17.74011	17.84558	17.40811	15.88395	17.09364	18.23526	16.8449	0.5981361	1.732567	0.8947951	0.4290522	0.6960493	0.7415167	0.9432803	1.072155	0.412529
5/30/2024 7:23:00 PM	4	18.30097	19.33649	20.07165	18.68047	18.4724	16.62744	17.11464	18.30045	17.69183	0.6644374	1.687817	0.4624221	0.4143377	0.6435872	0.6723136	0.5359443	0.3894809	0.3594012
5/30/2024 9:23:00 PM	6	19.14155	19.71154	20.03648	19.34839	19.87041	17.98836	18.40429	19.49348	18.72124	0.6432216	1.09146	0.9773806	0.5856799	0.7372901	0.5487731	0.5725734	0.5890003	0.3524815
5/30/2024 11:23:00 PM	8	20.85448	22.07938	22.97141	21.56546	22.35455	19.92556	20.05803	21.03366	20.80457	0.8505138	1.227783	1.154035	0.3575559	0.8734288	0.737918	0.4620991	0.8066981	0.3904243
5/31/2024 1:23:00 AM	10	24.05641	24.44751	24.93068	24.42722	25.47525	22.46353	22.5221	23.39693	23.28293	0.7092763	1.353069	0.7217202	0.3577265	1.107587	0.9512417	0.3336552	0.9067687	0.3935846
5/31/2024 3:23:00 AM	12	26.42922	26.74716	27.38679	26.96891	28.60966	25.71081	25.02419	26.33441	25.93801	0.8052505	1.581835	0.8146555	0.6067514	1.434932	1.109947	0.2456819	1.035101	0.3943241
5/31/2024 5:23:00 AM	14	28.78983	28.93867	29.81355	29.74944	31.04655	27.85732	26.59384	28.62823	28.55028	0.9338455	1.613154	0.8361386	0.562151	1.571112	1.215543	0.03995493	0.9707171	0.441261
5/31/2024 7:23:00 AM	16	30.56481	30.90523	31.50215	31.36182	33.22033	29.59609	28.51307	29.83802	29.8235	0.8325845	1.892364	1.068107	0.8472298	1.654757	1.225624	0.2734204	1.040506	0.4877658
5/31/2024 9:23:00 AM	18	31.8516	32.01987	33.01236	33.14377	35.05317	30.68244	29.79302	31.12	31.22908	0.8723949	1.849012	1.09041	1.041525	1.624846	1.303564	0.2119553	0.8398535	0.6500695
5/31/2024 11:23:00 AM	20	33.52571	33.98079	34.95222	34.50213	36.80065	32.28561	31.32913	32.65392	32.87136	0.9606298	1.904085	1.213808	0.6964498	1.69596	1.088798	0.409688	1.061017	0.7406254
5/31/2024 1:23:00 PM	22	35.21132	35.45546	36.48387	35.9264	38.67184	33.53283	32.63509	34.08749	34.54627	1.033785	1.956501	0.8929884	0.4326108	1.585042	0.8910468	0.6323782	1.128793	0.851315
5/31/2024 3:23:00 PM	24	36.45972	35.81033	38.10197	37.93953	40.91555	34.98314	34.42686	35.4757	35.93298	0.9849586	2.073052	1.233925	0.4344215	1.33052	0.7489659	0.6382831	1.170888	0.8645753
5/31/2024 5:23:00 PM	26	37.01817	35.53489	39.19916	39.43777	42.56913	37.12473	36.27602	34.71596	35.70856	1.056468	1.765745	1.502873	0.2183771	1.809792	1.321015	0.7786955	0.3657196	1.110175
5/31/2024 7:23:00 PM	28	38.98935	36.94803	40.21368	40.68804	44.69528	38.14728	37.26262	38.06367	38.79049	1.137795	2.295405	1.689324	0.1622222	1.250347	0.9878574	0.8054668	1.279591	0.7996842
5/31/2024 9:23:00 PM	30	40.76694	37.46986	41.3755	42.26723	46.2007	39.48229	37.99692	39.09158	40.12394	0.9531588	2.216792	1.91453	0.117117	1.1704	0.7973209	0.7092639	1.293002	0.8338668
5/31/2024 11:23:00 PM	32	42.59066	38.60066	42.01959	43.65785	47.88896	40.27556	39.03558	40.7154	41.59102	0.9397864	2.26707	1.867712	0.104841	1.46502	0.8211031	0.6481653	1.218501	0.8940018
6/1/2024 1:23:00 AM	34	44.21591	39.36199	42.47866	44.62999	49.3709	42.55198	39.70111	41.75843	42.99226	1.076337	2.596904	1.953634	0.2211513	1.713026	1.228464	0.6617865	1.207759	0.5807852
6/1/2024 3:23:00 AM	36	45.4549	40.53687	42.57019	45.39844	51.00255	44.11975	40.63252	43.52685	44.45172	1.284872	2.344475	1.906203	0.1448781	1.51969	1.300837	0.9464774	1.096241	0.550372
6/1/2024 5:23:00 AM	38	46.9395	41.67459	42.50418	46.125	51.8976	45.03965	42.41019	44.63879	45.52889	1.045054	2.101263	1.830173	0.1065152	1.995382	1.041479	0.5141684	0.972901	0.8620598
6/1/2024 7:23:00 AM	40	48.41876	43.31067	42.73203	46.49919	54.2733	46.603	43.56368	46.38235	47.55267	1.342814	2.624362	1.817621	0.2711008	1.684469	1.119817	0.8968222	1.399558	0.6833581
6/1/2024 9:23:00 AM	42	49.46019	44.34966	42.89959	47.09998	55.71977	47.9436	45.43178	47.66881	48.82166	1.588999	2.590346	2.031032	0.1934002	1.761996	1.011423	1.188371	1.429783	0.8871024
6/1/2024 11:23:00 AM	44	51.24164	45.50055	42.88707	47.53625	57.0371	49.51721	46.69145	48.94421	49.79341	1.14152	2.707055	1.943499	0.26785	1.798583	1.158398	1.23356	1.23079	0.9912237
6/1/2024 1:23:00 PM	46	52.36779	46.31939	42.84941	47.66758	58.19835	50.36572	47.83489	49.69806	50.49887	1.26796	2.334542	1.985996	0.2228356	1.915269	0.9351591	1.227625	1.042656	0.8777995
6/1/2024 3:23:00 PM	48	52.9562	47.99901	42.67717	47.88446	58.8992	51.41993	48.63424	50.30534	51.52005	1.190229	2.907571	1.939731	0.1450375	1.871958	1.046406	1.611126	0.9993423	0.726673
6/1/2024 5:23:00 PM	50	53.88055	49.18628	42.7397	47.98184	59.9934	52.61562	49.1383	50.4728	52.37696	1.233819	3.037681	2.100019	0.03875199	1.953289	1.161035	1.556026	1.343525	0.9271805
6/1/2024 7:23:00 PM	52	54.06878	50.39028	42.48769	48.05768	60.86237	53.28582	49.48943	50.56215	52.89098	1.231182	2.876841	2.041832	0.04272534	1.977987	1.441717	1.280379	1.266549	0.9943431
6/1/2024 9:23:00 PM	54	54.96956	51.43174	42.23919	48.09782	61.13865	53.99305	49.87885	51.17265	53.04528	1.158744	2.759934	1.966711	0.05472714	1.870078	1.220948	1.389425	1.073588	0.8121892
6/1/2024 11:23:00 PM	56	55.92902	52.85406	41.9561	48.12676	61.55122	54.63795	51.30111	51.91463	54.62166	1.058111	2.681783	1.986128	0.07605904	1.834172	1.248271	1.566136	1.540188	0.577095
6/2/2024 1:23:00 AM	58	57.4552	53.43808	41.78021	48.12868	62.19897	55.25415	52.82492	53.40553	55.95063	1.055559	2.69881	2.007669	0.03329148	1.856579	1.113543	1.219564	1.479409	0.5911459
6/2/2024 3:23:00 AM	60	58.47197	54.03936	41.72608	48.19021	62.43797	56.70239	53.32949	54.45653	56.73037	1.140649	2.551805	2.08433	0.02082658	2.021824	1.390018	1.045028	1.232835	0.5535161
6/2/2024 5:23:00 AM	62	59.04334	55.14149	41.68937	47.96675	62.31034	56.39395	54.28694	55.28599	57.32885	1.248918	2.77498	1.970822	0.05263573	2.116379	1.403759	0.9684261	1.237818	0.8354681
6/2/2024 7:23:00 AM	64	60.26656	53.86665	41.27266	47.83208	62.4342	56.88075	55.16194	55.29669	58.37264	1.253141	2.974837	1.75166	0.0132269	2.24758	1.222415	1.116257	1.463225	0.7493966
6/2/2024 9:23:00 AM	66	61.64337	54.86411	41.16795	47.71732	63.36003	58.41368	56.61892	57.40349	59.41519	1.154134	2.682142	1.762187	0.1034021	1.816418	1.288797	0.9225964	1.471558	0.3150634
6/2/2024 11:23:00 AM	68	62.45389	56.80325	41.13364	47.51181	63.3629	59.48557	57.13563	58.50055	59.91417	1.294424	2.506478	1.69437	0.1199195	1.735911	1.361237	1.043958	1.368512	0.3056919
6/2/2024 1:23:00 PM	70	63.71354	57.72972	40.98092	47.42581	63.59741	59.87358	57.97033	59.46558	61.37204	1.174731	2.565096	1.703975	0.1111405	1.668005	1.383466	1.01941	1.592296	0.7032129
6/2/2024 3:23:00 PM	72	64.47627	58.00352	40.82102	47.29294	63.74722	60.44972	58.80613	60.41312	62.82419	1.351383	2.345475	1.668592	0.08384153	1.715527	1.725591	1.233812	1.727876	0.687216
6/2/2024 5:23:00 PM	74	65.30145	58.18254	40.64778	47.27217	63.55858	60.75301	59.80161	61.68204	64.01319	1.296669	2.029666	1.675687	0.1011218	1.641735	1.440581	1.338542	1.729765	0.9418451
6/2/2024 7:23:00 PM	76	66.67121	59.80433	40.5016	47.33675	64.00489	61.15063	60.85408	62.23175	65.1225	1.029386	2.785824	1.695984	0.001348164	1.772595	1.542136	1.045193	1.906779	1.051086
6/2/2024 9:23:00 PM	78	67.44038	60.15006	40.46468	47.39901	64.21978	61.73343	61.16289	63.0475	66.02691	1.170997	3.121865	1.696628	0.03860354	1.785409	1.305176	0.8375334	1.973439	0.7302066
6/2/2024 11:23:00 PM	80	68.23896	60.45706	40.36116	47.32353	64.05099	61.66844	61.99533	64.05581	67.36106	1.412834	2.933312	1.802838	0.1919402	1.56969	1.147707	0.7990017	1.943577	1.007207
6/3/2024 1:23:00 AM	82	69.42527	61.37201	40.3601	47.14451	63.64679	61.86512	62.66491	64.93548	68.33283	1.309571	2.920303	1.862259	0.1799947	1.62468	1.226988	0.9560859	1.910204	0.8876751
6/3/2024 3:23:00 AM	84	70.01877	62.96006	40.27597	47.02409	64.09174	62.5043	62.98941	65.63865	69.56359	1.530397	3.305978	1.957329	0.09543662	1.677404	1.115749	0.9446545	1.919023	0.8581444
6/3/2024 5:23:00 AM	86	71.86713	63.0839	40.10637	46.96732	64.11208	63.05734	63.88539	66.3496	70.47272	1.156565	3.050345	1.818057	0.1157437	1.5722	0.902786	0.8291752	1.875309	0.847672
6/3/2024 7:23:00 AM	88	72.92295	62.75991	40.08071	46.98395	64.07811	63.14034	64.73466	66.99217	71.22881	1.201822	2.41645	1.820066	0.08042489	1.590255	0.9167569	0.8921202	1.693951	0.6729138
6/3/2024 9:23:00 AM	90	73.85889	65.01875	39.82151	46.90794	63.66319	63.4363	65.78755	67.88149	71.92574	1.309259	3.129475	1.930204	0.06941262	1.694162	0.8733236	1.014362	1.571694	1.003626
6/3/2024 11:23:00 AM	92	74.79929	65.69921	39.79152	46.94652	64.0116	63.1205	66.55418	68.78185	72.84076	1.310183	2.956524	1.853429	0.1329835	1.42039	1.268745	1.189557	1.620329	0.9919869
6/3/2024 1:23:00 PM	94	76.03144	66.06611	39.60993	46.79308	64.19724	63.31762	67.28738	69.97759	73.85534	1.17708	2.999975	1.819057	0.2099346	1.560844	1.094939	0.9602799	1.628705	0.9935441
