sample_id	geneset	gsva_score
CTRL1	HALLMARK_ADIPOGENESIS	0.37555269842265615
CTRL2	HALLMARK_ADIPOGENESIS	0.64063161232825
CTRL3	HALLMARK_ADIPOGENESIS	-0.010246373647881446
Treated1	HALLMARK_ADIPOGENESIS	-0.08251748251747992
Treated2	HALLMARK_ADIPOGENESIS	-0.45712237524863775
Treated3	HALLMARK_ADIPOGENESIS	-0.20511363636362434
CTRL1	HALLMARK_ALLOGRAFT_REJECTION	-0.20183607949268842
CTRL2	HALLMARK_ALLOGRAFT_REJECTION	0.006502300619950219
CTRL3	HALLMARK_ALLOGRAFT_REJECTION	-0.4640072896628481
Treated1	HALLMARK_ALLOGRAFT_REJECTION	0.14569048478287244
Treated2	HALLMARK_ALLOGRAFT_REJECTION	0.41766268260292183
Treated3	HALLMARK_ALLOGRAFT_REJECTION	0.30993832510582897
CTRL1	HALLMARK_ANDROGEN_RESPONSE	-0.11797210872012404
CTRL2	HALLMARK_ANDROGEN_RESPONSE	0.6906692918643677
CTRL3	HALLMARK_ANDROGEN_RESPONSE	-0.283145450552661
Treated1	HALLMARK_ANDROGEN_RESPONSE	-0.756076816090714
Treated2	HALLMARK_ANDROGEN_RESPONSE	-0.31844601747866363
Treated3	HALLMARK_ANDROGEN_RESPONSE	0.07342465237334439
CTRL1	HALLMARK_ANGIOGENESIS	0.24679487179487353
CTRL2	HALLMARK_ANGIOGENESIS	0.2581168831168847
CTRL3	HALLMARK_ANGIOGENESIS	0.3166666666666686
Treated1	HALLMARK_ANGIOGENESIS	-0.5124999999999953
Treated2	HALLMARK_ANGIOGENESIS	-0.2430555555555518
Treated3	HALLMARK_ANGIOGENESIS	-0.26805555555555177
CTRL1	HALLMARK_APICAL_JUNCTION	0.18761788096210208
CTRL2	HALLMARK_APICAL_JUNCTION	-0.09906038364713009
CTRL3	HALLMARK_APICAL_JUNCTION	0.005592258252502508
Treated1	HALLMARK_APICAL_JUNCTION	0.2617429488624764
Treated2	HALLMARK_APICAL_JUNCTION	-0.28243013215313745
Treated3	HALLMARK_APICAL_JUNCTION	-0.20887938549109364
CTRL1	HALLMARK_APICAL_SURFACE	0.6726768377253816
CTRL2	HALLMARK_APICAL_SURFACE	-0.20943134535367514
CTRL3	HALLMARK_APICAL_SURFACE	0.29542302357836364
Treated1	HALLMARK_APICAL_SURFACE	0.43411927877947315
Treated2	HALLMARK_APICAL_SURFACE	-0.864077669902912
Treated3	HALLMARK_APICAL_SURFACE	-0.40360610263522845
CTRL1	HALLMARK_APOPTOSIS	-0.22973064981752866
CTRL2	HALLMARK_APOPTOSIS	-0.2095695921024101
CTRL3	HALLMARK_APOPTOSIS	-0.33979906682721084
Treated1	HALLMARK_APOPTOSIS	0.28385804769001316
Treated2	HALLMARK_APOPTOSIS	-0.04887500000000217
Treated3	HALLMARK_APOPTOSIS	0.4098303966632622
CTRL1	HALLMARK_BILE_ACID_METABOLISM	-0.877947295423023
CTRL2	HALLMARK_BILE_ACID_METABOLISM	-0.8169209431345348
CTRL3	HALLMARK_BILE_ACID_METABOLISM	-0.9472954230235777
Treated1	HALLMARK_BILE_ACID_METABOLISM	0.9334257975034674
Treated2	HALLMARK_BILE_ACID_METABOLISM	0.9223300970873787
Treated3	HALLMARK_BILE_ACID_METABOLISM	0.8807212205270458
CTRL1	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.7270148347853449
CTRL2	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.7041471921938854
CTRL3	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.6845131594392515
Treated1	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.2798167567395822
Treated2	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.7310079561848325
Treated3	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.778550666419073
CTRL1	HALLMARK_COAGULATION	0.719444444444445
CTRL2	HALLMARK_COAGULATION	0.008333333333335802
CTRL3	HALLMARK_COAGULATION	0.7345986038394414
Treated1	HALLMARK_COAGULATION	0.42601936799184625
Treated2	HALLMARK_COAGULATION	-0.8361111111111053
Treated3	HALLMARK_COAGULATION	-0.2513888888888851
CTRL1	HALLMARK_COMPLEMENT	-0.13879852635552026
CTRL2	HALLMARK_COMPLEMENT	-0.2703889860458582
CTRL3	HALLMARK_COMPLEMENT	-0.06885803999165063
Treated1	HALLMARK_COMPLEMENT	0.47375474778924237
Treated2	HALLMARK_COMPLEMENT	-0.10936256931070737
Treated3	HALLMARK_COMPLEMENT	0.13998202958985453
CTRL1	HALLMARK_DNA_REPAIR	0.20986094646395695
CTRL2	HALLMARK_DNA_REPAIR	-0.30439082689788094
CTRL3	HALLMARK_DNA_REPAIR	-0.023706891672532704
Treated1	HALLMARK_DNA_REPAIR	-0.24058061383481472
Treated2	HALLMARK_DNA_REPAIR	-0.16051215456594886
Treated3	HALLMARK_DNA_REPAIR	-0.09361965987450174
CTRL1	HALLMARK_E2F_TARGETS	-0.39650553859036086
CTRL2	HALLMARK_E2F_TARGETS	-0.07996135973199844
CTRL3	HALLMARK_E2F_TARGETS	0.025680481824458895
Treated1	HALLMARK_E2F_TARGETS	-0.009598728955171498
Treated2	HALLMARK_E2F_TARGETS	0.0957649616049332
Treated3	HALLMARK_E2F_TARGETS	0.0970872901695018
CTRL1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5248335809739321
CTRL2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.09574419954166766
CTRL3	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.2634520119056165
Treated1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.4216718420567372
Treated2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.08791283622744178
Treated3	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.3836919160426845
CTRL1	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.2588451873064124
CTRL2	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.12145178764897084
CTRL3	HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.27323943661971706
Treated1	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.30713247456267906
Treated2	HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.3748268217431623
Treated3	HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.10257387988560443
CTRL1	HALLMARK_ESTROGEN_RESPONSE_LATE	-0.041394028665380445
CTRL2	HALLMARK_ESTROGEN_RESPONSE_LATE	0.060835942898306905
CTRL3	HALLMARK_ESTROGEN_RESPONSE_LATE	-0.2728551336146283
Treated1	HALLMARK_ESTROGEN_RESPONSE_LATE	0.3647561453138981
Treated2	HALLMARK_ESTROGEN_RESPONSE_LATE	-0.29624661265949703
Treated3	HALLMARK_ESTROGEN_RESPONSE_LATE	0.09746715231947223
CTRL1	HALLMARK_FATTY_ACID_METABOLISM	0.17161410018552692
CTRL2	HALLMARK_FATTY_ACID_METABOLISM	0.5782187172159345
CTRL3	HALLMARK_FATTY_ACID_METABOLISM	0.1247695084153908
Treated1	HALLMARK_FATTY_ACID_METABOLISM	-0.3283718937019394
Treated2	HALLMARK_FATTY_ACID_METABOLISM	-0.65369931807948
Treated3	HALLMARK_FATTY_ACID_METABOLISM	-0.005571030640669772
CTRL1	HALLMARK_G2M_CHECKPOINT	-0.25992265522951313
CTRL2	HALLMARK_G2M_CHECKPOINT	0.14956104467305958
CTRL3	HALLMARK_G2M_CHECKPOINT	0.11769574048929268
Treated1	HALLMARK_G2M_CHECKPOINT	0.2268530841195202
Treated2	HALLMARK_G2M_CHECKPOINT	0.16906239806012702
Treated3	HALLMARK_G2M_CHECKPOINT	-0.12202532703038432
CTRL1	HALLMARK_GLYCOLYSIS	-0.422661491964335
CTRL2	HALLMARK_GLYCOLYSIS	0.28811205178231886
CTRL3	HALLMARK_GLYCOLYSIS	0.4438484821508051
Treated1	HALLMARK_GLYCOLYSIS	-0.06142751661334159
Treated2	HALLMARK_GLYCOLYSIS	-0.5463204698179974
Treated3	HALLMARK_GLYCOLYSIS	0.49021560535717623
CTRL1	HALLMARK_HEDGEHOG_SIGNALING	0.6791741272300511
CTRL2	HALLMARK_HEDGEHOG_SIGNALING	-0.34953504974832483
CTRL3	HALLMARK_HEDGEHOG_SIGNALING	0.03848062950308395
Treated1	HALLMARK_HEDGEHOG_SIGNALING	0.3036105184405218
Treated2	HALLMARK_HEDGEHOG_SIGNALING	-0.22746866443153313
Treated3	HALLMARK_HEDGEHOG_SIGNALING	-0.160461548759183
CTRL1	HALLMARK_HEME_METABOLISM	-0.3851283588327443
CTRL2	HALLMARK_HEME_METABOLISM	0.13102821804912385
CTRL3	HALLMARK_HEME_METABOLISM	-0.062121244221471916
Treated1	HALLMARK_HEME_METABOLISM	0.05210872528297411
Treated2	HALLMARK_HEME_METABOLISM	-0.14513923804987466
Treated3	HALLMARK_HEME_METABOLISM	0.45861593056783434
CTRL1	HALLMARK_HYPOXIA	-0.6829892901439356
CTRL2	HALLMARK_HYPOXIA	-0.7558418674000208
CTRL3	HALLMARK_HYPOXIA	-0.7580651276801125
Treated1	HALLMARK_HYPOXIA	0.7791315536173832
Treated2	HALLMARK_HYPOXIA	0.6334906080299154
Treated3	HALLMARK_HYPOXIA	0.741636756628134
CTRL1	HALLMARK_IL2_STAT5_SIGNALING	-0.3258031100076979
CTRL2	HALLMARK_IL2_STAT5_SIGNALING	-0.5846379967489398
CTRL3	HALLMARK_IL2_STAT5_SIGNALING	-0.5327031354925267
Treated1	HALLMARK_IL2_STAT5_SIGNALING	0.46219172664577224
Treated2	HALLMARK_IL2_STAT5_SIGNALING	0.33426770757703717
Treated3	HALLMARK_IL2_STAT5_SIGNALING	0.46097038207117147
CTRL1	HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.6481293002606543
CTRL2	HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.1921208910082327
CTRL3	HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.6136585152168809
Treated1	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.5432717887446211
Treated2	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.4016343344995702
Treated3	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.7444036506034243
CTRL1	HALLMARK_INFLAMMATORY_RESPONSE	-0.5894283110063563
CTRL2	HALLMARK_INFLAMMATORY_RESPONSE	0.06473102896056887
CTRL3	HALLMARK_INFLAMMATORY_RESPONSE	-0.5353155069955134
Treated1	HALLMARK_INFLAMMATORY_RESPONSE	0.4903694824683431
Treated2	HALLMARK_INFLAMMATORY_RESPONSE	0.2405354021257881
Treated3	HALLMARK_INFLAMMATORY_RESPONSE	0.5667140351938077
CTRL1	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.5062019269694821
CTRL2	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.020601960916294737
CTRL3	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.5375858524606503
Treated1	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3700172040571316
Treated2	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5116454971345606
Treated3	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6701654021614499
CTRL1	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.3634104458937938
CTRL2	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.08727258092236265
CTRL3	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.3629702473920658
Treated1	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.16326659110943378
Treated2	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4356138900372057
Treated3	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.10956483167577516
CTRL1	HALLMARK_KRAS_SIGNALING_DN	-0.09443332073456229
CTRL2	HALLMARK_KRAS_SIGNALING_DN	-0.20639730101883139
CTRL3	HALLMARK_KRAS_SIGNALING_DN	-0.6602241426885154
Treated1	HALLMARK_KRAS_SIGNALING_DN	0.373105171398053
Treated2	HALLMARK_KRAS_SIGNALING_DN	0.10158316154107905
Treated3	HALLMARK_KRAS_SIGNALING_DN	-0.3427178399792652
CTRL1	HALLMARK_KRAS_SIGNALING_UP	-0.3471965036720896
CTRL2	HALLMARK_KRAS_SIGNALING_UP	-0.6685843075547536
CTRL3	HALLMARK_KRAS_SIGNALING_UP	-0.25822597195303376
Treated1	HALLMARK_KRAS_SIGNALING_UP	0.1232096867328134
Treated2	HALLMARK_KRAS_SIGNALING_UP	0.55939297923788
Treated3	HALLMARK_KRAS_SIGNALING_UP	0.4593352443412939
CTRL1	HALLMARK_MITOTIC_SPINDLE	0.4160599482970419
CTRL2	HALLMARK_MITOTIC_SPINDLE	-0.11366413004089697
CTRL3	HALLMARK_MITOTIC_SPINDLE	0.027053948521793714
Treated1	HALLMARK_MITOTIC_SPINDLE	0.17913066877802497
Treated2	HALLMARK_MITOTIC_SPINDLE	-0.3994557590928063
Treated3	HALLMARK_MITOTIC_SPINDLE	-0.4541721020197032
CTRL1	HALLMARK_MTORC1_SIGNALING	-0.1642119788764173
CTRL2	HALLMARK_MTORC1_SIGNALING	0.11701941380147793
CTRL3	HALLMARK_MTORC1_SIGNALING	-0.4610780568533239
Treated1	HALLMARK_MTORC1_SIGNALING	0.09695393329865248
Treated2	HALLMARK_MTORC1_SIGNALING	-0.4642803941944095
Treated3	HALLMARK_MTORC1_SIGNALING	0.015488639043948926
CTRL1	HALLMARK_MYC_TARGETS_V1	-0.6065672317779914
CTRL2	HALLMARK_MYC_TARGETS_V1	-0.30025259885359196
CTRL3	HALLMARK_MYC_TARGETS_V1	0.011717095327160615
Treated1	HALLMARK_MYC_TARGETS_V1	-0.0054061287300960215
