gene	plot_type	plot_subtype
AAK1	Other	Kinase
AATF	Oncogene	Other Oncogene
AATK	Other	Kinase
ABCA1	Oncogene	Other Oncogene
ABCA3	Oncogene	Other Oncogene
ABCB1	Oncogene	Other Oncogene
ABCB10	Oncogene	Other Oncogene
ABCB4	Oncogene	Other Oncogene
ABCB5	Oncogene	Other Oncogene
ABCB8	Oncogene	Other Oncogene
ABCC1	Oncogene	Other Oncogene
ABCG2	Tumor Suppressor	Other Tumor Suppressor
ABHD2	Oncogene	Other Oncogene
ABI1	Oncogene	Other Oncogene
ABI2	Tumor Suppressor	Other Tumor Suppressor
ABL1	Oncogene	Kinase
ABL2	Oncogene	Kinase
ABO	Oncogene	Other Oncogene
ABR	Oncogene	Other Oncogene
ABTB2	Oncogene	Other Oncogene
AC008770.3	Other	Transcription Factor
AC023509.3	Other	Transcription Factor
AC092835.1	Other	Transcription Factor
AC138696.1	Other	Transcription Factor
ACADM	Oncogene	Other Oncogene
ACAP1	Oncogene	Other Oncogene
ACCS	Oncogene	Other Oncogene
ACHE	Tumor Suppressor	Other Tumor Suppressor
ACK	Other	Kinase
ACKR3	Oncogene	Other Oncogene
ACSL3	Oncogene	Other Oncogene
ACSL5	Oncogene	Other Oncogene
ACSL6	Oncogene	Other Oncogene
ACTB	Oncogene	Epigenetic
ACTL9	Oncogene	Other Oncogene
ACTR2	Other	Kinase
ACTR2B	Other	Kinase
ACVR1	Other	Kinase
ACVR1B	Oncogene	Kinase
ACVR1C	Tumor Suppressor	Kinase
ACVR2A	Oncogene	Kinase
ACVR2B	Other	Kinase
ACVRL1	Other	Kinase
ACY1	Tumor Suppressor	Other Tumor Suppressor
ADAM12	Oncogene	Other Oncogene
ADAM23	Oncogene	Other Oncogene
ADAM29	Oncogene	Other Oncogene
ADAM9	Oncogene	Other Oncogene
ADAMTS1	Oncogene	Other Oncogene
ADAMTS15	Oncogene	Other Oncogene
ADAMTS18	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
ADAMTS8	Tumor Suppressor	Other Tumor Suppressor
ADAMTS9	Tumor Suppressor	Other Tumor Suppressor
ADAMTS9-AS2	Tumor Suppressor	Other Tumor Suppressor
ADAMTSL3	Oncogene	Other Oncogene
ADARB1	Tumor Suppressor	Other Tumor Suppressor
ADARB2	Oncogene	Other Oncogene
ADCK1	Other	Kinase
ADCK2	Other	Kinase
ADCK3	Other	Kinase
ADCK4	Other	Kinase
ADCK5	Other	Kinase
ADD3	Oncogene	Other Oncogene
ADGRE5	Oncogene	Other Oncogene
ADGRL2	Oncogene	Other Oncogene
ADIPOR1	Oncogene	Other Oncogene
ADNP	Other	Epigenetic
ADNP2	Other	Transcription Factor
ADPRH	Tumor Suppressor	Other Tumor Suppressor
AEBP1	Other	Transcription Factor
AEBP2	Other	Epigenetic
AFAP1L2	Tumor Suppressor	Other Tumor Suppressor
AFDN	Oncogene	Other Oncogene
AFF1	Oncogene	Other Oncogene
AFF3	Oncogene	Other Oncogene
AFF4	Oncogene	Other Oncogene
AGAP2	Oncogene	Other Oncogene
AGER	Oncogene	Other Oncogene
AGTR1	Tumor Suppressor	Other Tumor Suppressor
AHCTF1	Other	Transcription Factor
AHCYL1	Tumor Suppressor	Other Tumor Suppressor
AHDC1	Other	Transcription Factor
AHI1	Oncogene	Other Oncogene
AHNAK	Tumor Suppressor	Other Tumor Suppressor
AHR	Tumor Suppressor	Transcription Factor
AHRR	Tumor Suppressor	Transcription Factor
AIF1	Tumor Suppressor	Other Tumor Suppressor
AIFM1	Oncogene	Other Oncogene
AIFM2	Oncogene	Other Oncogene
AIM2	Tumor Suppressor	Other Tumor Suppressor
AIMP1	Tumor Suppressor	Other Tumor Suppressor
AIMP2	Tumor Suppressor	Other Tumor Suppressor
AIP	Tumor Suppressor	Other Tumor Suppressor
AIRE	Other	Epigenetic
AJAP1	Tumor Suppressor	Other Tumor Suppressor
AKAP12	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
AKAP13	Oncogene	Other Oncogene
AKAP8	Other	Transcription Factor
AKAP8L	Other	Transcription Factor
AKAP9	Oncogene	Other Oncogene
AKNA	Other	Transcription Factor
AKR1B1	Tumor Suppressor	Other Tumor Suppressor
AKR1C3	Oncogene	Other Oncogene
AKT1	Oncogene	Kinase
AKT2	Oncogene	Kinase
AKT3	Oncogene	Kinase
ALAD	Oncogene	Other Oncogene
ALDH18A1	Other	Kinase
ALDH1A2	Tumor Suppressor	Other Tumor Suppressor
ALDH2	Oncogene	Other Oncogene
ALDOB	Oncogene	Other Oncogene
ALG14	Oncogene	Other Oncogene
ALK	Oncogene	Kinase
ALK1	Other	Kinase
ALK2	Other	Kinase
ALK4	Other	Kinase
ALK7	Other	Kinase
ALOX12	Oncogene	Other Oncogene
ALOX15	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
ALOX15B	Tumor Suppressor	Other Tumor Suppressor
ALOX5	Oncogene	Other Oncogene
ALPK1	Other	Kinase
ALPK2	Other	Kinase
ALPK3	Other	Kinase
ALPL	Tumor Suppressor	Other Tumor Suppressor
ALS2CL	Oncogene	Other Oncogene
ALX1	Other	Transcription Factor
ALX3	Other	Transcription Factor
ALX4	Other	Transcription Factor
AMER1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
AMFR	Oncogene	Other Oncogene
AMH	Tumor Suppressor	Other Tumor Suppressor
AMHR2	Other	Kinase
AMOT	Oncogene	Other Oncogene
