pathway	treat_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_APOPTOSIS	-0.24596109321937365	-0.1063475254754029	-0.13961356774397077	3	0.7
HALLMARK_BILE_ACID_METABOLISM	-0.4116461227613465	0.3226043930548559	-0.7342505158162024	0	0.1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.22161762825124648	0.08253633878467193	-0.3041539670359184	1	0.2
HALLMARK_DNA_REPAIR	-0.32352973281606984	0.06935689841357237	-0.3928866312296422	1	0.2
HALLMARK_E2F_TARGETS	-0.41124560988385395	0.1485639510253827	-0.5598095609092366	1	0.2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.11883278425945958	-0.009802333148503	-0.10903045111095658	4	1
HALLMARK_FATTY_ACID_METABOLISM	-0.3766594366017759	0.19523191617135413	-0.5718913527731301	0	0.1
HALLMARK_G2M_CHECKPOINT	-0.3662600291502415	0.20463534197768432	-0.5708953711279258	2	0.4
HALLMARK_GLYCOLYSIS	-0.33837168213129476	0.08212344625910306	-0.4204951283903978	1	0.2
HALLMARK_HEDGEHOG_SIGNALING	-0.22105784464633899	0.09488772502241528	-0.31594556966875426	2	0.4
HALLMARK_IL2_STAT5_SIGNALING	-0.20780343941096444	0.020720451035078368	-0.2285238904460428	1	0.2
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.2333721596096961	-0.06915992554240864	-0.16421223406728747	3	0.7
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.37779526455470114	-0.2430990999437399	-0.13469616461096123	2	0.4
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.3868746362460104	-0.21686691412264605	-0.17000772212336432	1	0.2
HALLMARK_KRAS_SIGNALING_DN	-0.21178930181361336	-0.015128670369099751	-0.1966606314445136	0	0.1
HALLMARK_KRAS_SIGNALING_UP	-0.1802640628291621	-0.051064822386487935	-0.12919924044267417	2	0.4
HALLMARK_MITOTIC_SPINDLE	-0.36078864852405584	0.12023530046323493	-0.4810239489872908	2	0.4
HALLMARK_MTORC1_SIGNALING	-0.24806676077655607	0.10011234886282334	-0.3481791096393794	2	0.4
HALLMARK_MYC_TARGETS_V1	-0.3172044929145654	-0.004044269304983962	-0.3131602236095814	2	0.4
HALLMARK_MYC_TARGETS_V2	0.004596800519016527	-0.036847418667229286	0.041444219186245815	5	1
HALLMARK_NOTCH_SIGNALING	-0.3295542093725415	0.09797281461478624	-0.4275270239873277	0	0.1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.31778443201930745	0.12142678855428253	-0.43921122057358997	1	0.2
HALLMARK_P53_PATHWAY	-0.2506694479437232	0.02712427408862413	-0.2777937220323473	1	0.2
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.3119808410633419	0.03986570620217992	-0.35184654726552184	1	0.2
HALLMARK_PROTEIN_SECRETION	-0.22003650456377044	0.14818305401973336	-0.3682195585835038	2	0.4
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.3955495039144411	0.040942519362488904	-0.43649202327693	1	0.2
HALLMARK_TGF_BETA_SIGNALING	-0.1974704472042188	-0.026652341097699813	-0.17081810610651899	3	0.7
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0454031625454963	-0.3430804986057189	0.3884836611512152	9	0.1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.161021898778559	0.08196198134444677	-0.24298388012300576	2	0.4
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.3598463640412849	-0.008983264925571091	-0.3508630991157138	2	0.4
