pathway	treat_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_APOPTOSIS	-0.05196705223312988	-0.1566489105068224	0.1046818582736925	5	1
HALLMARK_BILE_ACID_METABOLISM	-0.3590345339530507	0.282438004555947	-0.6414725385089977	0	0.1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.024938530317841722	-0.13484081662485695	0.15977934694269866	6	0.7
HALLMARK_DNA_REPAIR	-0.1548461361782869	0.06576750677154776	-0.22061364294983465	2	0.4
HALLMARK_E2F_TARGETS	-0.32757092864611564	0.05148785248420015	-0.37905878113031577	1	0.2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.08501237462678675	-0.11885994276123367	0.20387231738802042	8	0.2
HALLMARK_FATTY_ACID_METABOLISM	-0.25268081765950845	0.19964914403984943	-0.4523299616993579	0	0.1
HALLMARK_G2M_CHECKPOINT	-0.26599124081731984	0.1542885528037927	-0.42027979362111256	1	0.2
HALLMARK_GLYCOLYSIS	-0.26964938669613986	0.08239613299231725	-0.3520455196884571	1	0.2
HALLMARK_HEDGEHOG_SIGNALING	0.07309623614035625	-0.18864144804016622	0.26173768418052246	9	0.1
HALLMARK_IL2_STAT5_SIGNALING	0.04921144375371708	-0.031782174321377386	0.08099361807509448	7	0.4
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.01606960236189464	-0.09189454228102877	0.07582493991913412	7	0.4
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.21373882296705418	-0.24824181293809552	0.03450298997104134	5	1
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.23922631090394575	-0.2265341299666742	-0.012692180937271536	6	0.7
HALLMARK_KRAS_SIGNALING_DN	-0.29033869119210276	-0.0626758920359333	-0.22766279915616947	1	0.2
HALLMARK_KRAS_SIGNALING_UP	-0.07024439118807348	-0.19850227901716433	0.12825788782909087	6	0.7
HALLMARK_MITOTIC_SPINDLE	-0.2153155285177178	0.007424866838510848	-0.22274039535622864	2	0.4
HALLMARK_MTORC1_SIGNALING	-0.10333313873397068	-0.01187525212165976	-0.09145788661231093	4	1
HALLMARK_MYC_TARGETS_V1	-0.18993438046907127	-0.04364285213609082	-0.14629152833298045	4	1
HALLMARK_MYC_TARGETS_V2	0.07474203964837571	-0.1203215715024695	0.1950636111508452	5	1
HALLMARK_NOTCH_SIGNALING	-0.15180808317660194	0.1133373847010465	-0.2651454678776484	0	0.1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.2300426550894701	0.13945729562043327	-0.3694999507099034	1	0.2
HALLMARK_P53_PATHWAY	-0.0843076368857001	-0.07213722671132008	-0.012170410174380017	3	0.7
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.31341459113336745	-0.042119654050632185	-0.2712949370827353	0	0.1
HALLMARK_PROTEIN_SECRETION	-0.08976591429603477	0.08069492065930683	-0.1704608349553416	3	0.7
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.11642366205664002	0.21592348500675596	-0.33234714706339596	0	0.1
HALLMARK_TGF_BETA_SIGNALING	-0.009957166180895002	-0.16165583782400064	0.15169867164310563	6	0.7
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.34367772140380826	-0.48896757958872294	0.8326453009925312	9	0.1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.01994679897216876	-0.03516735185146544	0.0551141508236342	5	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.16858521396782916	0.052400987673024646	-0.2209862016408538	2	0.4
