pathway	treat_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	-0.2996627534137137	0.20422613418995664	-0.5038888876036703	2	0.008658008658008658
HALLMARK_ALLOGRAFT_REJECTION	-0.3356747321378021	-0.35225770895707476	0.016582976819272677	14	0.5887445887445888
HALLMARK_ANDROGEN_RESPONSE	-0.24939578371697294	0.15920576866266356	-0.40860155237963647	3	0.015151515151515152
HALLMARK_ANGIOGENESIS	-0.24934975934594433	0.16330225493454048	-0.4126520142804848	3	0.015151515151515152
HALLMARK_APICAL_JUNCTION	-0.1624520407014189	-0.052524974604030064	-0.10992706609738882	9	0.17965367965367965
HALLMARK_APICAL_SURFACE	-0.23231809266805858	0.07266611229285473	-0.30498420496091333	0	0.0021645021645021645
HALLMARK_APOPTOSIS	-0.14896407272625178	-0.13149821799111266	-0.01746585473513912	15	0.6991341991341992
HALLMARK_BILE_ACID_METABOLISM	-0.38534032835719856	0.3025211988054014	-0.6878615271626	0	0.0021645021645021645
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.09833954896670238	-0.026152238920092517	-0.07218731004660986	14	0.5887445887445888
HALLMARK_COAGULATION	-0.44007746878112575	0.12086525006332711	-0.5609427188444529	0	0.0021645021645021645
HALLMARK_COMPLEMENT	-0.25045933190727465	-0.037533511355532366	-0.21292582055174228	3	0.015151515151515152
HALLMARK_DNA_REPAIR	-0.23918793449717837	0.06756220259256006	-0.3067501370897384	7	0.09307359307359307
HALLMARK_E2F_TARGETS	-0.36940826926498477	0.10002590175479142	-0.4694341710197762	5	0.04112554112554113
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.01691020481633641	-0.06433113795486833	0.04742093313853192	22	0.5887445887445888
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.29518698212169026	0.09950605398612146	-0.3946930361078117	0	0.0021645021645021645
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.33509194045055773	0.08364325837974987	-0.41873519883030763	0	0.0021645021645021645
HALLMARK_FATTY_ACID_METABOLISM	-0.3146701271306422	0.19744053010560178	-0.5121106572362439	1	0.004329004329004329
HALLMARK_G2M_CHECKPOINT	-0.31612563498378066	0.1794619473907385	-0.49558758237451916	6	0.06493506493506493
HALLMARK_GLYCOLYSIS	-0.30401053441371734	0.08225978962571015	-0.3862703240394275	3	0.015151515151515152
HALLMARK_HEDGEHOG_SIGNALING	-0.07398080425299138	-0.04687686150887547	-0.027103942744115907	18	1
HALLMARK_HEME_METABOLISM	-0.30685619926623076	0.14612839734283756	-0.4529845966090683	2	0.008658008658008658
HALLMARK_HYPOXIA	-0.1440734986268364	-0.0478751304414727	-0.0961983681853637	13	0.48484848484848486
HALLMARK_IL2_STAT5_SIGNALING	-0.07929599782862368	-0.005530861643149511	-0.07376513618547417	14	0.5887445887445888
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.12472088098579537	-0.0805272339117187	-0.044193647074076664	16	0.8181818181818182
HALLMARK_INFLAMMATORY_RESPONSE	0.014030451971755049	-0.2736230474779955	0.28765349944975055	35	0.004329004329004329
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.29576704376087765	-0.2456704564409177	-0.050096587319959945	14	0.5887445887445888
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.31305047357497806	-0.22170052204466015	-0.09134995153031791	13	0.48484848484848486
HALLMARK_KRAS_SIGNALING_DN	-0.25106399650285804	-0.03890228120251652	-0.21216171530034153	4	0.025974025974025976
HALLMARK_KRAS_SIGNALING_UP	-0.12525422700861777	-0.12478355070182613	-4.7067630679163697e-4	17	0.9372294372294373
HALLMARK_MITOTIC_SPINDLE	-0.2880520885208868	0.06383008365087288	-0.3518821721717597	7	0.09307359307359307
HALLMARK_MTORC1_SIGNALING	-0.17569994975526337	0.044118548370581795	-0.21981849812584517	11	0.30952380952380953
HALLMARK_MYC_TARGETS_V1	-0.2535694366918183	-0.02384356072053739	-0.2297258759712809	12	0.3939393939393939
HALLMARK_MYC_TARGETS_V2	0.039669420083696116	-0.0785844950848494	0.11825391516854551	20	0.8181818181818182
HALLMARK_MYOGENESIS	-0.15822506543893752	0.1100737133261285	-0.268298778765066	4	0.025974025974025976
HALLMARK_NOTCH_SIGNALING	-0.2406811462745717	0.10565509965791636	-0.3463362459324881	1	0.004329004329004329
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.2739135435543888	0.1304420420873579	-0.4043555856417467	4	0.025974025974025976
HALLMARK_P53_PATHWAY	-0.16748854241471167	-0.022506476311347976	-0.1449820661033637	10	0.24025974025974026
HALLMARK_PANCREAS_BETA_CELLS	-0.41181823112429844	0.1311503381454353	-0.5429685692697337	0	0.0021645021645021645
HALLMARK_PEROXISOME	-0.28992272128880325	0.12917324263905353	-0.41909596392785675	2	0.008658008658008658
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.31269771609835467	-0.001126973924226132	-0.31157074217412856	4	0.025974025974025976
HALLMARK_PROTEIN_SECRETION	-0.1549012094299026	0.1144389873395201	-0.26934019676942267	11	0.30952380952380953
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.25598658298554056	0.12843300218462242	-0.38441958517016295	3	0.015151515151515152
HALLMARK_SPERMATOGENESIS	-0.31829083041676154	0.12637224704106406	-0.44466307745782563	0	0.0021645021645021645
HALLMARK_TGF_BETA_SIGNALING	-0.10371380669255689	-0.09415408946085023	-0.009559717231706663	18	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.19454044197465226	-0.4160240390972209	0.6105644810718731	36	0.0021645021645021645
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.07053754990319512	0.023397314746490663	-0.09393486464968578	14	0.5887445887445888
HALLMARK_UV_RESPONSE_DN	-0.1794385446212127	0.021150423415450363	-0.20058896803666307	8	0.13203463203463203
HALLMARK_UV_RESPONSE_UP	-0.28192358560084624	-0.09443625431730764	-0.18748733128353862	9	0.17965367965367965
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.26421578900455706	0.021708861373726778	-0.28592465037828385	7	0.09307359307359307
HALLMARK_XENOBIOTIC_METABOLISM	-0.3631041209955105	0.1210550081393501	-0.4841591291348606	0	0.0021645021645021645
KEGG_ABC_TRANSPORTERS	-0.5303924368930975	-0.0934067197411527	-0.4369857171519448	0	0.0021645021645021645
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.3614363750609948	0.16319526978002338	-0.5246316448410182	0	0.0021645021645021645
KEGG_ADHERENS_JUNCTION	-0.3790194987601102	0.06364022609806863	-0.44265972485817884	1	0.004329004329004329
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.3213369294620437	-0.2145689790486489	-0.10676795041339476	12	0.3939393939393939
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	-0.29760538672303455	0.22882494864632513	-0.5264303353693597	0	0.0021645021645021645
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	-0.288085141406976	0.33369718731834835	-0.6217823287253244	0	0.0021645021645021645
KEGG_ALLOGRAFT_REJECTION	-0.8484089688208936	-0.8183023001253977	-0.03010666869549583	13	0.48484848484848486
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.13634631424444513	0.09449352112593337	-0.2308398353703785	7	0.09307359307359307
KEGG_ALZHEIMERS_DISEASE	-0.27893430406598685	0.05195677519575457	-0.33089107926174144	5	0.04112554112554113
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.10275192957781915	-0.03791329648092541	-0.06483863309689374	17	0.9372294372294373
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.3149839823435876	-0.26365284681929174	-0.05133113552429586	15	0.6991341991341992
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.4239509949376912	0.0019308382843047864	-0.42588183322199596	0	0.0021645021645021645
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.7409537652169575	-0.7104888283532281	-0.03046493686372942	9	0.17965367965367965
KEGG_APOPTOSIS	-0.18376124911429512	-0.03220249338785038	-0.15155875572644473	10	0.24025974025974026
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.20089334520824495	0.07827580068703639	-0.27916914589528136	9	0.17965367965367965
KEGG_ARGININE_AND_PROLINE_METABOLISM	-0.3796143536673933	0.318010356285881	-0.6976247099532743	0	0.0021645021645021645
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	-0.17746761909044995	0.09334561024962397	-0.2708132293400739	2	0.008658008658008658
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	-0.5014035588005264	0.3304508875002609	-0.8318544463007873	0	0.0021645021645021645
KEGG_ASTHMA	-0.8442343465705783	-0.8088838684077758	-0.03535047816280246	11	0.30952380952380953
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.8129128464602835	-0.7729889774687423	-0.03992386899154121	14	0.5887445887445888
KEGG_AXON_GUIDANCE	-0.18012847499211282	0.12363584975616443	-0.30376432474827725	3	0.015151515151515152
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.22359229908779943	-0.03721165912664956	-0.18638063996114987	4	0.025974025974025976
KEGG_BASAL_CELL_CARCINOMA	-0.35266578217894357	0.21013757981598957	-0.5628033619949331	0	0.0021645021645021645
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.26867241731411956	-0.27460204125493926	0.005929623940819695	20	0.8181818181818182
KEGG_BASE_EXCISION_REPAIR	-0.37484079352423844	0.3326599586725134	-0.7075007521967518	0	0.0021645021645021645
KEGG_BETA_ALANINE_METABOLISM	-0.18095140256695125	0.16944362925374432	-0.35039503182069553	2	0.008658008658008658
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	-0.30542760049827594	0.2615855885300163	-0.5670131890282922	3	0.015151515151515152
KEGG_BLADDER_CANCER	-0.16320882231677306	-0.0805804387002299	-0.08262838361654315	14	0.5887445887445888
KEGG_BUTANOATE_METABOLISM	-0.47456104098538776	0.3171415845214484	-0.7917026255068362	0	0.0021645021645021645
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.17064243430767598	0.1316355146075787	-0.30227794891525467	0	0.0021645021645021645
KEGG_CARDIAC_MUSCLE_CONTRACTION	-0.2171795348408124	0.15731329501182353	-0.37449282985263593	1	0.004329004329004329
KEGG_CELL_ADHESION_MOLECULES_CAMS	-0.4544813524320599	-0.3846784722305707	-0.06980288020148917	9	0.17965367965367965
KEGG_CELL_CYCLE	-0.30549218993370875	0.16722134916147782	-0.47271353909518654	5	0.04112554112554113
