pathway	treat_score	ctrl_score	score_diff	wilcox_stat	pvalue
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.20911208474294243	0.264911612618752	-0.4740236973616945	0	0.1
KEGG_ADHERENS_JUNCTION	-0.09950629478053837	0.007150777405191248	-0.10665707218572962	4	1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.30471433299841383	0.18538521903706826	-0.49009955203548206	NA	NA
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.5644090305444891	-0.6918990703851249	1.256308100929614	9	0.1
KEGG_ALZHEIMERS_DISEASE	0.1769783037475338	-0.2134422934830806	0.3904205972306144	6	0.7
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.49269588313413054	-0.7158034528552444	1.208499335989375	9	0.1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.5972145898789635	-0.35584073778487285	0.9530553276638363	9	0.1
KEGG_APOPTOSIS	-0.027139608729408033	-0.1600474773242623	0.13290786859485426	7	0.4
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.23505976095617437	0.014608233731740436	-0.2496679946879148	4	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.36829046479870653	-0.11308716052910131	0.4813776253278078	8	0.2
KEGG_AXON_GUIDANCE	0.17603817199416263	-0.014864422900278453	0.19090259489444109	5	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.4255650226845058	-0.4689572770720898	0.8945222997565956	9	0.1
KEGG_BASAL_CELL_CARCINOMA	-0.14111538517293704	0.34249893620621463	-0.48361432137915167	2	0.4
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.39442231075697104	0.2536520584329355	-0.6480743691899065	2	0.4
KEGG_BLADDER_CANCER	-0.33711202324581946	0.2532130813768536	-0.5903251046226731	0	0.1
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.3133333333333343	0.12243304843304788	-0.43576638176638216	3	0.7
KEGG_CELL_CYCLE	-0.054464988145223305	0.06153254680651366	-0.11599753495173697	3	0.7
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.3310095731711638	0.1902031063321391	-0.521212679503303	0	0.1
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.03481998513519835	0.06834572036998501	-0.10316570550518336	4	1
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.8512616201859231	-0.8884462151394408	1.7397078353253639	9	0.1
KEGG_CITRATE_CYCLE_TCA_CYCLE	-0.2377158034528543	0.15272244355909761	-0.39043824701195196	3	0.7
KEGG_COLORECTAL_CANCER	0.33058150201411873	-0.3215721844293272	0.652153686443446	8	0.2
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.07134993446920118	0.3197499129329772	-0.3910998474021784	3	0.7
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.30850066934404685	0.31045451132108465	-0.6189551806651314	3	0.7
KEGG_DILATED_CARDIOMYOPATHY	0.5707220182780584	-0.3702857142857153	0.9410077325637736	9	0.1
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.18725099601593537	0.32536520584329404	-0.5126162018592294	2	0.4
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	-0.2988047808764931	0.29349269588313465	-0.5922974767596277	0	0.1
KEGG_ECM_RECEPTOR_INTERACTION	0.5006640106241704	-0.495351925630809	0.9960159362549794	9	0.1
KEGG_ENDOCYTOSIS	0.05845201922437699	-0.17879295896667777	0.23724497819105475	5	1
KEGG_ENDOMETRIAL_CANCER	0.1014952518477424	-0.11019835512679646	0.21169360697453887	6	0.7
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.4033055298115546	0.07484533223760341	-0.478150862049158	2	0.4
KEGG_ERBB_SIGNALING_PATHWAY	0.0559439930878754	-0.1715379714865159	0.2274819645743913	7	0.4
KEGG_ETHER_LIPID_METABOLISM	-0.28818061088977326	-0.033200531208498564	-0.2549800796812747	3	0.7
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	-0.3183553687366108	0.2783120248578416	-0.5966673935944524	0	0.1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-0.2913554225019201	0.21801437312190047	-0.5093697956238206	2	0.4
KEGG_FOCAL_ADHESION	-0.33419207632780146	0.22906089799263282	-0.5632529743204343	1	0.2
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	-0.26427622841965376	0.18725099601593692	-0.4515272244355907	0	0.1
KEGG_GALACTOSE_METABOLISM	-0.26427622841965376	0.18725099601593692	-0.4515272244355907	0	0.1
KEGG_GAP_JUNCTION	-0.17397078353253564	0.16334661354581737	-0.337317397078353	2	0.4
KEGG_GLIOMA	-0.29678914663629824	0.22702811244979995	-0.5238172590860982	0	0.1
KEGG_GLUTATHIONE_METABOLISM	-0.2680000000000009	0.21599999999999944	-0.4840000000000003	2	0.4
KEGG_GLYCEROLIPID_METABOLISM	-0.26427622841965376	0.18725099601593692	-0.4515272244355907	0	0.1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	-2.455032874541102e-5	-0.18975000000000083	0.18972544967125543	6	0.7
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.904382470119522	-0.8831341301460809	1.7875166002656029	9	0.1
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.2669322709163352	0.06241699867197944	0.20451527224435576	6	0.7
KEGG_GNRH_SIGNALING_PATHWAY	-0.20495149911816676	0.1382902031197389	-0.3432417022379057	3	0.7
KEGG_HEDGEHOG_SIGNALING_PATHWAY	-0.2270916334661345	0.43426294820717176	-0.6613545816733063	2	0.4
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.5006640106241704	-0.495351925630809	0.9960159362549794	9	0.1
KEGG_HOMOLOGOUS_RECOMBINATION	-0.14402052655064781	0.38631515300189384	-0.5303356795525417	2	0.4
KEGG_HUNTINGTONS_DISEASE	0.28840178382512516	-0.09001528949256486	0.37841707331769003	7	0.4
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.5707220182780584	-0.3702857142857153	0.9410077325637736	9	0.1
KEGG_INOSITOL_PHOSPHATE_METABOLISM	-0.3519256308100919	-0.019920318725098824	-0.3320053120849931	3	0.7
KEGG_INSULIN_SIGNALING_PATHWAY	0.11934961526030811	-0.32858748228203705	0.4479370975423452	9	0.1
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	-0.5546666666666676	-0.3840000000000008	-0.17066666666666686	4	1
KEGG_JAK_STAT_SIGNALING_PATHWAY	-0.3188368794326252	0.2507878787878782	-0.5696247582205034	0	0.1
KEGG_LEISHMANIA_INFECTION	-0.29274458874458986	0.25505050505050453	-0.5477950937950944	0	0.1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	-0.06772908366533781	0.17662682602921706	-0.24435590969455487	4	1
KEGG_LONG_TERM_DEPRESSION	-0.17397078353253564	0.16334661354581737	-0.337317397078353	2	0.4
KEGG_LONG_TERM_POTENTIATION	-0.17397078353253564	0.16334661354581737	-0.337317397078353	2	0.4
KEGG_MAPK_SIGNALING_PATHWAY	-0.20279813748988926	0.042952067604105484	-0.24575020509399476	1	0.2
KEGG_MELANOGENESIS	-0.0700685358255461	0.09066666666666597	-0.16073520249221207	3	0.7
KEGG_MELANOMA	-0.3219536878617902	0.22357968223399188	-0.5455333700957821	0	0.1
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	-0.2988047808764931	0.29349269588313465	-0.5922974767596277	0	0.1
KEGG_MISMATCH_REPAIR	0.8698539176626827	-0.8645418326693213	1.734395750332004	9	0.1
KEGG_MTOR_SIGNALING_PATHWAY	0.027983232525815267	-0.24694927014741308	0.27493250267322833	7	0.4
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.2947815898823425	-0.19620645530662403	0.49098804518896655	7	0.4
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.009790776129967652	0.12332674053115468	-0.11353596440118703	4	1
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-0.48207171314740926	0.2563081009296154	-0.7383798140770247	1	0.2
