sample_id	IncLevel1
BS_PENM28KT	0.856
BS_SY3J3XR9	0.643
BS_KFD5128N	0.529
BS_FYRDYBMZ	0.879
BS_JQXHHK0K	0.737
BS_FX2P2WEG	0.8859999999999999
BS_A6NXR7RC	0.76
BS_D7XRFE0R	0.679
BS_H1XPVS9A	0.871
BS_2HNXVFAS	0.899
BS_B4R7X1KE	0.698
BS_C41DJZ1F	0.948
BS_B1C6GZ84	0.718
BS_S6B9DVNS	0.953
BS_F9Y4Z92G	0.7390000000000001
BS_FGJH1X0S	0.742
BS_TVH33J9Q	0.763
BS_JJVH7WR0	0.8590000000000001
BS_PJC6FH4Y	0.805
BS_FXJY0MNH	0.7859999999999999
BS_YA0KMBRT	0.93
BS_B57327NA	0.846
BS_D6J2BGDJ	0.645
BS_VKYEM67A	0.7509999999999999
BS_BBAEMXRD	0.815
BS_H9JYKFTV	0.795
BS_J9CBGP57	0.812
BS_A7Y1Y314	0.755
BS_ENX83H9Z	0.599
BS_EXPJQZTH	0.804
BS_WQ1YRTAT	0.8420000000000001
BS_S3MET0JZ	0.624
BS_MD0937XT	0.37200000000000005
BS_G5NHSFD4	0.75
BS_TPB6WVF4	0.47
BS_9TXEDSWB	0.86
BS_M0XGZ53Z	0.9109999999999999
BS_RJC3WDD6	0.685
BS_FKASA3MN	0.833
BS_V3Z3DB4N	0.872
BS_DSPVSM7D	0.9670000000000001
BS_T9A8JJW5	0.713
BS_TR2P8KRF	0.611
BS_JTWNJ8T7	0.91
BS_MG78HQDM	0.853
BS_4C6B11E4	0.6609999999999999
BS_862NMAR7	0.9
BS_51RA1PGE	0.857
BS_ECNBQ2RA	0.86
BS_WBVSK3MP	0.604
BS_AWH9757B	0.685
BS_KP735TJ6	0.937
BS_FEV5A0HN	0.8340000000000001
BS_GG9W3J9Y	0.922
BS_MDBT7S5Z	0.406
BS_30VC3R2Q	0.958
BS_JVW2JJ39	0.889
BS_29X4ZX6Q	0.8140000000000001
BS_M0QYNVK8	0.727
BS_052PZFMK	0.652
BS_KQ6ZW085	0.732
BS_0C7VZC0A	0.8540000000000001
BS_4QW2S1Q8	0.856
BS_ZVWE73JZ	0.855
BS_GW0GKWMS	0.769
BS_K17VQECG	0.695
BS_DS438CXE	0.57
BS_4B0BAVTX	0.726
BS_3MS8WVNR	0.746
BS_MWWZBQ60	0.9490000000000001
BS_45J79YTF	0.7190000000000001
BS_2A5R9MEJ	0.9229999999999999
BS_399RPKC9	0.809
BS_0XHT9W4Q	0.259
BS_84XCR9GG	0.715
BS_9XVACXP0	0.93
BS_RXN5T5YT	0.986
BS_VF5XWFXD	0.922
BS_Z8YZ6QGS	0.698
BS_PJ1T8CQR	0.7959999999999999
BS_SB12W1XT	0.604
BS_52MPKTJH	0.6990000000000001
BS_WHBEXD5H	0.47600000000000003
BS_W9N9844Q	0.6579999999999999
BS_0C00AYTE	0.899
BS_FYP2B298	0.111
BS_9ZJT0CP0	0.581
BS_XG0DBWVT	0.89
BS_TGS109T3	0.49700000000000005
BS_T2F48Z4E	0.794
BS_YEW22W35	0.8809999999999999
BS_8PNA0V6R	0.6459999999999999
BS_SD8YBRBR	0.9259999999999999
BS_1BJNPHMD	0.5489999999999999
BS_PQVTB6BB	0.605
BS_TRPXB3AV	0.292
BS_52C576HH	0.772
BS_R5SNFB5B	0.789
BS_NR3P3GN2	0.8959999999999999
BS_7327SDAQ	0.722
BS_6WP1FHTE	0.841
BS_Z8F3GM85	0.7659999999999999
BS_5965SFPZ	0.732
BS_8E8JKP01	0.48700000000000004
BS_X4X1SFSE	0.72
BS_MB7WN0ZB	0.925
BS_TV5B86ZD	0.604
BS_TXZ7KHTQ	0.7120000000000001
BS_2EN3X6HB	0.391
