Sample	Event	dPSI	Type
BS_H97S5SQN	CLK1_200860125-200860215	-0.26	Inc
BS_2A5R9MEJ	CLK1_200860125-200860215	-0.234	Inc
BS_W60RQAKK	CLK1_200860125-200860215	-0.294	Inc
BS_NEVYM2FP	CLK1_200860125-200860215	-0.277	Inc
BS_NGSG2KB6	CLK1_200860125-200860215	-0.265	Inc
BS_QNNX91SM	CLK1_200860125-200860215	-0.273	Inc
BS_C83TK159	CLK1_200860125-200860215	-0.207	Inc
BS_49BQS7Z6	CLK1_200860125-200860215	-0.264	Inc
BS_NNPEC7W1	CLK1_200860125-200860215	-0.298	Inc
BS_FCDAH728	CLK1_200860125-200860215	-0.244	Inc
BS_Z3RCA1T9	CLK1_200860125-200860215	-0.228	Inc
BS_MN5XVP5A	CLK1_200860125-200860215	-0.216	Inc
BS_NB9XXBW6	CLK1_200860125-200860215	-0.291	Inc
BS_8ZY4GST0	CLK1_200860125-200860215	-0.252	Inc
BS_YDEVMD24	CLK1_200860125-200860215	-0.216	Inc
BS_PZVHMSYN	CLK1_200860125-200860215	-0.298	Inc
BS_7GJT4A6A	CLK1_200860125-200860215	-0.296	Inc
BS_21ET39G7	CLK1_200860125-200860215	-0.208	Inc
BS_Q13FQ8FV	CLK1_200860125-200860215	-0.303	Inc
BS_30VC3R2Q	CLK1_200860125-200860215	-0.257	Inc
BS_W7MFJZ5A	CLK1_200860125-200860215	-0.283	Inc
BS_F0JB4EAK	CLK1_200860125-200860215	-0.221	Inc
BS_WKESC3XN	CLK1_200860125-200860215	-0.294	Inc
BS_WH8G4VFB	CLK1_200860125-200860215	-0.3	Inc
BS_XG0DBWVT	CLK1_200860125-200860215	-0.213	Inc
BS_0VXZCRJS	CLK1_200860125-200860215	-0.263	Inc
BS_0ZA67BBC	CLK1_200860125-200860215	-0.227	Inc
BS_97M1E2DW	CLK1_200860125-200860215	-0.297	Inc
BS_VF5XWFXD	CLK1_200860125-200860215	-0.232	Inc
BS_ZV1P6W9C	CLK1_200860125-200860215	-0.301	Inc
BS_R9B92M75	CLK1_200860125-200860215	-0.268	Inc
BS_RXN5T5YT	CLK1_200860125-200860215	-0.293	Inc
BS_A7Q8G0Y1	CLK1_200860125-200860215	-0.282	Inc
BS_S5P8VTN5	CLK1_200860125-200860215	-0.27	Inc
BS_H0QWRJE2	CLK1_200860125-200860215	-0.237	Inc
BS_XGDPK33A	CLK1_200860125-200860215	-0.221	Inc
BS_RX1YTZ7F	CLK1_200860125-200860215	-0.209	Inc
BS_JQVAWTTM	CLK1_200860125-200860215	-0.274	Inc
BS_9CA93S6D	CLK1_200860125-200860215	-0.293	Inc
BS_MKM0EEN1	CLK1_200860125-200860215	-0.297	Inc
BS_XM1AHBDJ	CLK1_200860125-200860215	0.423	Skip
BS_GXTFW99H	CLK1_200860125-200860215	0.312	Skip
BS_DRY58DTF	CLK1_200860125-200860215	0.421	Skip
BS_E60JZ9Z3	CLK1_200860125-200860215	0.295	Skip
BS_9CA93S6D	CLK1_200856891-200856985	0.226	Skip
