Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
COL1A1,266042.98195415846,8.503602565174653,1.2381752059144882,6.867850789254081,6.517633785134582e-12,4.259599560274706e-8,TRUE
GREM1,15596.803097697773,7.662070404527494,1.1703242180508693,6.546963897994337,5.871855073597026e-11,1.328181977380994e-7,TRUE
COL3A1,45212.785315692585,6.47743424435094,1.2401762999515586,5.22299470212739,1.760524290220825e-7,7.670604332492135e-5,TRUE
FN1,609038.616107964,6.4376612561867885,1.191273843828328,5.404014609687432,6.516563320398396e-8,3.871727234587611e-5,TRUE
COL1A2,104507.53837571139,6.432131374333498,1.256788361645074,5.117911313177785,3.0893780063106043e-7,1.1876841153084091e-4,TRUE
ITGA11,8040.55200196936,6.331983967800462,1.168664104666516,5.418138490364025,6.02227610838276e-8,3.748436714889098e-5,TRUE
SUSD2,6479.791643886718,6.202280076015802,1.2443179542408727,4.9844817033116415,NA,NA,NA
CEMIP,12570.564788514474,6.1663590476850265,1.2279144671781372,5.021814802667729,5.118552556844701e-7,1.5929666778694544e-4,TRUE
THBS1,130438.08584349597,6.0793727938597915,1.6205661723745568,3.751388186112701,1.7585817746459254e-4,0.010401096097917145,TRUE
LOXL1,6344.397226162648,5.986143595691998,0.9922867457141699,6.0326751531722245,1.6126739460623045e-9,1.505661510641456e-6,TRUE
TAGLN,32716.710597214897,5.872944898869452,1.1977228767142596,4.903425502717988,9.417967035759803e-7,2.3226839080078566e-4,TRUE
SERPINE1,41618.370123617366,5.827162648619817,1.295909327938979,4.49658207020345,6.905453235650517e-6,0.0011722231070543884,TRUE
CTGF,35783.88577323995,5.694319275834993,1.1504648622682099,4.94958121937623,7.437333672082056e-7,2.1287331754350834e-4,TRUE
KRT18,1797.8763898272198,5.481803127834506,1.177673578760579,4.654772958058318,3.2433790313138266e-6,6.837775373919843e-4,TRUE
COL6A3,12819.952463228525,5.457897351915362,1.2161974319944826,4.487673800597305,7.2005065131994485e-6,0.0011913648181522782,TRUE
MICAL2,6099.539979718777,5.238043940736577,0.9514218366154743,5.505490560706543,3.681416865446833e-8,2.673322213791975e-5,TRUE
LMO7,7796.831090394366,5.19287560414376,0.8947603138260802,5.803649898081118,6.488669044235512e-9,5.654226205146825e-6,TRUE
DSP,6054.276010001093,5.131322219035717,1.1230693424743425,4.569016377680121,4.900184948113076e-6,8.895877424553612e-4,TRUE
FBN1,21768.345198885523,4.852054198980677,1.0458110977611441,4.639513014700148,3.4923114324471753e-6,7.245714719605878e-4,TRUE
TINAGL1,2636.4007390421684,4.730242323338464,1.1271344549387647,4.19669747705073,2.7083531573736622e-5,0.0032477875339478107,TRUE
CD248,4276.360000591745,4.727135651740953,1.2389321562531908,3.8154919362468354,1.359118946605292e-4,0.008768497645157186,TRUE
IGFBP4,27087.235783956014,4.598863667048,1.1640153592248141,3.9508616708551436,7.787032490444604e-5,0.006361518855162588,TRUE
NDUFA4L2,4249.21644726458,4.444153832344599,1.1455826096935673,3.8793831145301416,1.0472170723466858e-4,0.007439225191654093,TRUE
NID2,5681.781157834396,4.4342548030916005,0.9793924353952033,4.527556720715629,5.9669587619696634e-6,0.0010659475779280878,TRUE
LOXL2,16237.71208445767,4.419573444403559,1.0154876750873272,4.352168473165857,1.347976134407758e-5,0.001871517869482624,TRUE
CITED2,6448.728820669666,4.391604484775601,0.9494084238912135,4.625621991825518,3.7347590462769045e-6,7.510313152905449e-4,TRUE
ANXA2,15907.380823069972,4.384919685895398,1.1178767440720274,3.922543079233132,8.76192207197105e-5,0.006832329996398446,TRUE
NTN4,6825.870966392851,4.311816390492337,1.1509023137904253,3.746466002220151,1.7934329663417742e-4,0.010505675003022482,TRUE
AHRR,2327.090543809209,4.280828562040024,0.8658670119923263,4.943979274819587,7.654384457612189e-7,2.1287331754350834e-4,TRUE
MEGF6,3439.7705546885873,4.268827027642784,1.1464071689233797,3.7236569548424483,1.9635769222762933e-4,0.010878481401064274,TRUE
TGFBI,19394.506492482433,4.22288659148518,1.2369584850990747,3.413927502301701,6.403361229226431e-4,0.023710576381648352,TRUE
OXTR,4651.191667816102,4.164254124078228,1.1043904112128475,3.770635892704847,1.628321044610552e-4,0.01003952093118138,TRUE
ZIC1,2194.16843661672,4.156143158513188,0.7986773300780438,5.203782556476299,1.9527247806325546e-7,7.976270502390037e-5,TRUE
DCN,3502.837620836061,4.1448947195229024,1.1288956225072793,3.671636807588184,2.4100201119435e-4,0.012451135526961853,TRUE
ADAMTS2,3534.2723951680914,4.0980419128833185,1.11195486736733,3.685439070549566,2.283086988030772e-4,0.012081874502247052,TRUE
CCDC80,29669.45715727705,4.087406463347847,0.993746906827282,4.113126224863065,3.903368146809585e-5,0.00392468654207293,TRUE
TGM2,13472.960533665488,4.078641785831474,1.2090416049559745,3.3734503172700925,NA,NA,NA
PTGIS,2047.802421687995,4.077806536117555,1.005373348848931,4.0560121678044325,4.9917660090543806e-5,0.004762582007616775,TRUE
IGFBP3,13790.370094886894,4.029042065268856,1.0196681788069897,3.951326665879511,7.771915291379567e-5,0.006361518855162588,TRUE
PLK2,2213.6866853498013,4.028307521995175,0.8538534008766469,4.717797596003404,2.384115074239288e-6,5.193794689230289e-4,TRUE
LTBP2,4606.615097780726,4.00706054390174,1.1197418584519399,3.5785574270140814,3.454959588155646e-4,0.015572336819580156,TRUE
