ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,186,0.5912972757338546,2.510149885005745,2.6836157060935684e-17,1.3418078530467841e-15,9.039547641578337e-16,7503,"tags=35%, list=12%, signal=31%",IGFBP1/IGFBP1/IGFBP1/CYP4F2/CYP4F2/CYP4F2/HSD11B1/HSD11B1/HSD11B1/AQP9/AQP9/AQP9/ITIH1/ITIH1/ITIH1/CBR1/CBR1/CBR1/XDH/XDH/XDH/CRP/CRP/CRP/HNF4A/HNF4A/HNF4A/TMEM176B/TMEM176B/TMEM176B/ARG1/ARG1/ARG1/SERPINA6/SERPINA6/SERPINA6/CFB/CFB/CFB/ITIH4/ITIH4/ITIH4/CES1/CES1/CES1/VTN/VTN/VTN/CYP2C18/CYP2C18/CYP2C18/TAT/TAT/TAT/LPIN2/LPIN2/LPIN2/ANGPTL3/ANGPTL3/ANGPTL3/AKR1C2/AKR1C2/AKR1C2/APOE/APOE/APOE/FMO3/FMO3/FMO3/VNN1/VNN1/VNN1/REG1A/REG1A/REG1A/AOX1/AOX1/AOX1/FABP1/FABP1/FABP1/PLG/PLG/PLG/CYP1A2/CYP1A2/CYP1A2/F10/F10/F10/IGF1/IGF1/IGF1/NDRG2/NDRG2/NDRG2/F11/F11/F11/DDT/DDT/DDT/RBP4/RBP4/RBP4/HRG/HRG/HRG/CA2/CA2/CA2/ACOX2/ACOX2/ACOX2/CYP2J2/CYP2J2/CYP2J2/ENPEP/ENPEP/ENPEP/HES6/HES6/HES6/ALDH3A1/ALDH3A1/ALDH3A1/LEAP2/LEAP2/LEAP2/FBLN1/FBLN1/FBLN1/MBL2/MBL2/MBL2/FBP1/FBP1/FBP1/GSTT2/GSTT2/GSTT2/AKR1C3/AKR1C3/AKR1C3/GNMT/GNMT/GNMT/TDO2/TDO2/TDO2/NINJ1/NINJ1/NINJ1/MPP2/MPP2/MPP2/ADH5/ADH5/ADH5/RAP1GAP/RAP1GAP/RAP1GAP/GCLC/GCLC/GCLC/PC/PC/PC/ALDH2/ALDH2/ALDH2/PAPSS2/PAPSS2/PAPSS2/NQO1/NQO1/NQO1/DHRS1/DHRS1/DHRS1/CAT/CAT/CAT/ABCD2/ABCD2/ABCD2/GAD1/GAD1/GAD1/PGRMC1/PGRMC1/PGRMC1/TTPA/TTPA/TTPA
HALLMARK_COAGULATION,HALLMARK_COAGULATION,119,0.6418136653459521,2.5384432994543107,3.2448221773393857e-15,8.112055443348465e-14,5.464963667097914e-14,4146,"tags=34%, list=6%, signal=32%",LEFTY2/LEFTY2/LEFTY2/C8B/C8B/C8B/APOC3/APOC3/APOC3/C9/C9/C9/ITIH1/ITIH1/ITIH1/SERPINA1/SERPINA1/SERPINA1/C3/C3/C3/CPB2/CPB2/CPB2/F2/F2/F2/APOC1/APOC1/APOC1/HNF4A/HNF4A/HNF4A/CFB/CFB/CFB/FGG/FGG/FGG/SERPINC1/SERPINC1/SERPINC1/FGA/FGA/FGA/HPN/HPN/HPN/C8A/C8A/C8A/F9/F9/F9/APOC2/APOC2/APOC2/TMPRSS6/TMPRSS6/TMPRSS6/TF/TF/TF/CTSH/CTSH/CTSH/PLG/PLG/PLG/SERPING1/SERPING1/SERPING1/F10/F10/F10/C1S/C1S/C1S/F11/F11/F11/HRG/HRG/HRG/ACOX2/ACOX2/ACOX2/APOA1/APOA1/APOA1/MMP15/MMP15/MMP15/C2/C2/C2/MST1/MST1/MST1/MBL2/MBL2/MBL2/GDA/GDA/GDA/RAPGEF3/RAPGEF3/RAPGEF3/ANG/ANG/ANG/SH2B2/SH2B2/SH2B2/MSRB2/MSRB2/MSRB2/C8G/C8G/C8G
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,101,0.6413282705230969,2.4908787541464092,6.26382624355302e-13,1.0439710405921701e-11,7.033068062936725e-12,8985,"tags=43%, list=14%, signal=37%",AQP9/AQP9/AQP9/GC/GC/GC/SULT1B1/SULT1B1/SULT1B1/AGXT/AGXT/AGXT/SERPINA6/SERPINA6/SERPINA6/EPHX2/EPHX2/EPHX2/CYP8B1/CYP8B1/CYP8B1/ACSL1/ACSL1/ACSL1/PEX11G/PEX11G/PEX11G/SLC27A2/SLC27A2/SLC27A2/HAO1/HAO1/HAO1/DHCR24/DHCR24/DHCR24/CYP7B1/CYP7B1/CYP7B1/ABCG8/ABCG8/ABCG8/DIO1/DIO1/DIO1/NR1H4/NR1H4/NR1H4/TTR/TTR/TTR/ABCA4/ABCA4/ABCA4/APOA1/APOA1/APOA1/PAOX/PAOX/PAOX/ACSL5/ACSL5/ACSL5/AR/AR/AR/ALDH1A1/ALDH1A1/ALDH1A1/SULT2B1/SULT2B1/SULT2B1/GNMT/GNMT/GNMT/CYP46A1/CYP46A1/CYP46A1/HSD17B6/HSD17B6/HSD17B6/LIPE/LIPE/LIPE/ABCD1/ABCD1/ABCD1/CAT/CAT/CAT/ABCD2/ABCD2/ABCD2/DIO2/DIO2/DIO2/SLC23A1/SLC23A1/SLC23A1/RXRA/RXRA/RXRA/ABCG4/ABCG4/ABCG4/BMP6/BMP6/BMP6/HSD3B7/HSD3B7/HSD3B7/PEX19/PEX19/PEX19/ABCA5/ABCA5/ABCA5/SLC22A18/SLC22A18/SLC22A18/IDH2/IDH2/IDH2/GNPAT/GNPAT/GNPAT/ALDH9A1/ALDH9A1/ALDH9A1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,175,-0.5256153680848511,-2.004895051191911,1.8307532643339507e-8,2.2884415804174385e-7,1.5416869594391167e-7,12001,"tags=39%, list=19%, signal=32%",IL18/IL18/IL18/RIPK2/RIPK2/RIPK2/ICAM1/ICAM1/ICAM1/GADD45A/GADD45A/GADD45A/MAP3K8/MAP3K8/MAP3K8/CD83/CD83/CD83/NAMPT/NAMPT/NAMPT/PLEK/PLEK/PLEK/PMEPA1/PMEPA1/PMEPA1/MCL1/MCL1/MCL1/NFKB2/NFKB2/NFKB2/MYC/MYC/MYC/CLCF1/CLCF1/CLCF1/EGR2/EGR2/EGR2/CXCL2/CXCL2/CXCL2/TNC/TNC/TNC/CCND1/CCND1/CCND1/KLF10/KLF10/KLF10/CCNL1/CCNL1/CCNL1/ZBTB10/ZBTB10/ZBTB10/NFAT5/NFAT5/NFAT5/EGR1/EGR1/EGR1/IFIT2/IFIT2/IFIT2/RELB/RELB/RELB/KDM6B/KDM6B/KDM6B/PHLDA1/PHLDA1/PHLDA1/SOD2/SOD2/SOD2/ATP2B1/ATP2B1/ATP2B1/CSF1/CSF1/CSF1/YRDC/YRDC/YRDC/MXD1/MXD1/MXD1/JAG1/JAG1/JAG1/DUSP5/DUSP5/DUSP5/NFKBIA/NFKBIA/NFKBIA/KYNU/KYNU/KYNU/CCN1/CCN1/CCN1/FOSL1/FOSL1/FOSL1/FOS/FOS/FOS/CD69/CD69/CD69/SLC2A3/SLC2A3/SLC2A3/FOSB/FOSB/FOSB/SGK1/SGK1/SGK1/CEBPB/CEBPB/CEBPB/EGR3/EGR3/EGR3/PER1/PER1/PER1/HBEGF/HBEGF/HBEGF/JUNB/JUNB/JUNB/NFIL3/NFIL3/NFIL3/MAFF/MAFF/MAFF/KLF6/KLF6/KLF6/BIRC3/BIRC3/BIRC3/IRF1/IRF1/IRF1/DUSP1/DUSP1/DUSP1/IL7R/IL7R/IL7R/INHBA/INHBA/INHBA/GEM/GEM/GEM/TRAF1/TRAF1/TRAF1/DUSP4/DUSP4/DUSP4/IER3/IER3/IER3/SERPINE1/SERPINE1/SERPINE1/LIF/LIF/LIF/TNFRSF9/TNFRSF9/TNFRSF9/IL1B/IL1B/IL1B/PPP1R15A/PPP1R15A/PPP1R15A/JUN/JUN/JUN/CXCL3/CXCL3/CXCL3/TNFAIP3/TNFAIP3/TNFAIP3/ATF3/ATF3/ATF3/PTGS2/PTGS2/PTGS2
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,170,0.4669265380106811,1.982663854223687,7.218278840578625e-8,7.218278840578625e-7,4.862840482074022e-7,13548,"tags=39%, list=21%, signal=31%",SERPINA5/SERPINA5/SERPINA5/SERPINA1/SERPINA1/SERPINA1/SERPINA3/SERPINA3/SERPINA3/ANXA9/ANXA9/ANXA9/SLC27A2/SLC27A2/SLC27A2/CISH/CISH/CISH/ST6GALNAC2/ST6GALNAC2/ST6GALNAC2/CA2/CA2/CA2/TJP3/TJP3/TJP3/LSR/LSR/LSR/ACOX2/ACOX2/ACOX2/CACNA2D2/CACNA2D2/CACNA2D2/TST/TST/TST/EMP2/EMP2/EMP2/CYP4F11/CYP4F11/CYP4F11/SNX10/SNX10/SNX10/TPSAB1/TPSAB1/TPSAB1/CXCL14/CXCL14/CXCL14/PLAC1/PLAC1/PLAC1/IMPA2/IMPA2/IMPA2/FRK/FRK/FRK/CDH1/CDH1/CDH1/SULT2B1/SULT2B1/SULT2B1/ASS1/ASS1/ASS1/SCNN1A/SCNN1A/SCNN1A/TMPRSS3/TMPRSS3/TMPRSS3/TRIM29/TRIM29/TRIM29/PRKAR2B/PRKAR2B/PRKAR2B/FKBP5/FKBP5/FKBP5/CELSR2/CELSR2/CELSR2/HR/HR/HR/PAPSS2/PAPSS2/PAPSS2/RPS6KA2/RPS6KA2/RPS6KA2/MDK/MDK/MDK/SCUBE2/SCUBE2/SCUBE2/CYP26B1/CYP26B1/CYP26B1/MAPT/MAPT/MAPT/PRLR/PRLR/PRLR/GINS2/GINS2/GINS2/DHRS2/DHRS2/DHRS2/ALDH3B1/ALDH3B1/ALDH3B1/MICB/MICB/MICB/SLC9A3R1/SLC9A3R1/SLC9A3R1/MYOF/MYOF/MYOF/BAG1/BAG1/BAG1/PRSS23/PRSS23/PRSS23/IDH2/IDH2/IDH2/GPER1/GPER1/GPER1/LLGL2/LLGL2/LLGL2/BCL2/BCL2/BCL2/TPD52L1/TPD52L1/TPD52L1/SLC7A5/SLC7A5/SLC7A5/DCXR/DCXR/DCXR/IGFBP4/IGFBP4/IGFBP4/HSPB8/HSPB8/HSPB8/SCARB1/SCARB1/SCARB1/OPN3/OPN3/OPN3/OVOL2/OVOL2/OVOL2/FGFR3/FGFR3/FGFR3/PLXNB1/PLXNB1/PLXNB1/NRIP1/NRIP1/NRIP1/ADD3/ADD3/ADD3/UNC13B/UNC13B/UNC13B/ETFB/ETFB/ETFB/RBBP8/RBBP8/RBBP8/ARL3/ARL3/ARL3/ALDH3A2/ALDH3A2/ALDH3A2
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,173,0.45767149171945554,1.9532602155457894,3.380774954309284e-7,2.817312461924404e-6,1.8979789217174934e-6,11931,"tags=36%, list=19%, signal=29%",DLC1/DLC1/DLC1/TGM2/TGM2/TGM2/RHOD/RHOD/RHOD/SLC7A2/SLC7A2/SLC7A2/ANXA9/ANXA9/ANXA9/SLC27A2/SLC27A2/SLC27A2/KCNK15/KCNK15/KCNK15/CISH/CISH/CISH/TSKU/TSKU/TSKU/TJP3/TJP3/TJP3/BCL11B/BCL11B/BCL11B/SYNGR1/SYNGR1/SYNGR1/AR/AR/AR/ABAT/ABAT/ABAT/AQP3/AQP3/AQP3/ELOVL2/ELOVL2/ELOVL2/FRK/FRK/FRK/SULT2B1/SULT2B1/SULT2B1/SCNN1A/SCNN1A/SCNN1A/DEPTOR/DEPTOR/DEPTOR/MUC1/MUC1/MUC1/ABLIM1/ABLIM1/ABLIM1/TMPRSS3/TMPRSS3/TMPRSS3/SLC1A1/SLC1A1/SLC1A1/FKBP5/FKBP5/FKBP5/RHOBTB3/RHOBTB3/RHOBTB3/CELSR2/CELSR2/CELSR2/HR/HR/HR/PAPSS2/PAPSS2/PAPSS2/RPS6KA2/RPS6KA2/RPS6KA2/REEP1/REEP1/REEP1/RAB17/RAB17/RAB17/CYP26B1/CYP26B1/CYP26B1/MAPT/MAPT/MAPT/THSD4/THSD4/THSD4/TGIF2/TGIF2/TGIF2/DHRS2/DHRS2/DHRS2/KRT18/KRT18/KRT18/ALDH3B1/ALDH3B1/ALDH3B1/ASB13/ASB13/ASB13/ESRP2/ESRP2/ESRP2/MICB/MICB/MICB/SLC9A3R1/SLC9A3R1/SLC9A3R1/MYOF/MYOF/MYOF/BAG1/BAG1/BAG1/UNC119/UNC119/UNC119/ELF3/ELF3/ELF3/PRSS23/PRSS23/PRSS23/DHRS3/DHRS3/DHRS3/CLDN7/CLDN7/CLDN7/SLC37A1/SLC37A1/SLC37A1/BCL2/BCL2/BCL2/TPD52L1/TPD52L1/TPD52L1/KRT8/KRT8/KRT8/SLC7A5/SLC7A5/SLC7A5/IGFBP4/IGFBP4/IGFBP4/HSPB8/HSPB8/HSPB8/MAST4/MAST4/MAST4/SCARB1/SCARB1/SCARB1/OPN3/OPN3/OPN3/TTC39A/TTC39A/TTC39A/OVOL2/OVOL2/OVOL2
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,168,0.43251862039837685,1.8215901636341438,2.731665636723938e-6,1.9511897405170987e-5,1.3144857199273087e-5,2763,"tags=16%, list=4%, signal=15%",C9/C9/C9/ITIH1/ITIH1/ITIH1/SERPINA1/SERPINA1/SERPINA1/C3/C3/C3/PCSK9/PCSK9/PCSK9/F2/F2/F2/C4BPB/C4BPB/C4BPB/APOC1/APOC1/APOC1/HNF4A/HNF4A/HNF4A/KLK1/KLK1/KLK1/CFB/CFB/CFB/SERPINC1/SERPINC1/SERPINC1/APOA4/APOA4/APOA4/F7/F7/F7/TMPRSS6/TMPRSS6/TMPRSS6/CTSH/CTSH/CTSH/ME1/ME1/ME1/PLG/PLG/PLG/SERPING1/SERPING1/SERPING1/F10/F10/F10/C1S/C1S/C1S/F5/F5/F5/CA2/CA2/CA2/SRC/SRC/SRC/CP/CP/CP/MMP15/MMP15/MMP15/C2/C2/C2
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,187,0.40212908657599383,1.7066562649321646,1.994052466504467e-5,1.246282791565292e-4,8.396010385281968e-5,14622,"tags=30%, list=23%, signal=23%",ORM1/ORM1/ORM1/C3/C3/C3/SULT1A1/SULT1A1/SULT1A1/PLIN2/PLIN2/PLIN2/EPHX2/EPHX2/EPHX2/APOE/APOE/APOE/ME1/ME1/ME1/DDT/DDT/DDT/ACADL/ACADL/ACADL/TST/TST/TST/CAVIN2/CAVIN2/CAVIN2/MGLL/MGLL/MGLL/CMBL/CMBL/CMBL/DLD/DLD/DLD/SLC25A1/SLC25A1/SLC25A1/TANK/TANK/TANK/UCP2/UCP2/UCP2/SPARCL1/SPARCL1/SPARCL1/FZD4/FZD4/FZD4/ALDH2/ALDH2/ALDH2/ACAA2/ACAA2/ACAA2/LIPE/LIPE/LIPE/GPX3/GPX3/GPX3/MTARC2/MTARC2/MTARC2/ITIH5/ITIH5/ITIH5/LPCAT3/LPCAT3/LPCAT3/REEP6/REEP6/REEP6/CAT/CAT/CAT/SLC25A10/SLC25A10/SLC25A10/CCNG2/CCNG2/CCNG2/PEX14/PEX14/PEX14/ENPP2/ENPP2/ENPP2/PHLDB1/PHLDB1/PHLDB1/ITSN1/ITSN1/ITSN1/PFKL/PFKL/PFKL/TKT/TKT/TKT/TALDO1/TALDO1/TALDO1/SQOR/SQOR/SQOR/HSPB8/HSPB8/HSPB8/SCARB1/SCARB1/SCARB1/CRAT/CRAT/CRAT/SCP2/SCP2/SCP2/NMT1/NMT1/NMT1/SORBS1/SORBS1/SORBS1/SLC27A1/SLC27A1/SLC27A1/ETFB/ETFB/ETFB/IDH1/IDH1/IDH1/CD302/CD302/CD302/GPAT4/GPAT4/GPAT4/SDHC/SDHC/SDHC/HADH/HADH/HADH/UQCR10/UQCR10/UQCR10/DECR1/DECR1/DECR1/SLC1A5/SLC1A5/SLC1A5/AGPAT3/AGPAT3/AGPAT3/PGM1/PGM1/PGM1
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,98,0.48772106441498786,1.884468005268218,3.5869912901301616e-5,1.9814944694735714e-4,1.334901537329564e-4,13149,"tags=38%, list=21%, signal=30%",SERPINA6/SERPINA6/SERPINA6/EPHX2/EPHX2/EPHX2/ACSL1/ACSL1/ACSL1/SLC27A2/SLC27A2/SLC27A2/DHCR24/DHCR24/DHCR24/ALB/ALB/ALB/DIO1/DIO1/DIO1/ABCB4/ABCB4/ABCB4/TTR/TTR/TTR/ABCB1/ABCB1/ABCB1/ACSL5/ACSL5/ACSL5/ALDH1A1/ALDH1A1/ALDH1A1/ESR2/ESR2/ESR2/PRDX1/PRDX1/PRDX1/SULT2B1/SULT2B1/SULT2B1/HSD11B2/HSD11B2/HSD11B2/CLN6/CLN6/CLN6/ABCD1/ABCD1/ABCD1/CAT/CAT/CAT/ABCD2/ABCD2/ABCD2/PEX14/PEX14/PEX14/HSD3B7/HSD3B7/HSD3B7/ABCC5/ABCC5/ABCC5/STS/STS/STS/IDH2/IDH2/IDH2/DHRS3/DHRS3/DHRS3/GNPAT/GNPAT/GNPAT/ALDH9A1/ALDH9A1/ALDH9A1/TSPO/TSPO/TSPO/HRAS/HRAS/HRAS/CRAT/CRAT/CRAT/SCP2/SCP2/SCP2/ACOT8/ACOT8/ACOT8/PEX11B/PEX11B/PEX11B/GSTK1/GSTK1/GSTK1/SLC25A4/SLC25A4/SLC25A4/IDH1/IDH1/IDH1
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,144,0.4317669459851122,1.7607659902435524,3.962988938947143e-5,1.9814944694735714e-4,1.334901537329564e-4,15186,"tags=33%, list=24%, signal=26%",CBR1/CBR1/CBR1/G0S2/G0S2/G0S2/HPGD/HPGD/HPGD/ACSL1/ACSL1/ACSL1/INMT/INMT/INMT/DHCR24/DHCR24/DHCR24/XIST/XIST/XIST/VNN1/VNN1/VNN1/FABP1/FABP1/FABP1/ME1/ME1/ME1/CA2/CA2/CA2/ACADL/ACADL/ACADL/ALDH3A1/ALDH3A1/ALDH3A1/ACSL5/ACSL5/ACSL5/ALDH1A1/ALDH1A1/ALDH1A1/MGLL/MGLL/MGLL/DLD/DLD/DLD/GPD1/GPD1/GPD1/TDO2/TDO2/TDO2/ACAA2/ACAA2/ACAA2/REEP6/REEP6/REEP6/UBE2L6/UBE2L6/UBE2L6/CBR3/CBR3/CBR3/ACOT2/ACOT2/ACOT2/CRYZ/CRYZ/CRYZ/BMPR1B/BMPR1B/BMPR1B/NCAPH2/NCAPH2/NCAPH2/ALDH9A1/ALDH9A1/ALDH9A1/MIF/MIF/MIF/PPARA/PPARA/PPARA/UROS/UROS/UROS/CRAT/CRAT/CRAT/ENO2/ENO2/ENO2/PCBD1/PCBD1/PCBD1/ACOT8/ACOT8/ACOT8/ACSM3/ACSM3/ACSM3/IDH1/IDH1/IDH1/GLUL/GLUL/GLUL/ALDH3A2/ALDH3A2/ALDH3A2/SDHC/SDHC/SDHC/HADH/HADH/HADH/DECR1/DECR1/DECR1/BLVRA/BLVRA/BLVRA/UROD/UROD/UROD/D2HGDH/D2HGDH/D2HGDH/AADAT/AADAT/AADAT/ACAT2/ACAT2/ACAT2/ACADS/ACADS/ACADS
