baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	gene	CTRL1	CTRL2	CTRL3	Treated1	Treated2	Treated3
4066.1457317217023	-0.2924352313341738	0.06051137301198111	-4.832731712702541	1.3467222201695077e-6	7.232945655380144e-6	P-val < 0.05	ENSG00000000003.15_TSPAN6	4334	5232	5280	2967	3279	3830
1766.135170459206	0.10100871665376769	0.06844144741818667	1.4758413280857507	0.13998649317421313	0.2367466162183613	Not Sig	ENSG00000000419.14_DPM1	1757	1923	1958	1550	1779	1692
2251.111800418497	-0.07305857470947569	0.05945227789006986	-1.2288608158053174	0.21912399502589108	0.3386927100208027	Not Sig	ENSG00000000457.14_SCYL3	2298	2614	2736	1925	2040	2060
5905.656694657219	-0.2331697727296066	0.05074539129732405	-4.5948955514685785	4.329660861327053e-6	2.149217665214888e-5	P-val < 0.05	ENSG00000000460.17_C1orf112	6223	7452	7478	4560	5122	5249
647.3089740483634	-0.5792312451274971	0.1140722627682621	-5.077757125798459	3.819164625690287e-7	2.217861994267652e-6	P-val < 0.05	ENSG00000000971.16_CFH	875.85	875.13	801.21	454.99	437.92	533.95
6070.509834400674	0.272444556425571	0.057904159026900284	4.7050947808257195	2.5374803906054025e-6	1.3076949822037038e-5	P-val < 0.05	ENSG00000001036.14_FUCA2	5336	6287	6623	5323	5946	7051
3061.317665711324	-0.6672160029077538	0.06040799612150336	-11.04516033880233	2.313542684116982e-28	8.51940287144047e-27	P-val < 0.05	ENSG00000001084.13_GCLC	3609	4250	4614	2152	2065.84	2277
4919.146543976777	-0.0938436824129272	0.0471074762418462	-1.992118659279068	0.0463580401234704	0.09490465724847802	P-val < 0.05	ENSG00000001167.15_NFYA	5050	5658	6135	3935	4492.86	4668
2154.836362495003	-0.08654157762061929	0.060144393134490694	-1.4388968465788832	0.1501797511208294	0.25065805803884217	Not Sig	ENSG00000001460.18_STPG1	2150	2484	2734	1785	1958	2003
7691.288013945753	-0.33970026982906076	0.045475317915405204	-7.469992193589129	8.019957858056977e-14	1.011047053636181e-12	P-val < 0.05	ENSG00000001461.17_NIPAL3	8456	9680	10365	5665	6125	6904
3998.4722112122035	0.1954563860430418	0.04985356104500779	3.920610322431808	8.8324988959457e-5	3.5143236635255527e-4	P-val < 0.05	ENSG00000001497.18_LAS1L	3785	3943	4639	3620	3932	4189
17305.232589522097	-0.25414813185774054	0.04039798268095441	-6.291109481007784	3.1520492108789905e-10	2.7464605507365748e-9	P-val < 0.05	ENSG00000001561.7_ENPP4	18270	21362	22841	13302	14583	15537
10.222169794526872	0.5347588434172643	0.8713555605175	0.6137091075653088	0.5394075689171614	0.6670960896026468	Not Sig	ENSG00000001617.12_SEMA3F	11	13	3	8	2	24
22373.094429156732	-0.0960648215606357	0.036144335934959824	-2.6578112192599197	0.007864993526373362	0.02034542593258217	P-val < 0.05	ENSG00000001629.10_ANKIB1	23308	25776	27514	18254	19680	21575
12143.474049101338	0.30229098222699713	0.055072797787152836	5.488934544333507	4.043654235295955e-8	2.6937119850651293e-7	P-val < 0.05	ENSG00000001630.18_CYP51A1	10461.19	12222.55	13437.51	10915.4	11776.7	14290.64
