Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
PTPRC	0.28652955814033193	0.24316047297297297	23.102679851053384	9.670933331921808e-85	5.265823199231424e-81	182.37564684858404
CPEB2	0.43663682125857617	0.44446283783783785	21.72783407531663	1.7756705714348493e-77	4.834263130731377e-74	165.76035192579263
SIGLEC8	0.5166086157498873	0.3420929054054054	21.02855669246424	8.441500995151515e-74	1.5321324306199998e-70	157.34894578849713
LAT2	0.35287372013652135	0.30735135135135133	20.00735370257875	1.8358669522390321e-68	2.4990738887353823e-65	145.13912862160885
MFAP3L	0.46353769675939194	0.4703226351351351	19.973021182073634	2.7699516871489294e-68	3.016477387305184e-65	144.7304946978996
GPR155	0.42206057735112756	0.38565033783783786	19.901942589734187	6.487901521040701e-68	5.887770630344436e-65	143.88493001696355
LRRC4C	0.42532995080301905	0.26871114864864865	19.524522830365743	5.893521917915017e-66	4.584318120435324e-63	139.40524547249254
FIGN	0.4846027714680403	0.36355236486486486	19.268700070345684	1.2393731645619576e-64	8.108924366474203e-62	136.37921933825015
ADORA1	0.4021959204173203	0.39170608108108107	19.26211377797185	1.340318077103174e-64	8.108924366474203e-62	136.3014300819562
CDC14B	0.4643166756081181	0.46489695945945947	19.21696967277565	2.2920347928676326e-64	1.248012944716426e-61	135.76840584825266
CREM	0.4497505450477708	0.547918918918919	18.633344010937474	2.29552498831667e-61	1.1362848692167517e-58	128.90445571051424
TLR4	0.3975040921387589	0.5183125	18.465014647373216	1.667290157447723e-60	7.565329089419043e-58	126.93470047053954
LPIN1	0.36923768648624145	0.47114527027027026	18.38454001142832	4.295062430107691e-60	1.7989703793797215e-57	125.99468187352504
SLITRK2	0.41660954033353653	0.46704054054054056	18.063617932695315	1.8489334883646775e-58	7.019360368243954e-56	122.25729200056774
KIF3A	0.4347524398735281	0.4155827702702703	18.059784360295026	1.9337080904253317e-58	7.019360368243954e-56	122.21275936207782
IKZF1	0.47123011859783454	0.347535472972973	17.969275829434256	5.568185061841879e-58	1.8949229788580642e-55	121.16216232256512
TVP23A	0.4641669387149443	0.35261655405405407	17.878139557566858	1.6126703320572123e-57	5.165288210618542e-55	120.1058386818001
DOCK10	0.36339665780131875	0.4001064189189189	17.84620703247188	2.3399158073571917e-57	7.078245317255505e-55	119.73609772579461
ARFIP1	0.38519174266896633	0.5393260135135135	17.840249232574717	2.508138061452635e-57	7.187795655057683e-55	119.66713523131874
TJP1	0.34103484881345275	0.5476756756756757	17.362822086362304	6.389983556658994e-55	1.7396730233004113e-52	114.1639415903784
BNIP2	0.39308038170465964	0.4528597972972973	17.32532108168633	9.85440213704595e-55	2.5551056969626285e-52	113.73367921510247
