Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
NRBP1	0.25626085470085486	0.0538339222614841	16.52229196393361	3.2411458708185707e-56	2.262643932418444e-52	116.8640759511504
EPRS1	0.39338860398860404	0.10537455830388692	16.087369417396513	1.2987644093469582e-53	4.533337170825558e-50	110.94011269714072
SLC44A2	0.36892535612535615	0.14920636042402827	15.497461192016099	3.6936814605873394e-50	8.595196758786738e-47	103.080334865781
FMNL2	0.4711790313390314	0.1314190812720848	15.248643172380229	9.935245412590753e-49	1.7339487056324012e-45	99.82734551603545
CAST	-0.3942649002849004	0.6784614840989399	-14.996025449868958	2.703270247299854e-47	3.774305919280056e-44	96.56332314650322
TUBA1C	0.35153817663817694	0.07144098939929329	14.292712017712105	2.1609810467736374e-43	2.514301447921127e-40	87.68627718378451
RPGRIP1	0.42188638176638177	0.07858586572438163	14.236193246206476	4.388417649470457e-43	4.37650623013618e-40	86.98662578434107
ADD1	0.4169615384615386	0.25625371024734983	13.800506041593268	9.62558048519313e-41	8.399522170891655e-38	81.66333987656229
MRLN	0.1972103133903134	0.037987279151943464	13.583976213745402	1.338303213669336e-39	1.0380771927361816e-36	79.06457162652312
DDR1	-0.34784182336182334	0.6998939929328621	-13.493960661218892	3.9603921458813744e-39	2.7647497570397877e-36	77.9934936815367
SSR1	0.4168617663817665	0.13559505300353358	13.351953544950463	2.1687565171317817e-38	1.376371749645179e-35	76.31495194144303
TCF12	0.4091073504273506	0.26202402826855126	13.251964962026696	7.121743082562096e-38	4.1430740382804997e-35	75.1413312521843
ECT2	0.23585202279202291	0.06516678445229682	13.149221122957728	2.3992805878555854e-37	1.2884136756784493e-34	73.94252377273351
SORBS1	-0.48732085470085473	0.6954120141342757	-13.065771405883364	6.400097065681773e-37	3.191362686823176e-34	72.97420265462543
TFG	0.11547601139601148	0.023720848056537104	12.997169988927716	1.4285722503386845e-36	6.648575253076238e-34	72.18179370591015
CKAP5	0.21923635327635313	0.050096113074204945	12.979497471347278	1.7559205291768005e-36	7.661300758864528e-34	71.97819043361858
ENSG00000257524	-0.4434641595441595	0.43960070671378093	-12.905627763300318	4.149649383364897e-36	1.7040413144276675e-33	71.12950440384802
GSTA4	0.45072905982906014	0.11936042402826855	12.762218008132733	2.1796576637905604e-35	8.45343897273439e-33	69.49279334710938
PDLIM2	-0.49667863247863236	0.599939929328622	-12.745548792815988	2.6406648303424427e-35	9.702358516116102e-33	69.30348928888829
HPCA	0.3906752136752139	0.0899017667844523	12.595187551059146	1.4773019347900395e-34	5.156522403384633e-32	67.60479602466809
AIPL1	0.2459483190883191	0.03413427561837456	12.588363663953606	1.5967596220887703e-34	5.308085200857956e-32	67.52808437922513
ARPC2	0.36782792022792016	0.0754226148409894	12.535575089652665	2.910680387209444e-34	9.236118083231422e-32	66.93577534864849
SEZ6	0.4130356125356126	0.10159929328621908	12.506636392974343	4.041791934760706e-34	1.2267717172419344e-31	66.61191522198561
SAMD4A	-0.29321076923076916	0.30471095406360427	-12.409427696509786	1.2123006518906222e-33	3.526279521186847e-31	65.52841664395893
PGPEP1	-0.48952296296296316	0.5124360424028268	-12.308941767790184	3.746537814344719e-33	1.0461832192776193e-30	64.41552625434751
PLEC	-0.4537764672364675	0.4805469964664311	-12.283853675233114	4.9599686153608714e-33	1.331751573224394e-30	64.13880956255232
IMPG2	0.28959703703703704	0.04930600706713781	12.271706289568993	5.680751962754546e-33	1.4687899797033141e-30	64.0049898046803
LEMD1	0.36115378917378915	0.10492862190812721	12.24223039440655	7.892243191196093e-33	1.96770534706214e-30	63.68071724839706
DDAH2	0.25259088319088324	0.0371660777385159	11.882278037717537	4.157217901640821e-31	1.0007426955639507e-28	59.771855011412114
TNK2	-0.5170468945868948	0.6204494699646643	-11.857899135295112	5.418907940889928e-31	1.260979877845086e-28	59.5105527287795
MTFR1L	0.30170433048433043	0.06603180212014134	11.791993784678516	1.1069814279080285e-30	2.492850757492241e-28	58.80635378708263
PLPP1	-0.465297435897436	0.6498925795053003	-11.769318052134622	1.4143484400986216e-30	3.0854895188526492e-28	58.56480736679271
ARFIP1	-0.4552312820512822	0.4859349823321555	-11.759841954056443	1.566672571102433e-30	3.2885040883524785e-28	58.46397909621835
