Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
CFAP97D2	0.5489657320872274	0.03401201413427562	17.494840671891275	3.349159022328722e-62	2.338047913487681e-58	130.48898282218937
CFAP65	0.5913229091780504	0.043539929328621906	17.278608299711745	7.49942939410124e-61	2.617675830011038e-57	127.41545750530828
CFAP299	0.5529033069734006	0.041974558303886925	16.79618710438814	7.042654920598844e-58	1.638825800023351e-54	120.64849860932627
WDR38	0.5893257248981542	0.06158657243816255	16.52743713203497	3.017582007629882e-56	5.266434998816051e-53	116.93398371274459
CATIP	0.6622254972441871	0.06433992932862191	16.142385210736933	6.122348494697655e-54	8.548022968296866e-51	111.68275845684673
AKAP14	0.6080091960220465	0.05251166077738516	15.852287495604983	3.1671507946593005e-52	3.684979949586096e-49	107.78272639868317
CFAP126	0.5937331056793678	0.05658727915194346	15.242771053891166	1.0733619340607619e-48	1.0704485230968827e-45	99.75045697684357
PPP1R42	0.667975946561226	0.07281201413427561	15.128996722249244	4.77364859505007e-48	4.1656051052555675e-45	98.27597544761338
CCDC153	0.6172891205367853	0.07101413427561837	14.803896291084405	3.247583973486503e-46	2.519042635434364e-43	94.10681747235434
FAM166B	0.5363061346752943	0.04795689045936396	14.258332139426225	3.3259999188933477e-43	2.321880543379446e-40	87.26003834453817
AGBL2	0.5083300982506591	0.044125088339222615	14.063105332063769	3.792215454079936e-42	2.4066778259029122e-39	84.85651543280848
CCDC81	0.6048233884495564	0.07010176678445229	13.811260205764626	8.439441752156796e-41	4.909645239317216e-38	81.79290065997819
NME9	0.6031956625928594	0.07086855123674912	13.584567367868596	1.3288257716658259e-39	7.135794393845485e-37	79.07133355652184
FAM81B	0.695830218068535	0.09513851590106007	13.454439301065179	6.366095605412024e-39	3.174408101527239e-36	77.52469977756904
STOML3	0.4518433980349873	0.042653710247349826	13.24131085015727	8.080652937753537e-38	3.7607358772304963e-35	75.0164459195119
CFAP52	0.7095428348909664	0.11040848056537103	12.933762196849553	2.992017130829237e-36	1.3054544743949314e-33	71.4521009531975
ZBBX	0.6044293074526715	0.07865583038869257	12.730769063900654	3.129928177731963e-35	1.2852958005145196e-32	69.13564825623244
DRC7	0.5962080637431104	0.07748763250883392	12.69000345596078	4.997657394540487e-35	1.9382581261826188e-32	68.67395204642096
CFAP157	0.4763306074766353	0.05487349823321555	12.555384869518143	2.3241002623356404e-34	8.539233648086898e-32	67.1576830120432
MAP3K19	0.5195990294751982	0.05796395759717315	12.471473076436787	6.0184315775892685e-34	2.100733542157534e-31	66.21907857442167
CYRIB	-0.5714801401869158	0.7326621908127209	-12.320382686147182	3.296164548144157e-33	1.0957392719330647e-30	64.54176905204785
CFAP70	0.6180023064941288	0.09027137809187279	12.214197527690763	1.0783542619838634e-32	3.4218141376860685e-30	63.37281986661332
VWA3A	0.6480100946561222	0.09493922261484099	12.19331414619597	1.3601292170772648e-32	4.1282878540940814e-30	63.143884658076
C1orf194	0.44348442367601293	0.05620424028268551	12.125006914525295	2.899917165649604e-32	8.435134055583285e-30	62.3972775757288
