Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ABCA2	0.4773070915432713	0.2678127208480568	43.86121091315714	3.2881756765605834e-266	2.2971195276452235e-262	599.0854732679492
GLIS3	0.5556227650178942	0.3405618374558308	41.04444302759645	2.448471632452472e-243	8.552511412156485e-240	546.544932259913
NPAS3	0.4649048667610721	0.2917724381625441	40.98121595310234	8.02071863076236e-243	1.8677580118168615e-239	545.3610978522269
AKAP13	0.44713758089935757	0.31388975265017677	39.42739068266089	3.8631990249237547e-230	6.7470770970293375e-227	516.2244259037774
ATXN1	0.5350381296949628	0.42693286219081256	38.18156888336081	5.937181745648133e-220	8.295430335019572e-217	492.82121035332676
MFAP3L	0.525080185358532	0.30536961130742085	36.28962303843692	1.775463992736688e-204	2.067231908876417e-201	457.2653245108172
TET2	0.5158587511300029	0.411370318021201	36.1783391778538	1.4424941068242605e-203	1.439609118610612e-200	455.174993780328
ZNF516	0.5118829569363536	0.34739646643109573	34.748760933313285	6.8218997805359754e-192	5.95722398335304e-189	428.3511390551843
TRPS1	0.4053758449932495	0.24387208480565373	34.58429400710467	1.4962937234532003e-190	1.1614564391160062e-187	425.26979580697184
TNRC6B	0.3745557055543549	0.29742120141342765	34.544032888923475	3.185945775289781e-190	2.2257017186174413e-187	424.51567223837066
RUBCN	0.47628231774146407	0.44597809187279164	34.289413464846994	3.7862737433561906e-188	2.4046280337351225e-185	419.74819789143794
MYO9A	0.49871593027256517	0.4315583038869262	33.90099352180463	5.5056841257441404e-185	3.205225775204047e-182	412.4817781243234
FOXN3	0.47217635658915413	0.3461533568904589	33.743626975713326	1.049759278281937e-183	5.641244860059701e-181	409.54019580320414
LDLRAD4	0.5444984760121948	0.48126925795053044	33.66329476249882	4.724969684375486e-183	2.3577598725033674e-180	408.0391447246828
NTRK2	0.47690726074191764	0.40282190812720836	33.24561400982157	1.1705243293851572e-179	5.451521976723139e-177	400.24109420187284
TLR4	0.48351108591131414	0.3553123674911663	33.1598639560388	5.814903817438324e-179	2.5389323792890083e-176	398.6415848749573
EP400	0.4691356229150251	0.38802685512367513	32.85617904130475	1.6911145291720986e-176	6.949485941644871e-174	392.9811253094851
NF1	0.48097861017112586	0.45921130742049515	32.57761146330539	3.057555045408125e-174	1.1866710859567311e-171	387.79496666298706
SRGAP3	0.4870886912904824	0.38553286219081206	32.015600648730974	1.0734167890316213e-169	3.9467840464078454e-167	377.3514754800934
ATP11A	0.5215492376061077	0.34510600706713795	31.998341980258598	1.4796519016746172e-169	5.1684240925494376e-167	377.03121138725163
RO60	0.5068042275661857	0.5598169611307422	31.689601735824372	4.5884081946451625e-167	1.526410459418624e-164	371.3067650783985
DIP2C	0.2257058503531973	0.18733427561837473	31.547757146454806	6.382310089830951e-166	2.02667355852541e-163	368.67990375633286
