Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
TNRC6B	-0.35155217636741826	0.29742120141342754	-21.136311071558985	2.0425266703885415e-86	1.426909131933435e-82	186.11732017170215
ZBTB20	-0.40176158746800367	0.3438459363957597	-20.594945496775594	1.1790839956026334e-82	4.1185403966399983e-79	177.50674215130817
TASOR2	-0.5063371840621638	0.5244007067137809	-20.54714731906976	2.5185872907535477e-82	5.864950271068094e-79	176.75221879529883
PAN3	-0.45662376766599017	0.4671406360424028	-20.31275451852636	1.0269034534621728e-80	1.793486881471685e-77	173.06594673527272
GOLGB1	-0.4457042633549242	0.4333950530035336	-20.22706535396232	3.9604313631124835e-80	5.533514700540762e-77	171.72408864312862
CHD8	-0.4887618831609774	0.4531498233215548	-20.161418518904387	1.1115397608284781e-79	1.294202794857958e-76	170.6981973178907
BAG4	-0.4487109198067403	0.42305017667844524	-20.14910540269076	1.3486514972846467e-79	1.3459541942900774e-76	170.50597996167414
UBE3A	-0.48446631116309713	0.5434826855123674	-20.083572270070103	3.7701322576529185e-79	3.292267993995411e-76	169.4840505262764
MYO9A	-0.4540293710476428	0.4315583038869258	-20.045684453823945	6.825087662924872e-79	5.2977847125770165e-76	168.89406755630932
DYRK2	-0.45320900788291907	0.3955406360424028	-19.95880782743846	2.6552982234544077e-78	1.8549913389052493e-75	167.5435830593825
TEAD1	-0.4165829653972139	0.43420494699646645	-19.95131365957132	2.984982102950904e-78	1.8957349973831834e-75	167.42724084238827
NFAT5	-0.26522554988811325	0.22392932862190812	-19.88057003309589	8.999714593269271e-78	5.239333845714927e-75	166.33019786698253
PIKFYVE	-0.4859284691840994	0.5138932862190813	-19.855027664059786	1.3398130970520376e-77	7.199949458465795e-75	165.9346424825713
TET2	-0.4496108546198738	0.4113703180212014	-19.823101851895796	2.2022878498553637e-77	1.0989416370778265e-74	165.44063425752788
RNF38	-0.47110338837256055	0.4290565371024735	-19.81176352575162	2.6271105169567957e-77	1.223532938097345e-74	165.26529706737253
LCOR	-0.4955025906735824	0.40550671378091874	-19.724688336417746	1.0161460578645609e-76	4.436747725151139e-74	163.92064763941843
MDM4	-0.48958151717373316	0.4733964664310954	-19.70631439053695	1.3512474445200379e-76	5.5528321455394025e-74	163.6373389398181
KMT2C	-0.4940985329597024	0.5519568904593639	-19.65531329214142	2.9783065698537934e-76	1.1559138720554777e-73	162.85173754805612
PTBP3	-0.47187185406209503	0.4807632508833922	-19.473034615294033	4.972318507834675e-75	1.828243005038581e-72	160.05350837029914
JMJD1C	-0.427628347546773	0.49020918727915197	-19.358783842111905	2.880990600049752e-74	1.0063300165973783e-71	158.30725996534275
ENSG00000280828	-0.4985938825158242	0.43089257950530035	-19.1756277649181	4.756274718119112e-73	1.5822540562276248e-70	155.52031376762164
ANKRD12	-0.4402118942494598	0.42600918727915194	-19.138429552468406	8.389946731694459e-73	2.6641894485280678e-70	154.95619107322557
BIRC6	-0.40475813323657184	0.4322982332155477	-19.065511875983884	2.5476100168822827e-72	7.738088512147664e-70	153.85224137448265
EMSY	-0.4634004018736316	0.476791519434629	-18.89155217310457	3.569082589846723e-71	1.0389004571945503e-68	151.228626307219
EP400	-0.4143113579699447	0.3880268551236749	-18.864707875606932	5.356879785889623e-71	1.4969264873689964e-68	150.82504166130738
DIP2C	-0.20338269725745295	0.18733427561837457	-18.786255932051716	1.7516730683851426e-70	4.706610790668695e-68	149.64754014329654
SMIM15	0.3375102887710656	0.13206643109540636	18.33538105268958	1.4982070203372547e-67	3.876471942250393e-65	142.9379195505065
ZFX	-0.43508535110180524	0.4011717314487632	-18.237078595656882	6.443145022478517e-67	1.60756468310839e-64	141.48830160077702
VPS13B	-0.37111065637118634	0.32661413427561836	-17.944805434143625	4.789347238295633e-65	1.153737234714941e-62	137.20692401407516
TREM2	0.4583670557717299	0.3165844522968198	17.855478719681983	1.7717637642839317e-64	4.125847219095849e-62	135.9070699985532
PCNX1	-0.40318217038635956	0.3679851590106007	-17.68489685809789	2.129997522012289e-63	4.80005248025092e-61	133.43622621867272
MTX3	-0.3970985900821979	0.39619717314487635	-17.415693814456308	1.0455539422112911e-61	2.2825749500900248e-59	129.5677396308331
ZNF142	-0.41319238187403845	0.3512939929328622	-17.35839543893251	2.3829695103288835e-61	5.044674242168963e-59	128.74929017761124
ENSG00000227544	0.1457683548046812	0.0575434628975265	17.342373978478875	2.9993090872711107e-61	6.162698024610582e-59	128.52075232029006
ZNF507	-0.42891986048669384	0.37288480565371024	-17.26877199474209	8.6140395130009e-61	1.7193622867949798e-58	127.47261925289779
CUX1	-0.43859945027991093	0.3838296819787986	-17.143495927083602	5.154346139172078e-60	1.0002295035626704e-57	125.69530484378537
CAMSAP1	-0.43942286445838674	0.4981611307420495	-17.123493021718833	6.853184051124898e-60	1.293955237328609e-57	125.41230392246347
ADNP	-0.39986007674577595	0.4165893992932862	-17.03578962715491	2.3835846346408537e-59	4.382032173052896e-57	124.17403946732266
NRIP1	-0.4474246285357272	0.42534770318021203	-16.935880739087636	9.810481556432019e-59	1.7573339526470277e-56	122.76855784401754
PCED1B-AS1	0.44183591728662014	0.31807420494699645	16.884390276761017	2.029740661555771e-58	3.4722729913491856e-56	122.04634584066206
XRN1	-0.43824889619161933	0.42550388692579505	-16.884108106303174	2.037835566065225e-58	3.4722729913491856e-56	122.04239209945364
TENM4	-0.4087637480427307	0.3662416961130742	-16.858231037205325	2.935026678600449e-58	4.881927708738747e-56	121.67999202862633
SMG1P3	-0.3361398157295288	0.2771505300353357	-16.853680348472015	3.1293846414339397e-58	5.084158396525001e-56	121.61629927728744
ZBTB37	-0.4253592400691027	0.34810318021201414	-16.849194754288835	3.333516883940964e-58	5.292715670729904e-56	121.5535287957588
ZNF484	-0.3306642406403237	0.2878134275618375	-16.7929810292573	7.352244573646736e-58	1.1413951242554688e-55	120.76782872876491
ASXL1	-0.4050403419286066	0.43733074204947	-16.745090101058928	1.4403842703036684e-57	2.1875053287698756e-55	120.09983819856295
NFIB	-0.3863429198336182	0.4447724381625442	-16.70057860719411	2.6880158382587496e-57	3.995420988526728e-55	119.48012833063588
ENTPD3-AS1	0.3187309597252889	0.1457929328621908	16.642147692486105	6.086798899044303e-57	8.858828564317396e-55	118.66830428580124
FER	-0.39156497516851974	0.42395265017667844	-16.541381211687963	2.4807183400587014e-56	3.5367955762551204e-54	117.27277835740423
BCL9L	-0.41601555748205404	0.39477950530035333	-16.53614353319806	2.6682489299681354e-56	3.7280774049514785e-54	117.20039742965287
THAP9-AS1	0.39697811872072963	0.2588975265017668	16.499846239567642	4.419465411415976e-56	6.053801051794511e-54	116.69922074407256
RBM12B	-0.3519947413694768	0.3274565371024735	-16.438311134145657	1.0378795936732342e-55	1.3943513156540796e-53	115.85127542185428
PRR14L	-0.39042421859775284	0.3493498233215548	-16.41973877108388	1.342366226810449e-55	1.7693906529241126e-53	115.59577296334677
