Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ASIC2	-2.06666979387515	8.796575959402702	-17.646035814436594	1.7106104005833893e-56	2.2511632871677403e-53	117.69100041115493
PRRX2	1.2854596747221847	7.038897316651639	15.350006973893526	3.9627793390227064e-45	2.607508805076941e-42	91.77051415224194
LINC02058	-0.6022222254547174	6.5432637632951325	-14.914168227678122	4.8152884113116275e-43	2.1123065164287006e-40	87.01736228360622
GRM7	-1.890211267092045	8.828813401250061	-14.586711069242064	1.7019423373363685e-41	5.5993902898366525e-39	83.4874702668434
VSX1	-1.3803316303287365	7.686861642268332	-14.44034681169641	8.275666396750315e-41	2.1781553956246828e-38	81.92169641658903
GRM5	-2.490505970371148	10.48973092884621	-13.685481803461528	2.5475037384095883e-37	5.587524866245031e-35	73.97121691683468
TMC2	-0.9884513364651336	7.036325107391282	-13.136383782186082	7.631962800645063e-35	1.4348090065212717e-32	68.32867276002914
SGCG	0.6260570729482894	6.332425096275251	12.91334224184739	7.463015952720667e-34	1.2276661242225498e-31	66.07293847495491
RIPK4	1.39192094880525	6.9437590751929035	12.71547152466212	5.5403392303322905e-33	8.101207141241438e-31	64.09004859013493
IQGAP3	1.4681263817166097	8.90060265452052	12.294263997269496	3.7257461133591434e-31	4.9030818851806323e-29	59.92836594992658
UPP2	-0.531541610930619	6.811779923856286	-12.181015888050277	1.1389040032099587e-30	1.3625433347493688e-28	58.823618035223014
BUB1	1.4238612369522108	8.764499976031892	12.099949841578544	2.5247925183349915e-30	2.768855795107374e-28	58.036593966383016
KIF23	1.3860789989364708	8.48959382283713	12.045916290741307	4.284587034727301e-30	4.317771807423884e-28	57.513784108774324
HJURP	1.430152941335881	8.283439404666298	12.03241429788518	4.888848334706873e-30	4.317771807423884e-28	57.383366060357936
IL31RA	0.7850830044202836	6.380497753051193	12.031733393869839	4.921472424875248e-30	4.317771807423884e-28	57.37679145571216
ESPL1	1.4371254782761678	8.509538344830244	11.883194854575656	2.0886284815771275e-29	1.7178969260971874e-27	55.948006673878076
MELK	1.3114149407023399	8.147373175881159	11.787962118835761	5.246280171211789e-29	4.0612380619498316e-27	55.03773998834991
LINC00944	0.39656520767085357	6.128659962920805	11.702457912409367	1.1948184390662418e-28	8.735450365617635e-27	54.22435364205189
C15orf48	0.6041038699533674	6.486593240592915	11.608315844662235	2.94446653656263e-28	2.0394305063770633e-26	53.33310108042912
MYBL2	1.6527270660344522	8.733123350807562	11.558274346391567	4.747004488092178e-28	3.123528953164653e-26	52.86120552170197
AC022182.1	-0.30463140988611953	6.452918998989501	-11.546020349317688	5.334887334767826e-28	3.3431960631211707e-26	52.74584644373349
TPX2	1.538944089102916	9.818310196133066	11.529314262603085	6.254593018757823e-28	3.588912971661957e-26	52.58870073546931
ZYG11A	0.8060658694689867	6.747340131041396	11.529015231974627	6.272416287859043e-28	3.588912971661957e-26	52.58588922424259
SLAMF9	0.5084077663380289	6.2465362992531865	11.517610247612744	6.991234294158222e-28	3.833526804630092e-26	52.47869325002264
KCNG4	-1.1620367562608742	7.191931060729247	-11.2012252695117	1.3801632326340104e-26	7.26517925658543e-25	49.532231220477755
KRT80	1.198035965579632	6.842408783208654	11.19513216001439	1.4610066501411016e-26	7.394941352252652e-25	49.47600950448412
LRRC8E	0.9720415580443349	6.64674538989391	11.183147482049906	1.6340028454302568e-26	7.964250905874881e-25	49.36548406911712
TMPRSS2	0.8381263958535918	6.466290335779177	11.160951996315509	2.0098905888916078e-26	9.446485767790557e-25	49.16099688052562
LARGE2	1.109117459702959	6.653990723342665	11.106182139653471	3.346321551196128e-26	1.5185376418531396e-24	48.65754254477721
KIF2C	1.3199330649477203	8.609774677096725	11.028769017432376	6.859520525886185e-26	3.0090430040220735e-24	47.948732031139095
BUB1B	1.3371002308231654	8.541276707159964	10.955489412851149	1.349183435241295e-25	5.727501292830788e-24	47.28079640521748
