Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
MRLN	2.2041638011572293	5.945369625537811	23.662126822037663	1.4513719798504712e-104	6.761942054123345e-101	227.70160165161957
LINC00463	1.9498726966793296	6.087417370278888	22.03565111709096	9.366289943820318e-93	2.1818772424129433e-89	200.65155114367278
ENSG00000258592	1.6376907935084863	5.666913414617419	21.19531046409586	8.209298130178377e-87	1.274903999616702e-83	187.04128023257888
DKC1	1.299450097416795	10.976440614444147	21.10467536269811	3.5339516629678046e-86	4.11617019944175e-83	185.58944976363819
CXXC1P1	0.6584624493654364	5.424523212171153	20.97498317652195	2.837632408525225e-85	2.6441058782638046e-82	183.51761853976475
MZT1	2.2318712839871138	8.934526564799041	20.717858198241345	1.7296103766290903e-83	1.3430424574524885e-80	179.4299324490437
LHX1-DT	3.608340046628365	6.483670287556388	20.356583300352693	5.322685278760595e-81	3.542627244820802e-78	173.73215926842573
ENSG00000233968	2.1200525697363592	5.957032836151374	20.00667794199403	1.2980725267691232e-78	7.559649877771681e-76	168.26599074850202
SUMO2	1.6796529189209686	12.703265163048588	19.698915713775637	1.562949221270146e-76	8.090867135441789e-74	163.50195446829636
ARL6IP1	1.9162662593574114	13.592506967929811	19.683561851994448	1.9827637510641338e-76	9.2376963162078e-74	163.26537616929505
XKR7	4.248640953276509	7.662592228002695	19.530723313844568	2.1053730712365298e-75	8.917211944446357e-73	160.9161203349216
OTX2	5.807015164322636	7.673910978996059	19.330307410758724	4.590492522129458e-74	1.782258721716762e-71	157.85152962439443
OTX2-AS1	3.4112059614788404	6.288963185288004	19.16891606373444	5.419476718954816e-73	1.942257079508499e-70	155.3970253505809
NOTCH1	-3.3999126311148573	12.561579463424113	-19.08487442630656	1.9505681484450957e-72	6.491212145432643e-70	154.12366111699134
H2AZ1	1.9427358582833545	11.705638334640513	19.079410748410552	2.1196851219499263e-72	6.583741988776472e-70	154.04099168346696
TAFA4	2.601538363926742	6.437864529921213	19.055973012930554	3.027652115964891e-72	8.816144505175267e-70	153.68651997170946
HAUS1	1.617509332290787	9.1153806621349	18.96700227038898	1.169090037371735e-71	3.2039944024205373e-69	152.3432736707932
TRIM8	-1.4885113518284203	12.023943976593054	-18.903381508282905	3.0649281256454657e-71	7.933055631879013e-69	151.3850385362749
RD3	2.686986533083313	6.0069647151014225	18.865987880259652	5.395747793474145e-71	1.3230941563050548e-68	150.82272218414468
CABP5	1.959426625542472	5.680856700244676	18.661353181794926	1.1779544681216666e-69	2.7440449334894224e-67	147.757294785979
ENSG00000262267	1.3501061514722623	5.741658880440045	18.4603318366835	2.3879222524348783e-68	5.297776082901952e-66	144.76568232459206
ATXN1	-1.7896946966095606	12.191370761186175	-18.38095103643741	7.793543996576717e-68	1.6504600672750422e-65	143.58977359308642
