pathway	pval	padj	direction	genes
KEGG_OXIDATIVE_PHOSPHORYLATION	2.7217408910926155e-26	4.3275680168372585e-24	down	ATP5PF,COX7A2,ATP5MC1,ATP5PO,ATP5MC3,NDUFS5,COX6C,NDUFA4,NDUFB6,NDUFB4,ATP5F1C,NDUFS4,ATP5MG,UQCRB,NDUFA6,SDHC,ATP5PD,NDUFB5,UQCRH,ATP5PB,NDUFV2,ATP6V0E1,ATP6V1D,ATP5MC2,NDUFA5,NDUFB3,ATP6V1G1
KEGG_PARKINSONS_DISEASE	1.8263824098876915e-22	1.4519740158607148e-20	down	ATP5PF,COX7A2,ATP5MC1,ATP5PO,ATP5MC3,NDUFS5,COX6C,NDUFA4,NDUFB6,NDUFB4,ATP5F1C,NDUFS4,UQCRB,NDUFA6,SDHC,ATP5PD,NDUFB5,VDAC3,UQCRH,ATP5PB,NDUFV2,ATP5MC2,NDUFA5,NDUFB3
KEGG_ALZHEIMERS_DISEASE	1.5045056222161984e-21	7.973879797745852e-20	down	ATP5PF,COX7A2,ATP5MC1,ATP5PO,ATP5MC3,NDUFS5,COX6C,NDUFA4,NDUFB6,NDUFB4,ATP5F1C,NDUFS4,UQCRB,NDUFA6,SDHC,ATP5PD,NDUFB5,UQCRH,ATP5PB,NDUFV2,ATP5MC2,NDUFA5,NDUFB3,CALM2
KEGG_RIBOSOME	2.1761353298357721e-16	8.650137936097194e-15	down	RPS11,RPL21,RPS3,RPL27,RPL10,RPL30,MRPL13,RPS27,RPS3A,RPL23,RPS24,RPL15,RPL9,RPL5,RPL23A,RPL17,RPL26,RPL34,RPL3,RPSA,RPL10A
KEGG_HUNTINGTONS_DISEASE	1.1021003993575506e-14	3.504679269957011e-13	down	ATP5PF,COX7A2,ATP5MC1,ATP5PO,ATP5MC3,NDUFS5,COX6C,NDUFA4,POLR2K,NDUFB6,NDUFB4,POLR2G,ATP5F1C,NDUFS4,UQCRB,NDUFA6,SDHC,ATP5PD,NDUFB5,VDAC3,UQCRH,ATP5PB,NDUFV2,ATP5MC2,NDUFA5,NDUFB3
KEGG_PROTEASOME	7.601921002492418e-14	2.014509065660491e-12	down	POMP,PSMB3,PSMB6,PSMA3,PSMB7,PSMB1,PSMA2,PSMD4,PSMB4,PSMA6,PSMA1,PSMD14,PSMA5,PSMD13,PSMC2,PSMD7,PSMC6,PSMC1,SEM1,PSMD1,PSMD6
KEGG_SPLICEOSOME	1.924493426395392e-10	4.371349354240962e-9	down	SNRPD2,SF3B6,SNRPF,ZMAT2,SNRPB2,SYF2,PHF5A,HNRNPK,HNRNPA1,SNRPE,SNRPD1,SNRNP27,NCBP2,HNRNPC
KEGG_PROTEIN_EXPORT	6.531294680665298e-4	0.012980948177822279	down	SRP14,SPCS2,SEC61G,SRP9,SRP54
KEGG_PEROXISOME	0.0015420406291027117	0.027242717780814576	down	DAO,SLC25A17,GNPAT,PEX19,SLC27A2,PEX2
KEGG_PHENYLALANINE_METABOLISM	0.00195494196969025	0.031083577318074974	down	ALDH1A3
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.0024683121437770548	0.03270513590504598	down	ATP6V0E1,ATP6V1D,ATP6V1G1,RAC1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.002391115511779383	0.03270513590504598	down	ARPC3,NCL,ARPC1A
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.0031992515568667152	0.03912930750321598	down	COX7A2,COX6C,UQCRB,UQCRH
