Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.11421294256000435	0.10195742278449474	20.340149256917623	6.719340178812976e-81	1.2430779330804005e-78	173.46253810888697
KEGG_ABC_TRANSPORTERS	-0.1082208300532978	-0.02980613775728832	-19.38535611057288	1.9287938108279233e-74	1.7841342750158292e-72	158.64783239223564
KEGG_LYSINE_DEGRADATION	-0.07567064741148274	0.0330007515333484	-17.735785258434728	1.0210893837496566e-63	6.296717866456215e-62	134.0549317258225
KEGG_TYPE_I_DIABETES_MELLITUS	0.09073258009198899	0.008397073878435371	16.969222057119623	6.148450917850881e-59	2.843658549506032e-57	123.09758880303264
KEGG_BETA_ALANINE_METABOLISM	0.08670757529327605	0.09307808993361065	15.995665787054927	4.540423047547596e-53	1.6799565275926105e-51	109.64893804103707
KEGG_PARKINSONS_DISEASE	0.0571968528907055	0.05127285027308384	15.379679234029838	1.765904152570177e-49	5.4448711370913794e-48	101.42476200636453
KEGG_SMALL_CELL_LUNG_CANCER	-0.05264437090861445	-0.02022014680512694	-15.062781270990225	1.1351791176909466e-47	3.0001162396117874e-46	97.28347989030758
KEGG_HUNTINGTONS_DISEASE	0.03438664122570353	0.04877451181435249	13.906113763142823	2.6389625146936986e-41	6.102600815229178e-40	82.70802021458685
KEGG_ALZHEIMERS_DISEASE	0.0359658042303889	0.04309667968400527	13.681058976767762	4.132066477231431e-40	8.493692203197942e-39	79.97397821621672
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.05212833127740911	0.03187223964581329	-13.56880008948946	1.6091595858182342e-39	2.9769452337637333e-38	78.622993208821
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.06766126286517987	0.10459422930865739	12.948936260348617	2.5095822420349643e-36	4.2206610434224394e-35	71.31906346028181
KEGG_TYPE_II_DIABETES_MELLITUS	-0.05752364670450055	0.01565316091223909	-12.367153759618091	1.9518914659831065e-33	3.009166010057289e-32	64.70972852491575
KEGG_SPLICEOSOME	0.04351174928030552	0.058688480477662695	12.339387383519819	2.6656593461917084e-33	3.793438300349739e-32	64.40037174495943
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.04003690022047444	0.1086099682992872	11.960380477816491	1.774288201924608e-31	2.3445951239718035e-30	60.234051330918454
