Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
KEGG_LONG_TERM_DEPRESSION	0.09032778910025349	0.21483573554886395	15.605782051998794	2.9560319752773016e-46	4.138444765388222e-44	94.3515697430154
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.10738312513213837	0.20857151453369788	14.090099215630037	4.2215711413302205e-39	2.9550997989311543e-37	78.00159955225676
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.16950036914985708	0.16432791445259787	13.673195451322622	3.406877812532452e-37	1.5898763125151442e-35	73.64603963492488
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.2049209346252641	0.10902351486950895	13.040862699588066	2.332472722790037e-34	8.163654529765129e-33	67.17157073488742
KEGG_SPHINGOLIPID_METABOLISM	0.08654314537252969	0.4089212435712591	12.801296375550761	2.6492978656808464e-33	7.41803402390637e-32	64.76260515465566
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.10613487205890505	0.2023063519731738	12.458613538928129	8.196574690092995e-32	1.912534094355032e-30	61.36100969463915
KEGG_PHENYLALANINE_METABOLISM	0.06300948312662424	0.15720688137199124	12.301068524486048	3.9004532472429904e-31	7.800906494485981e-30	59.81519568735901
KEGG_OOCYTE_MEIOSIS	-0.08734432999180873	0.31511861129844815	-12.147804018526388	1.7594333488108167e-30	3.0790083604189295e-29	58.322581150424185
KEGG_PROSTATE_CANCER	-0.11127033891201821	0.2708015678328487	-11.88811035996216	2.202216467559183e-29	3.4256700606476177e-28	55.81927643106305
KEGG_RENIN_ANGIOTENSIN_SYSTEM	-0.12767411768277587	0.07717991747151312	-11.723603486448376	1.073230406752032e-28	1.5025225694528448e-27	54.25070163884987
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	-0.0993783980033531	0.13871910389667153	-11.587388375404577	3.9427741064356074e-28	4.6025911381695975e-27	52.96219825902686
KEGG_MISMATCH_REPAIR	-0.09722962982741484	0.33271090991679225	-11.587326999598297	3.945078118431084e-28	4.6025911381695975e-27	52.96161981476106
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.05307128823447376	0.43008640802758447	11.54473229490653	5.9146744976813665e-28	6.369649459041472e-27	52.560646280166225
KEGG_CELL_CYCLE	-0.0844299249125313	0.3616437647462719	-11.475517176185445	1.1398998191633723e-27	1.1398998191633723e-26	51.911068800138544
KEGG_GLIOMA	-0.08724912955374482	0.2183660684979612	-11.277164291743974	7.370213230524494e-27	6.878865681822861e-26	50.06337158187704
KEGG_P53_SIGNALING_PATHWAY	-0.08012596893360772	0.37947424305926014	-11.049865725096929	6.100393533710704e-26	5.337844341996866e-25	47.97171629782614
KEGG_BASE_EXCISION_REPAIR	-0.13504026938556468	0.26430713563066505	-10.935752788305367	1.7443758211041822e-25	1.4365447938505028e-24	46.93216953273823
KEGG_COLORECTAL_CANCER	-0.09116323827007082	0.38602554043730514	-10.912207674660268	2.1647302564988886e-25	1.6836790883880243e-24	46.71856731462052
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-0.07685621089735448	0.37671405079382503	-10.882607179438521	2.838543023473298e-25	2.091558017296114e-24	46.45046462966265
