Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
KEGG_BETA_ALANINE_METABOLISM	-0.1022766474229922	0.21838551738728754	-15.683839112227062	3.0879879202517656e-51	5.465738618845625e-49	105.54215796255485
KEGG_SELENOAMINO_ACID_METABOLISM	0.2025404968465146	-0.23763650063126962	14.365672101176068	8.688020167176259e-44	7.68889784795099e-42	88.49358024170084
KEGG_MAPK_SIGNALING_PATHWAY	-0.046529635450255596	0.07081439109603857	-11.270010996154504	2.835533377221168e-28	1.672964692560489e-26	53.04377200430808
KEGG_LONG_TERM_DEPRESSION	-0.0800372502026855	0.100710887771944	-11.230613339365924	4.272717933164748e-28	1.890677685425401e-26	52.63754451295631
KEGG_MELANOMA	-0.0579599548522514	0.05360659008916807	-10.946721292489185	7.918444095411539e-27	2.8031292097756848e-25	49.74565094763009
KEGG_SPHINGOLIPID_METABOLISM	-0.09791109944060646	0.2502234111535265	-10.818861499259798	2.890131967833624e-26	8.52588930510919e-25	48.46358709036835
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	-0.05907503003581538	-0.11341764839994065	-10.650829593857228	1.5541646819470913e-25	3.929816410066217e-24	46.79814110854064
KEGG_PYRIMIDINE_METABOLISM	-0.02966196010270071	0.23256250000126027	-10.332617364061091	3.538290687896056e-24	7.828468146970024e-23	43.705199078638906
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	-0.04165692745379126	0.07516461375022801	-10.124994475092969	2.6042603130421416e-23	5.121711948982879e-22	41.730645400301384
KEGG_RENAL_CELL_CARCINOMA	-0.015559972475249668	0.426493325723913	-9.210220130665695	1.137252549192041e-19	2.0129370120699123e-18	33.44821370547644
KEGG_GNRH_SIGNALING_PATHWAY	-0.0377567864406827	0.048437063486856655	-9.06984205761373	3.8741616073004047e-19	6.233878222656106e-18	32.238459429501944
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.05681605737014845	0.06417063487460098	-8.954188163012255	1.0505391034020337e-18	1.5495451775179998e-17	31.254203625244354
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.08720102801407133	0.0025044072938262456	-8.941872311509897	1.1675143518810634e-18	1.5896156944842172e-17	31.15005516068852
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	-0.036653789486274	0.06542218058778045	-8.931665864274773	1.2741415119845834e-18	1.610878911580509e-17	31.063841768801684
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	-0.013617544769548337	0.3465730917444	-8.864229074744662	2.264912690273675e-18	2.6725969745229368e-17	30.496417928496083
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.08053692964598551	0.010856717458485586	-8.426758047680527	8.620272369285679e-17	9.536176308522283e-16	26.90935737819687
KEGG_OLFACTORY_TRANSDUCTION	-0.04796054507025673	0.03542794425785216	-8.37857624820913	1.274385097064972e-16	1.3268597775323532e-15	26.524301891417384
KEGG_ENDOCYTOSIS	-0.028386548706606105	0.2369914031625006	-8.336404410886226	1.7914326967617375e-16	1.761575485149042e-15	26.188917091448996
KEGG_WNT_SIGNALING_PATHWAY	0.032383135301185015	0.21704812763794765	8.283469914523115	2.7410459611124047e-16	2.553500711141556e-15	25.770110300978676
KEGG_GALACTOSE_METABOLISM	-0.11795324267860913	-0.14704658580842325	-8.007010246157083	2.4307991949174403e-15	2.1512572875019346e-14	23.622265057138407
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	-0.09271263889232734	0.05477310241351106	-7.436652475438608	1.7818321551864917e-13	1.5018299593714717e-12	19.402433409614456
KEGG_PEROXISOME	0.028143482592218112	0.21389993919451905	7.384361771534081	2.6044683006102607e-13	2.0954131327637097e-12	19.029943535648837
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.0383456741967925	0.10466669282810243	-7.3741381576682254	2.804328414416375e-13	2.15811360587695e-12	18.95740049719971
