sample	cluster_assigned	method
BS_00FD2KMP	1	hc_pearson_3
BS_014EVM2D	1	hc_pearson_3
BS_03FT4S8B	1	hc_pearson_3
BS_0448A413	1	hc_pearson_3
BS_052PZFMK	1	hc_pearson_3
BS_056Q8577	1	hc_pearson_3
BS_063ERW0R	1	hc_pearson_3
BS_06D4QTM6	1	hc_pearson_3
BS_06XH7EVF	1	hc_pearson_3
BS_07ANYSYQ	1	hc_pearson_3
BS_08B376A6	1	hc_pearson_3
BS_08TWG4K0	1	hc_pearson_3
BS_0BTXD5M6	1	hc_pearson_3
BS_0BXY0F9N	1	hc_pearson_3
BS_0C00AYTE	1	hc_pearson_3
BS_0C7VZC0A	1	hc_pearson_3
BS_0D5VRAKC	1	hc_pearson_3
BS_0EB67GB4	1	hc_pearson_3
BS_0GDJQANN	1	hc_pearson_3
BS_0HKNEFQC	1	hc_pearson_3
BS_0HW7W7SD	1	hc_pearson_3
BS_0J9SHHSC	1	hc_pearson_3
BS_0JAKSXQP	1	hc_pearson_3
BS_0K69QMK6	1	hc_pearson_3
BS_0QYS36NR	2	hc_pearson_3
BS_0R12SD1M	1	hc_pearson_3
BS_0RF0EZTV	1	hc_pearson_3
BS_0S8E7590	1	hc_pearson_3
BS_0SCXXM6N	1	hc_pearson_3
BS_0SPCTBZY	1	hc_pearson_3
BS_0T17SY47	1	hc_pearson_3
BS_0TDWG2CV	1	hc_pearson_3
BS_0VRSD9V3	1	hc_pearson_3
BS_0VXZCRJS	1	hc_pearson_3
BS_0WVJYM9R	1	hc_pearson_3
BS_0X9EGHY2	1	hc_pearson_3
BS_0XEBS3PG	1	hc_pearson_3
BS_0XEG6SNV	1	hc_pearson_3
BS_0XHT9W4Q	1	hc_pearson_3
BS_0Y1BP5A4	1	hc_pearson_3
BS_0Y5J2AQ4	1	hc_pearson_3
BS_0Y66ZBWE	1	hc_pearson_3
BS_0ZA67BBC	1	hc_pearson_3
BS_10Z9BMZ7	1	hc_pearson_3
BS_123NZXAQ	1	hc_pearson_3
BS_15ETQ0E4	1	hc_pearson_3
BS_1607397Q	1	hc_pearson_3
BS_166N7SZQ	1	hc_pearson_3
BS_17SAB1QN	1	hc_pearson_3
BS_17WYVEEC	1	hc_pearson_3
BS_17ZSMXFH	1	hc_pearson_3
BS_18M3RHYN	1	hc_pearson_3
BS_196BBNEJ	1	hc_pearson_3
BS_19Z0ERYF	1	hc_pearson_3
BS_1AYRM596	1	hc_pearson_3
BS_1BJNPHMD	1	hc_pearson_3
BS_1BWP5MCT	1	hc_pearson_3
BS_1D93Z575	1	hc_pearson_3
BS_1DECYC4K	1	hc_pearson_3
BS_1DMAMKFZ	1	hc_pearson_3
BS_1DNQ1R02	1	hc_pearson_3
BS_1G3WYEN3	1	hc_pearson_3
BS_1HFK0SXV	1	hc_pearson_3
BS_1HQ76V6D	1	hc_pearson_3
BS_1HYS8CSC	1	hc_pearson_3
BS_1J2WQ08M	1	hc_pearson_3
BS_1JDG6JV5	1	hc_pearson_3
BS_1N76FQZY	1	hc_pearson_3
BS_1N9XZXGE	1	hc_pearson_3
BS_1NPD7PVG	1	hc_pearson_3
BS_1QNTEZPS	1	hc_pearson_3
BS_1SVVER1H	1	hc_pearson_3
BS_1T19NFJ8	1	hc_pearson_3
BS_1TWCV047	1	hc_pearson_3
BS_1VNMJHMN	1	hc_pearson_3
BS_1XFFNFY0	1	hc_pearson_3
BS_1XJ73KBQ	1	hc_pearson_3
BS_1Z2CNQEC	1	hc_pearson_3
BS_1Z3KSZQZ	1	hc_pearson_3
BS_1ZVXF5FE	1	hc_pearson_3
BS_1ZWSD3YQ	1	hc_pearson_3
BS_1ZZW5HMJ	1	hc_pearson_3
BS_21RE8W46	1	hc_pearson_3
BS_21XGYWWV	1	hc_pearson_3
BS_22078RXH	1	hc_pearson_3
BS_22B80N9T	1	hc_pearson_3
BS_22QMSCFR	1	hc_pearson_3
BS_238MGRTM	1	hc_pearson_3
BS_23M72ABG	1	hc_pearson_3
BS_23W9EPFE	1	hc_pearson_3
BS_24AHZ9ZW	1	hc_pearson_3
BS_24AK5EEP	1	hc_pearson_3
BS_258RRGDM	1	hc_pearson_3
BS_25KYGJ71	1	hc_pearson_3
BS_264RCK7G	1	hc_pearson_3
BS_269X6Y6G	1	hc_pearson_3
BS_26H7DZD4	1	hc_pearson_3
BS_273HKCT4	1	hc_pearson_3
BS_27FYYPJG	1	hc_pearson_3
BS_27Q04NAT	1	hc_pearson_3
BS_27QE6BV7	1	hc_pearson_3
BS_2853394H	1	hc_pearson_3
BS_28CTRAS5	1	hc_pearson_3
BS_28GPVQAA	1	hc_pearson_3
BS_29006KEX	1	hc_pearson_3
BS_297H8BT4	1	hc_pearson_3
BS_29CPJ040	1	hc_pearson_3
BS_29TRQXWM	1	hc_pearson_3
BS_29X4ZX6Q	1	hc_pearson_3
BS_29YQ60CP	1	hc_pearson_3
BS_2A5R9D97	1	hc_pearson_3
BS_2A5R9MEJ	1	hc_pearson_3
BS_2AR3AP0N	1	hc_pearson_3
BS_2ARXK0TD	1	hc_pearson_3
BS_2EMW8ZG3	1	hc_pearson_3
BS_2EN3X6HB	1	hc_pearson_3
BS_2F5CPC8C	1	hc_pearson_3
BS_2G4EH95X	1	hc_pearson_3
BS_2HN96129	1	hc_pearson_3
BS_2HNXVFAS	1	hc_pearson_3
BS_2JP7RBMB	1	hc_pearson_3
BS_2K01T8K6	1	hc_pearson_3
BS_2KJ2YAZR	2	hc_pearson_3
BS_2M4174KG	1	hc_pearson_3
BS_2QGRF15R	1	hc_pearson_3
BS_2R9HK6YY	1	hc_pearson_3
BS_2R9TCR03	1	hc_pearson_3
BS_2SFTWNVE	1	hc_pearson_3
BS_2SHWPB5P	1	hc_pearson_3
BS_2T5PJAW8	1	hc_pearson_3
BS_2W3NC4K1	1	hc_pearson_3
BS_2WPQ8YCW	1	hc_pearson_3
BS_2XD3MNKD	1	hc_pearson_3
BS_2XM08BFY	1	hc_pearson_3
BS_2YCJV2VV	1	hc_pearson_3
BS_2Z1MKS84	1	hc_pearson_3
BS_2ZKB9B81	1	hc_pearson_3
BS_304SPN6B	1	hc_pearson_3
BS_30F3Z9FS	1	hc_pearson_3
BS_30VC3R2Q	1	hc_pearson_3
BS_30YWQ3FY	1	hc_pearson_3
BS_312K12XX	1	hc_pearson_3
BS_31MBRWC4	1	hc_pearson_3
BS_31TF0P1N	1	hc_pearson_3
BS_32FYKNRN	1	hc_pearson_3
BS_333KCNDP	1	hc_pearson_3
BS_33AQSPRP	1	hc_pearson_3
BS_34201DKZ	1	hc_pearson_3
BS_36T79XQZ	1	hc_pearson_3
BS_37GTVG4N	1	hc_pearson_3
BS_397XFJY9	1	hc_pearson_3
BS_398KYV92	1	hc_pearson_3
BS_399RPKC9	1	hc_pearson_3
BS_3AC3SRWH	1	hc_pearson_3
BS_3DCBDJAT	1	hc_pearson_3
BS_3EVSN5QD	1	hc_pearson_3
BS_3F4FQJMR	1	hc_pearson_3
BS_3F5PR9GS	1	hc_pearson_3
BS_3G3KWY18	1	hc_pearson_3
BS_3GAN6Q43	1	hc_pearson_3
BS_3GDARCHK	1	hc_pearson_3
BS_3HGBZBGA	1	hc_pearson_3
BS_3KASVCSQ	1	hc_pearson_3
BS_3MS8WVNR	1	hc_pearson_3
BS_3MYEMXPQ	1	hc_pearson_3
BS_3N2YFZFB	1	hc_pearson_3
BS_3NNQ6PSB	1	hc_pearson_3
BS_3NQB12XN	1	hc_pearson_3
BS_3NWQXPQV	1	hc_pearson_3
BS_3P20Q2C3	1	hc_pearson_3
BS_3PYESPHA	1	hc_pearson_3
BS_3Q0GTSYH	1	hc_pearson_3
BS_3RAM3K7B	1	hc_pearson_3
BS_3SZZ50WB	1	hc_pearson_3
BS_3T6X4BPC	1	hc_pearson_3
BS_3TJHY996	1	hc_pearson_3
BS_3TQSE8HF	1	hc_pearson_3
BS_3VJ0CA6A	1	hc_pearson_3
BS_3W07B2TG	1	hc_pearson_3
BS_3X9WMZGJ	1	hc_pearson_3
BS_3XY76V8T	1	hc_pearson_3
BS_3Y2X2RBJ	1	hc_pearson_3
BS_3ZBQX151	1	hc_pearson_3
BS_3ZGXMCJS	1	hc_pearson_3
BS_3ZPJAK9A	1	hc_pearson_3
BS_401R3KV0	1	hc_pearson_3
BS_418N847Z	1	hc_pearson_3
BS_41YS708B	1	hc_pearson_3
BS_421D5Q6J	1	hc_pearson_3
BS_42DY6WS7	1	hc_pearson_3
BS_42Y3YANN	1	hc_pearson_3
BS_44A3ES23	1	hc_pearson_3
BS_45J79YTF	1	hc_pearson_3
BS_46BZ2NNN	1	hc_pearson_3
BS_46MF83WA	1	hc_pearson_3
BS_470DYRJQ	1	hc_pearson_3
BS_478TN841	1	hc_pearson_3
BS_479S95Q6	1	hc_pearson_3
BS_49852ZBH	1	hc_pearson_3
BS_49CJNZ06	1	hc_pearson_3
BS_49F4RAA4	1	hc_pearson_3
BS_49VCQD19	1	hc_pearson_3
BS_4A45GGSW	1	hc_pearson_3
