sample	cluster_assigned	method
BS_00FD2KMP	1	pam_canberra_13
BS_00W5QB9S	2	pam_canberra_13
BS_014EVM2D	3	pam_canberra_13
BS_028YFYJ6	4	pam_canberra_13
BS_02NZT8CE	3	pam_canberra_13
BS_03FT4S8B	5	pam_canberra_13
BS_0448A413	5	pam_canberra_13
BS_044XZ8ST	1	pam_canberra_13
BS_052PZFMK	6	pam_canberra_13
BS_056Q8577	7	pam_canberra_13
BS_063ERW0R	3	pam_canberra_13
BS_06AMMCXR	3	pam_canberra_13
BS_06D4QTM6	8	pam_canberra_13
BS_06XH7EVF	5	pam_canberra_13
BS_07ANYSYQ	1	pam_canberra_13
BS_08B376A6	9	pam_canberra_13
BS_08TWG4K0	2	pam_canberra_13
BS_09R7GDA7	1	pam_canberra_13
BS_09Z7TC35	9	pam_canberra_13
BS_0BTXD5M6	9	pam_canberra_13
BS_0C00AYTE	1	pam_canberra_13
BS_0C7VZC0A	3	pam_canberra_13
BS_0CNMRHGW	2	pam_canberra_13
BS_0D5VRAKC	2	pam_canberra_13
BS_0EB67GB4	6	pam_canberra_13
BS_0GDJQANN	10	pam_canberra_13
BS_0HKNEFQC	6	pam_canberra_13
BS_0HW7W7SD	9	pam_canberra_13
BS_0J9SHHSC	3	pam_canberra_13
BS_0JAKSXQP	11	pam_canberra_13
BS_0JCEEVZT	12	pam_canberra_13
BS_0K69QMK6	8	pam_canberra_13
BS_0Q71ZPDX	7	pam_canberra_13
BS_0QNRXSFG	2	pam_canberra_13
BS_0QYS36NR	5	pam_canberra_13
BS_0RF0EZTV	5	pam_canberra_13
BS_0S8E7590	7	pam_canberra_13
BS_0SCXXM6N	3	pam_canberra_13
BS_0SPCTBZY	5	pam_canberra_13
BS_0T17SY47	1	pam_canberra_13
BS_0TDWG2CV	4	pam_canberra_13
BS_0VXZCRJS	3	pam_canberra_13
BS_0WQJP6ZG	12	pam_canberra_13
BS_0WVJYM9R	1	pam_canberra_13
BS_0WZKC4JH	2	pam_canberra_13
BS_0X9EGHY2	1	pam_canberra_13
BS_0XEBS3PG	1	pam_canberra_13
BS_0XEG6SNV	10	pam_canberra_13
BS_0XHT9W4Q	3	pam_canberra_13
BS_0Y1BP5A4	13	pam_canberra_13
BS_0Y5J2AQ4	2	pam_canberra_13
BS_0Y66ZBWE	1	pam_canberra_13
BS_0ZA67BBC	4	pam_canberra_13
BS_10Z9BMZ7	6	pam_canberra_13
BS_11WY983P	5	pam_canberra_13
BS_123NZXAQ	8	pam_canberra_13
BS_12G04QJM	2	pam_canberra_13
BS_130PVKA7	11	pam_canberra_13
BS_13AFE9QC	8	pam_canberra_13
BS_13CGKADW	1	pam_canberra_13
BS_15ETQ0E4	5	pam_canberra_13
BS_1607397Q	5	pam_canberra_13
BS_166N7SZQ	2	pam_canberra_13
BS_16KA9ZAW	11	pam_canberra_13
BS_1719EQ53	11	pam_canberra_13
BS_1739JAKK	12	pam_canberra_13
BS_17SAB1QN	13	pam_canberra_13
BS_17WYVEEC	3	pam_canberra_13
BS_17ZSMXFH	7	pam_canberra_13
BS_18M3RHYN	10	pam_canberra_13
BS_19Z0ERYF	9	pam_canberra_13
BS_1A6MQ9ZA	12	pam_canberra_13
BS_1AYRM596	9	pam_canberra_13
BS_1BJNPHMD	3	pam_canberra_13
BS_1D93Z575	4	pam_canberra_13
BS_1DECYC4K	4	pam_canberra_13
BS_1DMAMKFZ	9	pam_canberra_13
BS_1DNQ1R02	7	pam_canberra_13
BS_1EBQ3T20	3	pam_canberra_13
BS_1EN5V3XW	3	pam_canberra_13
BS_1G3WYEN3	1	pam_canberra_13
BS_1HFK0SXV	5	pam_canberra_13
BS_1HHS9AFK	1	pam_canberra_13
BS_1HYS8CSC	2	pam_canberra_13
BS_1J2WQ08M	5	pam_canberra_13
BS_1JDG6JV5	3	pam_canberra_13
BS_1JNJ0NJ6	8	pam_canberra_13
BS_1KYGSMA7	3	pam_canberra_13
BS_1N76FQZY	4	pam_canberra_13
BS_1N9XZXGE	5	pam_canberra_13
BS_1NPD7PVG	3	pam_canberra_13
BS_1QNTEZPS	5	pam_canberra_13
BS_1QXEC43H	9	pam_canberra_13
BS_1RT76ANT	9	pam_canberra_13
BS_1RXZ3BP7	3	pam_canberra_13
BS_1SVVER1H	5	pam_canberra_13
BS_1T19NFJ8	1	pam_canberra_13
BS_1TWCV047	9	pam_canberra_13
BS_1VNMJHMN	2	pam_canberra_13
BS_1XFFNFY0	2	pam_canberra_13
BS_1XJ73KBQ	5	pam_canberra_13
BS_1Z2CNQEC	6	pam_canberra_13
BS_1Z9AX9JS	11	pam_canberra_13
BS_1ZVXF5FE	3	pam_canberra_13
BS_1ZWSD3YQ	6	pam_canberra_13
BS_21ET39G7	4	pam_canberra_13
BS_21RE8W46	3	pam_canberra_13
