Kinase_name	r_scores	p_scores	RBP_gene_name
PKCD	0.0210382647828764	0.773850927103942	TRMT10B_37762576
CAMK2A	-0.04698034806963569	0.5209102629008806	TRMT10B_37762576
CK2A1	0.1932387328242125	0.0077188271017627486	TRMT10B_37762576
JNK1	0.03033238140422292	0.6786322342573186	TRMT10B_37762576
AMPKA1	0.05538350330052711	0.4490933562293762	TRMT10B_37762576
GSK3B	-0.09460662940293293	0.19535329220933573	TRMT10B_37762576
MAPKAPK2	0.03738863007955983	0.6095069271953881	TRMT10B_37762576
AKT1	0.006434455101056596	0.9299774529092302	TRMT10B_37762576
RSK2	-0.14602625749286186	0.044966083900487286	TRMT10B_37762576
ERK2	0.11704316454744061	0.10873157237370212	TRMT10B_37762576
P90RSK	-0.007631735208014808	0.9169911919731284	TRMT10B_37762576
CHK1	0.11908451529399709	0.10265977411563809	TRMT10B_37762576
PKACA	-0.10814216717160327	0.13855500860399994	TRMT10B_37762576
ERK1	-0.033917877976547335	0.6431251905926154	TRMT10B_37762576
PKCB	-0.03580823595443066	0.62471922302929	TRMT10B_37762576
PAK1	0.06413001554577379	0.38065176699489967	TRMT10B_37762576
PKCE	0.02966880579804492	0.6852849154673282	TRMT10B_37762576
CDK1	0.2278342445619552	0.0016160366510664659	TRMT10B_37762576
CK1A	0.06571755924135965	0.36894825438713497	TRMT10B_37762576
PKCA	-0.18086123190079934	0.012756008570062427	TRMT10B_37762576
PRKD1	0.13303739357906993	0.06800871139136144	TRMT10B_37762576
MTOR	0.16572130386382664	0.022669536735138163	TRMT10B_37762576
ROCK1	-0.17590069596441038	0.01547360410273324	TRMT10B_37762576
P38A	0.05157115622775718	0.4809646247312709	TRMT10B_37762576
CDK2	0.2068155780814804	0.004299373563014353	TRMT10B_37762576
PLK1	0.03284207498303235	0.6536988213323665	TRMT10B_37762576
CDK5	0.04934411129286968	0.5001333185514907	TRMT10B_37762576
PSI	1	NA	TRMT10B_37762576
