Kinase_name	r_scores	p_scores	RBP_gene_name
PKCD	0.03054169790911098	0.6740962547671381	ZC3H14_88596733
CAMK2A	-0.19275737748664876	0.007391935849943021	ZC3H14_88596733
CK2A1	0.2179628533716917	0.0023889785061714797	ZC3H14_88596733
JNK1	0.0030938519817963637	0.966028500414803	ZC3H14_88596733
AMPKA1	-0.007910534462135205	0.9132837741316413	ZC3H14_88596733
GSK3B	-0.09084597538747338	0.21014319960416117	ZC3H14_88596733
MAPKAPK2	0.15715365848932697	0.029487260563297646	ZC3H14_88596733
AKT1	0.08107623175300768	0.2635965853482167	ZC3H14_88596733
RSK2	-0.12306589544705283	0.08902071726496885	ZC3H14_88596733
ERK2	0.13775642718247613	0.056723051800680935	ZC3H14_88596733
P90RSK	-0.006959936472928849	0.9236705884106189	ZC3H14_88596733
CHK1	0.09001474279003048	0.21436264116041226	ZC3H14_88596733
PKACA	-0.16912208477010646	0.019025058315576437	ZC3H14_88596733
ERK1	0.04250599391425048	0.5582794944525817	ZC3H14_88596733
PKCB	-0.08663781828839205	0.23212696828754797	ZC3H14_88596733
PAK1	-0.040727527262229404	0.5748760430287059	ZC3H14_88596733
PKCE	-0.046464402058304	0.522191319591349	ZC3H14_88596733
CDK1	0.22756689471139432	0.001501343683036449	ZC3H14_88596733
CK1A	-0.17614635449129276	0.014527130744906191	ZC3H14_88596733
PKCA	-0.2351285552800244	0.0010274129532219511	ZC3H14_88596733
PRKD1	-0.05365357601884329	0.459831915017221	ZC3H14_88596733
MTOR	0.21754540878227907	0.0024366458601183805	ZC3H14_88596733
ROCK1	-0.2856573377482433	5.910703616973656e-5	ZC3H14_88596733
P38A	0.036419412004745834	0.6160099280033455	ZC3H14_88596733
CDK2	0.21057504126130092	0.0033710751961861796	ZC3H14_88596733
PLK1	0.08751498212921667	0.22741599751287644	ZC3H14_88596733
CDK5	-0.009628053626951204	0.8945555050371721	ZC3H14_88596733
PSI	1	NA	ZC3H14_88596733
