rna	S624	S78	proteo
0.286050508	0.175383345	-0.01236266	1.169423007
-1.149569502	-0.214111084	0.329245987	-0.332149155
0.408513592	1.760319581	0.427715034	1.009913581
-0.914574762	1.154709927	0.351851511	0.783801963
0.824573758	-0.537389047	0.940463414	0.596827594
	-1.065188901	0.726086123	1.345008065
0.526616911	0.1538765	0.373617984	0.897105623
	1.176747572	0.697412835	0.606357691
-0.480508011	2.143104532	1.165881767	-0.92971751
1.315448969	0.276313293	0.934435893	1.356540431
0.056911589	1.357035823	1.98414525	1.627729358
-1.4055961	1.308619951	0.220280454	-0.41027052
-1.218500552	1.839590525	1.220880289	0.627299645
0.212654235	0.951028223	1.997519815	1.126579685
1.020089652	0.603699032	0.765839419	0.048360502
1.021638391	0.86126951	0.742821022	0.418368089
-0.016483719	0.277109646	0.238428376	0.289673461
	-0.3893331	0.662640211	0.468196548
-0.548922254	1.313149912	1.045255855	1.006382422
0.308108661	1.444982396	1.241667214	-0.088127941
0.169594454	1.982547282	1.079047391	0.566285176
0.963433368	-0.995724241	-0.230343637	1.968549722
-0.630874373	-0.535576683	0.328533302	1.168581749
2.205021198	0.980801497	0.980001606	1.118333454
0.216628697	-0.39540436	1.153744928	-0.915794492
2.252549581	1.110119869	1.296012179	1.039998167
1.566267052	0.560389122	1.253527233	1.87462932
1.428837646	0.485806592	1.405216229	1.546632509
1.83519349	1.584397035	1.375140216	1.76984567
1.908971015	0.734248258	0.974039476	1.430250375
2.674735012	1.182352556	0.752985613	1.581979564
	0.607673763	1.274468456	1.165497347
	1.150335721	1.62280082	1.471742844
1.902441845	0.666755999	1.393621664	2.670424573
1.374856929	1.245063192	1.759820577	1.707898472
2.18872299	1.309423496	1.563974851	1.876951831
0.363369018	0.04384288	1.328229586	1.486369027
2.123459412	0.497898855	1.538980705	0.493685706
	1.050206133	1.379954972	0.95596062
-0.315510486	0.389901553	0.320619622	1.134033878
	-0.456399194	-0.100479525	0.891391063
	0.055889215	0.930548937	1.269348876
-0.021440597	0.876924947	1.285260636	1.519642083
1.85145891	0.748686078	0.794471831	0.793483304
0.348540938	2.088527936	2.033652944	2.114761001
0.759737217	0.755781598	1.042157788	0.723041687
0.176895561	1.912034531	0.691314552	1.256136872
0.237253603	0.765090106	0.701332169	0.421609974
-0.567757119	0.181755938	0.94437368	1.150195309
-0.213671743	0.976510892	0.395531051	0.927475038
	0.998769532	0.841758189	1.060833644
1.423754698	0.787901106	1.494593722	1.02363751
-0.662023115	0.674461629	-0.851865688	0.023433892
1.497363379	0.673662172	0.558651463	0.82730471
0.660746446	0.980736934	-0.31615369	0.836973321
1.600794534	0.347637228	0.820862139	0.969993576
1.060429108	1.503781628	1.141018335	1.529407455
1.613093345	0.451905449	1.152991217	1.013940717
1.815258708	-0.314808372	0.827220408	0.730277197
	-0.010568101	0.749395679	0.530535967
3.086254548	2.543547755	2.383005842	1.789015307
1.97236187	0.989767377	1.717161544	1.583936983
0.92340555	0.406681241	1.247514985	1.508702722
0.827221914	0.94943501	1.405908109	0.958798204
-0.56073768	1.451168634	1.472123031	1.287701429
1.203125735	0.30323468	1.286482197	0.690672053
	1.59170808	1.179433206	1.297512308
-0.105105143	-1.387511455	0.454516756	0.884751726
0.078324306	-0.435872505	1.233139497	-0.725042845
-1.112818606	-1.195263966	-0.926037115	0.094267261
-0.180254178	-1.205468604	-0.285183369	0.171313138
-0.156886688	-1.674125632	0.409659423	1.955454968
1.353870022	-0.537379091	-0.38510068	-0.074473325
-0.09886773	-0.32490854	0.397621284	0.643579096
	1.402219329	-0.374594955	0.385970138
1.394470783	0.901135662	0.307270633	1.590592112
0.270730416	0.349579713	0.957946593	1.325238874
0.100511654	-0.395465829	-0.187097154	0.12956214
-0.581103287	1.345583649	0.386531045	0.053935011
-1.161890787	1.056540834	-1.62650704	-0.216278974
-0.61094537	0.260057775	-0.188498662	0.225552904
-1.075005289	0.775081653	0.374338097	0.624795124
-0.336876074	0.495889725	0.266746794	0.502260087
-1.206847331	0.180660442	-0.116667498	-0.099373133
-1.971822364	-1.821003429	-0.804345695	0.653267405
	-0.274132953	1.004002896	-0.091896476
	0.625741784	1.179370563	0.998292375
-0.026020056	1.003033771	0.684736305	-1.481441491
-0.604053405	1.018371325	0.528760977	0.265884719
1.394485469	0.518793378	0.685049346	-0.254029177
1.526054188	-0.387177819	-0.401111871	-0.996583072
	-0.227806708	-0.028577108	-1.776125703
2.228919746	0.116027343	0.679704298	-0.579011649
	1.021155964	0.812917649	0.218717489
0.246979163	0.930837036	1.073462665	0.37874883
-0.4522867	-1.111736517	-0.473563867	0.71898902
-1.386516402	-1.07843033	-1.557418118	-0.433000989
-0.2691171	1.230814001	0.29156121	0.477676591
0.215105564	-0.609656358	-1.930909424	0.766101839
-0.328560655	0.901352085	0.168229189	0.971089038
-0.116715433	0.560241176	0.098461326	0.038741206
-0.626520218	0.142228592	0.174121525	0.416655937
-0.081857899	0.582713101	-1.957820324	0.083709455
-1.518959162	0.545705194	0.774221782	-0.1800055
-0.917689422	-0.408506139	0.556671394	0.283017181
	-0.638674955	-0.191917362	-2.361147391
	0.320024439	0.131879062	0.141973809
-0.384959881	-0.812182451	-0.354926118	-1.095534454
-0.16692058	-1.169653343	-1.842782602	-1.779790578
1.381513472	-0.917880857	-0.354262816	-1.509223635
-0.673853686	-0.091672171	0.763196583	-0.428069574
0.614416644	-0.850844003	-0.791119597	-0.313322687
-1.358366797	-1.274139671	-0.074839615	-1.21632517
0.266323007	0.966519636	-1.302428615	-0.540863252
-0.957083465	-0.920950986	-1.09156655	-0.793003262
1.02317844	-1.074859642	-0.558235571	-1.058905444
0.04450612	-1.516342203	-0.509132858	-1.296520951
0.143159386	-1.745948631	-1.291623576	-1.712525633
1.225369301	-1.359437851	-0.278741031	-1.135543196
	0.006515651	-0.508438464	-0.551456519
-0.626143002	-0.577149302	-0.970699431	-0.690003073
-0.244420265	-1.849471485	-2.138249004	-1.017049675
	-1.366359115	-0.766877248	-1.706713333
-0.556918181	-2.117289747	-1.364949205	-1.65989662
-0.850396146	-1.620013019	-2.112409803	-0.991869088
-0.215748878	-1.551918929	3.83336E-05	-0.529534995
-0.656602535	-0.726696788	0.123490232	-0.582905731
-0.773228898	-1.486822493	-1.717857272	-0.810595165
-0.414796374	-1.798549174	-1.037691148	-0.788243796
-1.249624978	-2.085839082	-0.864545189	-1.949360703
1.405367012	-0.953190932	-0.721019542	0.01296057
	-1.751912965	-0.722736099	-0.554707746
0.281748899	-1.289985148	-0.903391249	-1.502383732
1.012317636	-0.355482004	-1.117922948	-1.091364752
-0.850628024	1.076834063	-1.677083266	-1.393463125
1.305026768	-0.241098222	-1.252507201	-0.893797256
-1.052790992	0.682719916	-0.459326734	-0.737991525
-0.177495938	0.832617885	-0.956617272	-0.728780905
2.337165858	0.333634531	-0.272053535	-0.070550286
	-0.133128973	-0.958340268	-0.860876617
-0.890576142	-0.017189651	-0.56784132	0.316956427
-1.3827258	0.660729866	-1.059908281	-1.479668794
-1.554374028	0.616474545	-1.061647459	-0.38626237
0.158976997	-0.615129397	0.136899109	-0.65605169
-0.387125037	-1.050294713	-1.287675044	-0.574589157
-0.21725641	-1.38843244	-0.520994602	-2.241596857
-0.74073481	-0.769806606	-2.055960072	0.192039343
-0.557664764	-0.651391638	-0.227806658	-0.709162578
0.065778071	-0.693933937	-1.351231106	-1.909241825
	-1.29513909	-1.577471641	-0.893511981
-1.258372072	-1.652097364	-1.567784988	-1.565497785
	-0.397704749	-2.050556244	-1.538745389
-0.121687323	-0.851911475	-1.97496767	-1.001845355
0.108535693	-0.609961753	-1.064280739	-0.745313837
	-0.987859907	-0.15380192	-0.321576131
-0.521476687	-0.338135525	-0.638120946	-0.924131345
0.251606637	-0.079524678	0.103613644	-0.394138391
-0.998806895	-0.768303653	-1.124975273	-1.181484696
-0.930264665	-0.564559126	-0.935339996	-0.445876987
	-1.012111021	-0.248737586	-0.765559149
-1.674396025	-0.834917457	-2.215094031	-1.425937036
-0.688992016	0.13001709	0.143631489	-1.031818755
	0.138106964	-0.546350304	-0.82365419
-0.557859475	-0.36810178	-0.392541446	-0.449065946
0.435100008	-0.601834353	0.836198206	-0.765525141
-0.697132553	-0.800174125	-1.795301344	-0.820815913
-0.25351836	-1.327507356	-0.939686183	-0.791253616
0.288627107	1.555668075	-0.498713676	-0.757579619
-1.630784774	-0.106989884	-1.094109206	-2.006694213
-0.584874386	-0.745811429	-1.282513761	-0.921063464
-0.483936092	-0.470010565	-0.823659241	-0.354974842
-0.547320233	1.027492797	-0.061833007	-0.181270147
0.170967167	0.949910413	-0.072567365	0.375392748
0.187898913	0.215988349	0.780795464	0.472538864
	-0.245619159	0.187112522	0.266374268
-0.291362263	1.576053765	1.245240898	0.401607233
-0.082902999	0.227585612	-0.76735407	-0.267648748
-0.907260739	-1.22241033	0.537503571	0.546151423
	0.272579764	0.149959926	-1.677302153
	-0.083305478	0.211882885	-1.138125824
-0.540831509	1.008146614	-0.1571213	-0.079590024
-0.2456682	-0.225812368	-0.51958797	0.163272806
0.102305798	-0.625682983	-0.445159973	-0.097427221
-0.092741075	-0.177753006	-0.852369196	0.476315816
-0.177608038	-0.492429028	-0.466015226	-0.825855087
-0.221755565	0.525066487	-0.144687782	-0.414071179
-0.766786719	-1.369762922	-1.139280889	-0.643949454
0.01838524	2.109959899	0.359957495	-0.127957647
-0.175720277	0.308557037	0.07135438	-0.085832875
-1.466890099	1.320464439	0.244855475	1.105047093
-0.971165116	-0.534601818	-0.609030788	0.083460549
-0.548988233	-0.618577576	0.797619567	0.136742547
0.664054983	0.603520356	-0.514671589	-0.5938013
-0.706184474	-0.951309404	0.525948525	-0.357996708
-0.558229717	-1.124424328	-0.565274699	-1.345736321
0.248682067	0.910079691	-1.933469497	-0.799014634
-1.075741118	-0.674352114	0.054922567	0.459078581
-0.562014598	-0.248245601	0.09691008	-0.119557453
-0.6786401	-2.093237159	0.346805612	0.46324453
-0.66096201	-0.123107255	0.510172318	-0.82005229
-0.686709926	-0.455414811	-1.063213142	-0.639548652
-1.033580372	-0.300990615	-1.137437386	-1.347841563
-0.169713602	-1.674485967	0.062069035	-0.558579425
-0.754594539	0.072703776	-1.226184904	-1.413254544
-0.883375369	-0.724796204	-0.19012907	0.064793334
-0.878585089	-0.386702514	-0.3337656	-0.63815988
-0.329031562	-0.433708004	-2.541885226	-0.580487972
-1.008888298	-0.637193927	0.593210376	-0.847785734
-1.226822856			-0.513736732
-0.948502054	-1.547651428	-0.248442553	-0.542299395
0.505445158	-0.683767272	-0.3638609	-1.627081458
-1.727191734	-0.73195426	0.554594291	-0.727903151
0.86637872	-0.230319501	0.499812451	0.69066387
0.574839925	-0.832502117	-1.740026658	0.039041154
-1.162571637	-1.80689483	-0.182715009	-0.033873799
-0.801649214	-1.333682127	-0.734712297	0.428278167
-0.907136654	1.087600679	-0.8068788	-0.070594063
0.063041859	0.962331738	0.281288023	0.105537641
