RNA	Protein
3.212865316	1.052539369
2.869562111	1.928747309
2.612134975	1.101743256
2.264257182	2.047928613
2.263790964	-0.888059406
2.245917706	1.812744338
2.065490034	1.30950879
2.019270795	1.437219636
2.005080433	-0.802744255
1.943216335	1.266443649
1.868041739	1.518978312
1.81534861	1.094223601
1.749816142	0.808409077
1.724544923	0.876641534
1.585083389	1.257553232
1.570409721	1.5277745
1.530028192	0.990772112
1.526419979	1.327750767
1.52135392	1.495861868
1.472447235	1.95474902
1.394810683	1.548626231
1.284370789	2.206365796
1.270161363	1.593876699
1.264584796	0.171584964
1.241523715	1.792340642
1.202106448	1.406756062
1.197215353	1.934325299
1.167608517	-1.301893937
1.109112253	1.380367119
1.042056185	-1.00673049
0.959128904	1.764755256
0.926056629	1.30214621
0.923912248	0.611591586
0.87682719	1.182556566
0.846668254	1.187167777
0.829481336	0.735430595
0.824366428	0.114149358
0.706157788	-1.099891867
0.696290994	1.403241737
0.686343189	1.021452436
0.648428321	-0.764299116
0.627961375	0.581075318
0.617092928	0.280406718
0.615790568	1.505066343
0.59388767	-0.376542271
0.589637693	0.762490857
0.576660003	1.217327977
0.576593733	1.584252692
0.574597849	-0.961775129
0.530814086	-0.108775483
0.522736631	1.538720494
0.503994773	-1.294772816
0.483653404	0.638011696
0.477671386	0.42723545
0.448411862	1.573875557
0.444656519	0.29672787
0.344364908	0.809623237
0.337885284	-0.267714798
0.29950131	-0.974090853
0.294003953	0.285367745
0.272982881	-0.060961025
0.260897268	-0.590323543
0.235317972	-0.121269976
0.232197761	0.615598564
0.227868799	0.26941945
0.214284457	-1.165956639
0.174398472	0.511578997
0.156882118	-0.762744585
0.143534776	0.587296077
0.140451365	-0.087466353
0.109287895	-1.588553025
0.09627976	1.1365469
0.071870091	0.033104742
0.063585892	-0.009460867
0.01530438	-0.095276454
0.006499555	0.315500324
0.003449009	-0.518034161
-0.00098105	-1.787445246
-0.00891796	-1.055240635
-0.030129179	0.724495064
-0.034852642	-0.60244371
-0.042304653	-0.462599041
-0.042785767	-1.027531771
-0.044377969	-0.628709474
-0.044600834	0.928921647
-0.090749384	-0.389611963
-0.098339385	-0.707319444
-0.106075442	-0.230000672
-0.114122834	0.62726586
-0.11687366	-0.962371712
-0.125806705	-0.042797204
-0.138199229	-0.661230276
-0.143681956	-1.24462865
-0.153531587	0.428957238
-0.170943247	-1.772921398
-0.172154684	-0.332901903
-0.17495965	0.077608244
-0.203240566	1.051173594
-0.217778375	-0.776520724
-0.219471643	-1.213415043
-0.221672744	0.097324145
-0.228396047	0.160921156
-0.241537629	-1.408468205
-0.246333235	-1.504443066
-0.268472454	-0.487107503
-0.272964075	0.37903271
-0.273975865	0.01684821
-0.279939696	-1.152938043
-0.28700893	0.366882495
-0.310830042	1.141366082
-0.314236739	-1.17144422
-0.323644538	-0.467479221
-0.328608691	0.789816291
-0.333364681	0.375118295
-0.333809328	-1.80320466
-0.335804274	-1.371359981
-0.364349499	0.382857835
-0.367643981	-0.822784271
-0.379830594	1.638750385
-0.393575933	-1.058902818
-0.406312577	-0.186921764
-0.410739447	-0.69640814
-0.413082475	0.143047054
-0.429905093	0.04445269
-0.44941545	0.273699621
-0.461961027	0.909456888
-0.488124401	-0.215939172
-0.488808697	-0.181244182
-0.491327056	-0.815022503
-0.493233877	-0.978103021
-0.501893578	-0.151725327
-0.518653432	-0.37373383
-0.520287449	-1.316793558
-0.520581456	0.33245583
-0.53987113	-0.47319413
-0.550611467	-0.915926529
-0.558112446	0.753277858
-0.62053691	0.079273632
-0.624946842	0.635539488
-0.625071868	-0.684961513
-0.635932607	0.594553264
-0.679303186	-0.286796258
-0.717414487	-0.473923946
-0.71789091	0.716317384
-0.730577658	0.108825189
-0.744870348	-1.533797899
-0.759594994	-0.364535104
-0.777459474	0.383719669
-0.816655573	-0.566531092
-0.829117217	-1.091878489
-0.836168615	-0.712987828
-0.851563781	-0.817972669
-0.863347728	-0.18074734
-0.86981626	-1.426432407
-0.87457639	-1.246143437
-0.875653669	-0.793649382
-0.906538649	-0.700032565
-0.920857954	-1.582613503
-0.930601112	0.083319927
-0.935630907	-1.576820714
-0.938751517	-1.449826883
-0.941939913	-1.051841471
-0.9812544	-0.793082195
-1.033686567	-0.271698559
-1.053860831	-1.637870827
-1.08625113	-1.404179132
-1.091943255	-0.175707081
-1.101802636	0.236413351
-1.112608017	-0.814857742
-1.129793575	-0.960383812
-1.132892798	-0.189950564
-1.142337734	-1.169203758
-1.153378969	-1.869429338
-1.184525473	0.7982241
-1.227750481	1.289249358
-1.240900902	-2.013910121
-1.392878247	-0.308687523
-1.411349698	-1.049383918
-1.433980139	-0.999175345
-1.450369756	-1.410740391
-1.480525522	-1.079578179
-1.487558168	-0.564385184
-1.49579871	-0.571515445
-1.550567707	1.017009619
-1.566632502	-0.372215965
-2.059986095	-0.702105264
-2.278258676	-1.158884105
-2.69779048	0.11491173

