gene,healthy_1,healthy_2,healthy_3,healthy_4,healthy_5,healthy_6,healthy_7,healthy_8,healthy_9,healthy_10,tumor_polyA_1,tumor_polyA_2,tumor_polyA_3,tumor_polyA_4,tumor_polyA_5,tumor_polyA_6,tumor_polyA_7,tumor_polyA_8,tumor_polyA_9,tumor_polyA_10,tumor_polyA_11,tumor_polyA_12,tumor_polyA_13,tumor_polyA_14,tumor_polyA_15,tumor_polyA_16,tumor_polyA_17,tumor_polyA_18,tumor_polyA_19,tumor_polyA_20,tumor_polyA_21,tumor_polyA_22,tumor_polyA_23,tumor_polyA_24,tumor_polyA_25,tumor_polyA_26,tumor_polyA_27,tumor_polyA_28,tumor_polyA_29,tumor_polyA_30,tumor_polyA_31,tumor_polyA_32,tumor_polyA_33,tumor_polyA_34,tumor_polyA_35,tumor_stranded_1,tumor_stranded_2,tumor_stranded_3,tumor_stranded_4,tumor_stranded_5,tumor_stranded_6,tumor_stranded_7,tumor_stranded_8,tumor_stranded_9,tumor_stranded_10,tumor_stranded_11,tumor_stranded_12,tumor_stranded_13,tumor_stranded_14,tumor_stranded_15,tumor_stranded_16,tumor_stranded_17,tumor_stranded_18,tumor_stranded_19,tumor_stranded_20,tumor_stranded_21,tumor_stranded_22,tumor_stranded_23,tumor_stranded_24,tumor_stranded_25,tumor_stranded_26,tumor_stranded_27,tumor_stranded_28,tumor_stranded_29,tumor_stranded_30,tumor_stranded_31,tumor_stranded_32,tumor_stranded_33,tumor_stranded_34,tumor_stranded_35,tumor_stranded_36,tumor_stranded_37,tumor_stranded_38
ENSG00000003756_RBM5,35,140,93,95,48,146,266,41,142,65,111,75,61,87,65,70,95,73,88,145,84,73,152,67,12,83,106,58,16,96,81,35,69,74,63,52,97,123,20,36,109,118,47,20,12,17,26,38,27,20,15,13,15,28,45,48,16,28,27,27,28,38,19,17,22,40,18,17,27,45,14,23,27,14,15,16,27,21,47,35,26,93,119
ENSG00000004534_RBM6,26,56,35,52,25,126,135,41,51,27,70,32,32,47,57,41,55,36,64,52,37,47,95,44,24,51,55,40,11,49,36,20,40,45,26,17,62,55,18,14,41,45,24,8,8,10,12,17,12,11,8,7,7,17,19,30,11,16,11,21,14,14,12,12,10,30,9,11,13,24,7,12,10,5,7,9,15,10,33,20,13,40,56
ENSG00000006047_YBX2,0,10,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,1,1,1,0,1,4,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000011304_PTBP1,29,62,44,42,45,14,30,10,21,91,68,66,61,74,136,51,138,65,81,87,98,53,76,90,23,105,69,59,33,57,68,43,122,48,83,65,154,109,12,58,58,95,44,17,44,44,31,67,61,56,19,22,39,65,28,38,39,26,64,98,45,22,39,17,26,100,44,54,41,23,46,42,62,31,14,11,46,46,47,34,40,167,145
ENSG00000015479_MATR3,133,47,66,418,137,30,63,33,140,266,216,341,233,258,223,207,276,174,270,338,137,321,299,346,46,213,339,166,158,311,359,174,378,300,249,208,320,315,16,57,239,382,201,94,56,37,50,55,57,56,25,65,36,72,57,61,40,41,29,71,111,134,82,76,41,59,50,26,61,39,22,91,98,28,17,43,73,32,40,29,39,243,340
ENSG00000020577_SAMD4A,15,5,14,35,15,5,10,1,12,65,20,18,123,12,25,31,16,108,12,30,33,30,27,48,50,82,45,82,49,73,61,67,10,45,29,68,18,12,3,31,112,29,112,20,16,12,7,9,14,9,20,3,18,17,15,15,10,28,13,4,43,14,10,18,22,23,7,17,3,25,9,28,24,54,19,11,17,6,38,9,51,37,42
ENSG00000048740_CELF2,9,74,29,37,14,35,55,15,131,37,40,50,29,27,18,35,47,22,34,58,31,27,42,35,6,33,40,26,15,38,42,25,43,26,60,30,71,60,1,16,37,45,22,15,9,9,32,16,30,16,11,22,23,27,20,25,8,24,3,23,27,29,29,16,17,27,9,5,36,16,16,34,40,23,9,9,36,17,16,19,30,80,84
ENSG00000063244_U2AF2,70,207,127,127,95,12,26,2,50,134,125,112,99,129,156,101,208,117,141,92,133,140,210,114,16,174,124,97,63,127,138,81,158,107,100,120,132,168,21,78,122,181,108,18,28,23,47,43,39,49,22,24,40,33,37,37,19,32,31,106,25,20,31,19,27,102,28,42,38,29,40,38,35,31,19,10,52,30,41,43,38,159,119
ENSG00000065978_YBX1,181,1283,123,200,117,19,241,176,526,785,401,425,425,670,775,395,771,562,842,623,904,567,810,881,261,846,606,588,611,575,540,541,1307,475,829,716,739,700,309,478,444,810,611,119,333,181,165,133,132,251,145,102,259,176,125,193,163,118,138,498,195,123,88,328,160,340,142,159,151,85,250,256,372,159,193,66,267,115,133,155,161,457,633
ENSG00000066044_ELAVL1,13,37,28,32,14,4,7,2,18,37,26,30,28,30,46,22,43,25,26,37,31,29,38,48,8,47,32,24,20,28,37,25,44,24,46,28,54,42,3,17,28,47,21,8,19,16,15,19,19,19,8,14,15,18,14,15,14,10,18,35,19,12,15,26,12,42,14,18,17,10,12,23,27,9,6,5,19,14,10,14,14,53,45
