Hugo_Symbol	High	Low	P_Value
CDK4	1	4	0.211107493690593
CDK6	4	1	0.211107493690593
CDKN2B	4	1	0.211107493690593
PDGFRA	6	12	0.2138860478637245
DDX11	3	0	0.24594594594594585
RB1	3	0	0.24594594594594585
KDR	3	7	0.33015285780941744
BCOR	2	5	0.44411003703640256
CDKN2A	5	2	0.44411003703640256
ACVR1	2	0	0.4972677595628416
FANCA	2	0	0.4972677595628416
GAB2	2	0	0.4972677595628416
IGF1R	2	0	0.4972677595628416
MAFK	0	2	0.4972677595628416
NTRK3	2	0	0.4972677595628416
PIK3R1	0	2	0.4972677595628416
SLCO1B3	2	0	0.4972677595628416
ATRX	12	16	0.5386743485632858
ALK	2	1	0.6209127159946831
FGFR1	1	2	0.6209127159946831
MDM2	2	1	0.6209127159946831
MTOR	1	3	0.6209127159946831
MYC	1	2	0.6209127159946831
NTRK2	1	2	0.6209127159946831
PDGFA	1	2	0.6209127159946831
PIK3C2G	2	1	0.6209127159946831
POLE	2	1	0.6209127159946831
ROS1	2	1	0.6209127159946831
TSC2	2	1	0.6209127159946831
ASXL1	4	2	0.6822913477900302
PPM1D	4	2	0.6822913477900302
H3-3A	21	18	0.7190029605315167
TP53	18	21	0.7190029605315167
BRAF	3	5	0.7205022532585262
CIC	4	3	0.7205022532585263
NFIB	4	3	0.7205022532585263
KMT2C	6	4	0.7469531358533743
PTEN	4	6	0.7469531358533743
NF1	8	7	0.7946117051573528
ATM	2	3	0.9999999999999999
MET	3	2	0.9999999999999999
NTRK1	2	3	0.9999999999999999
CCND1	1	0	1
CCND2	2	2	1
CDKN1C	0	1	1
DDR2	1	1	1
EGFR	7	7	1
EZHIP	1	1	1
FGFR2	1	1	1
FYN	2	2	1
GOLPH3	1	1	1
H2BC6	0	1	1
H3C14	0	1	1
H3C2	0	1	1
H3C3	0	1	1
KDM6B	1	1	1
KIT	6	6	1
KRAS	1	0	1
MYCN	1	1	1
NRAS	0	1	1
PIK3C2B	1	1	1
PIK3CA	5	4	1
PTPN11	5	5	1
SETD2	3	3	1
TDRD9	1	0	1
TERT	1	1	1
TOP3A	2	2	1
