Hugo_Symbol	High	Low	P_Value
CLK4	3	0	0.2440944881889764
PCBP3	0	3	0.2440944881889764
RBMS3	3	0	0.2440944881889764
CPEB1	2	0	0.4960629921259843
ELAVL3	2	0	0.4960629921259843
ESRP2	0	2	0.4960629921259843
FMR1	0	2	0.4960629921259843
GEMIN5	2	0	0.4960629921259843
HNRNPD	2	0	0.4960629921259843
HNRNPLL	2	0	0.4960629921259843
IGF2BP2	2	0	0.4960629921259843
NOVA1	2	0	0.4960629921259843
QKI	0	2	0.4960629921259843
RALY	0	2	0.4960629921259843
RBFOX1	0	2	0.4960629921259843
RBM6	2	0	0.4960629921259843
SRPK2	2	0	0.4960629921259843
ZNF638	2	0	0.4960629921259843
CPEB2	1	3	0.619023622047244
HNRNPUL1	3	1	0.619023622047244
RBM39	1	3	0.619023622047244
SF3A1	1	3	0.619023622047244
HNRNPDL	2	2	0.9999999999999999
RBM25	2	2	0.9999999999999999
RBMX	2	2	0.9999999999999999
A1CF	1	0	1
CELF1	0	1	1
CELF4	1	0	1
CELF5	1	0	1
CELF6	1	1	1
CLK1	0	1	1
CPEB3	1	0	1
DAZAP1	0	1	1
ELAVL1	0	1	1
ELAVL2	1	0	1
ENOX1	0	1	1
ESRP1	1	0	1
EWSR1	1	0	1
FUS	3	2	1
FXR2	0	1	1
G3BP1	1	0	1
HNRNPA0	0	1	1
HNRNPAB	0	1	1
HNRNPF	1	0	1
HNRNPH1	1	2	1
HNRNPH3	1	1	1
HNRNPL	0	1	1
HNRNPM	1	1	1
HNRNPR	1	2	1
HNRNPU	2	3	1
HNRNPUL2	1	2	1
IGF2BP3	1	1	1
KHDRBS1	1	0	1
KHDRBS2	1	1	1
KHSRP	2	1	1
MBNL2	1	1	1
MBNL3	0	1	1
MSI1	0	1	1
NF1	9	10	1
NOVA2	1	0	1
PABPC1	5	5	1
PABPC3	2	1	1
PABPC4	1	1	1
PABPC5	1	0	1
PABPN1	1	0	1
PCBP1	1	1	1
PCBP2	1	0	1
PRPF40A	1	1	1
PRPF40B	1	0	1
PTBP1	0	1	1
PTBP2	1	0	1
RBFOX2	1	0	1
RBFOX3	0	1	1
RBM10	1	2	1
RBM15B	0	1	1
RBM20	1	0	1
RBM23	1	1	1
RBM24	0	1	1
RBM3	1	1	1
RBM38	1	0	1
RBM4	1	1	1
RBM41	1	0	1
RBM42	0	1	1
RBM46	1	0	1
RBM47	1	1	1
RBMXL1	3	3	1
SAMD4A	1	1	1
SART3	1	1	1
SF1	1	1	1
SF3B1	1	1	1
SFPQ	2	3	1
SNRNP70	2	1	1
SRP54	0	1	1
SRPK1	1	0	1
SRRM1	0	1	1
SRRM2	1	1	1
SRRM3	1	1	1
SRRM4	2	3	1
SRSF1	0	1	1
SRSF10	0	1	1
SRSF11	1	1	1
SRSF3	1	1	1
SRSF4	1	0	1
SRSF5	0	1	1
SRSF7	0	1	1
SRSF8	0	1	1
SRSF9	1	0	1
SYNCRIP	1	1	1
TIAL1	0	1	1
TRA2A	1	0	1
TUT1	1	0	1
U2AF2	1	1	1
WT1	1	0	1
YBX1	1	0	1
ZC3H14	1	0	1
ZCRB1	1	0	1
ZRANB2	1	0	1
ZRSR2	1	0	1
