gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
HNRNPA1	26101.368773601902	-0.3206448719968666	0.09439995998319524	-3.3966632194965625	6.821286294954454e-4	0.0021644466128220865	P-Adj < 0.05
PABPC1	20406.579912928475	-0.44317046328537996	0.107789715153888	-4.111435517318878	3.932066970413556e-5	1.753489324643883e-4	P-Adj < 0.05
HNRNPU	29509.048645809307	0.2538610132047669	0.09119345977688394	2.783763373227304	0.0053732218589672	0.013639717026609046	P-Adj < 0.05
PCBP2	16345.903691091082	-0.30748148753899357	0.11615425687569567	-2.647182254095515	0.008116559608256562	0.019409164280613518	P-Adj < 0.05
YBX1	15962.03753443048	-1.0461554216427962	0.1716163879962897	-6.095894651188054	1.0882706916546985e-9	1.3812666471001942e-8	P-Adj < 0.05
HNRNPK	17505.6204180942	-0.42051253387133586	0.07604505085783296	-5.529781742897228	3.206294567903966e-8	3.1119917864950255e-7	P-Adj < 0.05
SFPQ	14915.030767119304	0.31930036236639464	0.10636663964766034	3.001884457608867	0.0026831399382138445	0.007766984031671655	P-Adj < 0.05
HNRNPH1	10929.907000607343	0.32617556054345953	0.09883508717064879	3.300200059319869	9.661592802953428e-4	0.003007854363183614	P-Adj < 0.05
SF3B1	13055.116412661355	0.21750154945045097	0.08100606936941421	2.6850031256123867	0.007252912792251872	0.017598979569434688	P-Adj < 0.05
HNRNPUL1	11260.760322644519	-0.5604699905928318	0.11973676655332076	-4.680851226621734	2.856862101984145e-6	1.683508024383514e-5	P-Adj < 0.05
RBM39	8552.938933007863	0.7384639079754559	0.10187530835006045	7.248703537053076	4.207797528753478e-13	1.3885731844886478e-11	P-Adj < 0.05
PCBP1	6545.29220362266	-0.6176035121935183	0.16975677621526153	-3.638167064449674	2.7458529449319284e-4	9.639696508803578e-4	P-Adj < 0.05
HNRNPL	7788.352657488794	-0.2692088623209261	0.07850021987983653	-3.4294026530500807	6.049113853773904e-4	0.0020102368770771157	P-Adj < 0.05
TRA2B	6037.866228394203	0.6802626066627353	0.11873575927953432	5.7292142720140715	1.0089688209183436e-8	1.0404990965720419e-7	P-Adj < 0.05
PTBP1	6392.273244188299	-0.6562312335937937	0.16895638655847425	-3.8840273928720537	1.02740324942023e-4	4.4610930566931043e-4	P-Adj < 0.05
SRSF5	5658.729007337216	0.5534613334067232	0.12712815009672573	4.353570259502879	1.3393814226701574e-5	6.499939257075763e-5	P-Adj < 0.05
KHSRP	10159.012117721206	-0.6532077470664943	0.12742002122721363	-5.1264137360462625	2.953132695799783e-7	2.1185517165520183e-6	P-Adj < 0.05
SRSF1	7828.916813563312	0.42522874584480097	0.09383552337172257	4.531639304235437	5.852772192388429e-6	3.0178356617002836e-5	P-Adj < 0.05
KHDRBS1	5838.820631498715	-0.34146023304902967	0.09978028432736537	-3.42212126725101	6.213459438238357e-4	0.0020102368770771157	P-Adj < 0.05
HNRNPM	5858.7604476075785	-0.3775637126544334	0.07249110216982735	-5.208414568865323	1.9046100718154867e-7	1.5713033092477765e-6	P-Adj < 0.05
HNRNPA0	6492.752202688236	-0.3361710206854547	0.094032062649308	-3.575068026947388	3.5013684385077113e-4	0.0012035954007370258	P-Adj < 0.05
