gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
PABPC1	21559.879562250975	0.4424321031119289	0.10201113660459644	4.337096103799256	1.4437750796372184e-5	5.85314221474548e-5	P-Adj < 0.05
HNRNPU	30019.970258031444	-0.2717028162802203	0.10202415833732241	-2.6631223497271055	0.007741925898913593	0.018433156902175223	P-Adj < 0.05
PCBP2	17488.62241534106	0.3923887072725367	0.10873377740747056	3.6087103440000385	3.0772295626177974e-4	9.616342383180617e-4	P-Adj < 0.05
YBX1	17937.688085399925	1.1049078458323203	0.14136484596559806	7.816001483856926	5.452773233082533e-15	2.7263866165412666e-13	P-Adj < 0.05
HNRNPK	17128.021420158173	0.40978445431257743	0.08742367994860369	4.687339340479483	2.7677982555988893e-6	1.4316197873787359e-5	P-Adj < 0.05
SFPQ	15566.315330054129	-0.26729491216408807	0.10582179816654647	-2.5258965241113076	0.011540346645285028	0.025456647011658153	P-Adj < 0.05
HNRNPH1	11110.265092812338	-0.35577140319621137	0.11205849026780616	-3.1748723576942806	0.0014990242515147496	0.0040152435308430795	P-Adj < 0.05
SF3B1	12683.988385287541	-0.3259501106570189	0.09099121811187069	-3.5822150469100658	3.4069315274118107e-4	0.0010429382226770849	P-Adj < 0.05
HNRNPUL1	12240.377909880814	0.6961702393976513	0.0888244822590028	7.837594114736211	4.592607081612979e-15	2.7263866165412666e-13	P-Adj < 0.05
SF1	9757.99084613467	0.3281635094024884	0.10048454129351182	3.2658108916866553	0.0010915111596625077	0.0030319754435069656	P-Adj < 0.05
RBM39	8352.236742720204	-0.7965843893980337	0.11774735598469338	-6.765199802037049	1.3312535309929979e-11	1.996880296489497e-10	P-Adj < 0.05
SRSF3	5713.40936887125	-0.20351878099450949	0.08754874092404707	-2.3246340135384953	0.020091538425107327	0.040726091402244584	P-Adj < 0.05
RBMX	7483.865448885485	-0.22771494603315176	0.1006241349759831	-2.2630251289862278	0.023634140274459172	0.04604053300219319	P-Adj < 0.05
PCBP1	7153.366769680971	0.7067836349526802	0.16127407255637874	4.382500074248453	1.1732512601481516e-5	5.17610850065361e-5	P-Adj < 0.05
HNRNPL	8098.564424957409	0.36136971761266956	0.07246441408975478	4.98685764801845	6.13692477246274e-7	3.5405335225746573e-6	P-Adj < 0.05
TRA2B	6104.147338322443	-0.7343919809012225	0.13632540360825424	-5.3870515799944165	7.162288483264171e-8	5.371716362448128e-7	P-Adj < 0.05
PTBP1	7082.613585533738	0.7499211783088445	0.1394790710603179	5.376585695674301	7.591157668594577e-8	5.422255477567555e-7	P-Adj < 0.05
SRSF5	5157.626894872427	-0.5815910507675301	0.13808857486860213	-4.211724621830168	2.5342837787984907e-5	9.747245303071119e-5	P-Adj < 0.05
KHSRP	10998.451830860933	0.7835909402185688	0.1071983294352767	7.309730891764304	2.6767792625092437e-13	6.691948156273109e-12	P-Adj < 0.05
SRSF2	4632.719307077336	0.24351896561207695	0.07871519598592376	3.0936715911324697	0.0019769619243639857	0.005026174383976235	P-Adj < 0.05
SRSF1	7719.834493156844	-0.5513806860848289	0.10337577478431688	-5.3337514251789555	9.620419913058224e-8	6.559377213448789e-7	P-Adj < 0.05
KHDRBS1	6154.4858404684455	0.4347383909270126	0.09469369518106316	4.590996159731145	4.411354545729513e-6	2.0051611571497788e-5	P-Adj < 0.05
HNRNPM	5971.801582717262	0.4149277058628506	0.07861373280645209	5.278056276559305	1.305613721432508e-7	8.160085758953175e-7	P-Adj < 0.05
HNRNPA0	6579.701388043231	0.35757749221222657	0.10693190456934218	3.3439738462747397	8.258752280151678e-4	0.0023823323885052918	P-Adj < 0.05
SYNCRIP	7980.430426986385	-0.3467677418114439	0.13831525590940158	-2.507082386042662	0.01217323345990941	0.02608550027123445	P-Adj < 0.05
HNRNPR	7804.820317832489	-0.3211514522505252	0.11794081438956783	-2.7229882540045605	0.0064694357983696195	0.015908448684515457	P-Adj < 0.05
SRSF11	5152.614583662439	-0.8462762773583362	0.13407239896877915	-6.312084246030421	2.753022808823349e-10	3.1765647794115564e-9	P-Adj < 0.05
HNRNPF	5054.070751369089	0.6392259922911591	0.14892007208948987	4.292409903663167	1.7674427584354825e-5	6.976747730666378e-5	P-Adj < 0.05
SRSF6	5931.6198313901505	-0.3661653266701761	0.10553224975240207	-3.4697007552598076	5.210385196254201e-4	0.0015324662341924121	P-Adj < 0.05
RBFOX2	6162.099579826699	-0.4338600884657013	0.16117092789613596	-2.6919252381874696	0.007104086836673154	0.017187306862918923	P-Adj < 0.05
G3BP1	6852.489786341602	-0.39250053038411853	0.12005330458432548	-3.2693854762525594	0.0010778135807349317	0.0030319754435069656	P-Adj < 0.05
CELF1	8314.734887331746	-0.42735654083186714	0.08734122065302041	-4.892953609265689	9.933382726893419e-7	5.5185459593852324e-06	P-Adj < 0.05
TARDBP	5669.815988430721	-0.24971363708373243	0.07005830771442297	-3.564368669903279	3.64733012075426e-4	0.001094199036226278	P-Adj < 0.05
SNRNP70	7708.18910770625	-0.7832081104929661	0.20774192966079214	-3.7701012586713434	1.6318132615570933e-4	5.321130200729652e-4	P-Adj < 0.05
SF3A1	6563.8758653017785	0.675186630814962	0.1179777600161036	5.722999239202381	1.0465973407189932e-8	9.811850069240562e-8	P-Adj < 0.05
RBM25	5092.511199792419	-0.9849871020477599	0.13275639101855757	-7.41950797615515	1.175562210576233e-13	3.526686631728699e-12	P-Adj < 0.05
ZNF638	7579.98644664572	-0.5002837792111362	0.08282067149860038	-6.0405665657949985	1.5357401007493288e-9	1.6454358222314237e-8	P-Adj < 0.05
CLK1	2527.9587394713185	-1.0146933309045358	0.18730541372336312	-5.417319823991667	6.04990651719829e-8	5.041588764331908e-7	P-Adj < 0.05
SRSF10	4402.089243520137	-1.024038028700055	0.15072185838047525	-6.794223742352095	1.0889727031367451e-11	1.8149545052279086e-10	P-Adj < 0.05
U2AF2	5859.601444642664	0.5508783590151619	0.13848129714418342	3.977998259516594	6.949788037376235e-5	2.4820671562057983e-4	P-Adj < 0.05
FXR1	4263.757758957281	-0.28359739775714543	0.10731363523671505	-2.642696775033101	0.00822486573657643	0.01869287667403734	P-Adj < 0.05
ANKHD1	5594.379322748681	-0.3413850528597158	0.10782740650584992	-3.1660323096168947	0.0015453362796728279	0.0040666744201916525	P-Adj < 0.05
PABPN1	4591.737256880937	-0.5210442926925862	0.13452644328326138	-3.8731737788939062	1.0742717024838458e-4	3.6622898948312924e-4	P-Adj < 0.05
RBM5	6029.854976671774	-0.836934331729396	0.1250528189882084	-6.6926466632336625	2.1916990208495747e-11	2.988680482976693e-10	P-Adj < 0.05
HNRNPAB	3695.3708863546735	0.5854902858722878	0.1265374936303564	4.627010296115335	3.7098207810772875e-6	1.8549103905386436e-5	P-Adj < 0.05
RALY	4133.991195725638	0.9437489117825115	0.11486931103179625	8.215848979204535	2.1066845012757553e-16	3.160026751913633e-14	P-Adj < 0.05
RBM15B	4362.259502335839	0.5626002631772538	0.12962596837549237	4.340181757003725	1.4236491167046668e-5	5.85314221474548e-5	P-Adj < 0.05
TIA1	3245.1245013263797	-0.8999125064526173	0.16142812842923615	-5.574694541831996	2.479645658104482e-8	2.187922639503955e-7	P-Adj < 0.05
ELAVL1	4083.103408945753	0.24009711129426478	0.08777987235343256	2.7352182779162586	0.006233892277622709	0.015584730694056772	P-Adj < 0.05
RBM6	4559.0201714671875	-1.0243139837887603	0.1710008103189663	-5.990111870687142	2.096967442743174e-9	2.0969674427431738e-8	P-Adj < 0.05
TIAL1	3260.1292129714075	-0.21978080413283768	0.09682898242002293	-2.2697832677769623	0.023220736272244052	0.04583040053732378	P-Adj < 0.05
TRA2A	2349.8995442585474	-0.5244210990636387	0.11361175352984898	-4.615905333472901	3.913853370777775e-6	1.8938000181182784e-5	P-Adj < 0.05
ZRANB2	2380.6861222701173	-0.8977725620810594	0.1184176786046898	-7.581406532026917	3.4182866118241863e-14	1.2818574794340699e-12	P-Adj < 0.05
RBM17	2559.6463798445934	0.24340450440989547	0.07598867412241178	3.203168198694847	0.0013592456893088273	0.003707033698114983	P-Adj < 0.05
ZC3H14	3461.7785066660695	-0.4341578113713435	0.10967235900933316	-3.9586803392675862	7.536502455875484e-5	2.629012484607727e-4	P-Adj < 0.05
