baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	gene
0.6310483491191421	3.775331804244791	1.0336100791942247	3.6525686815940697	2.596301230141269e-4	6.880198259874362e-4	P-val < 0.05	HNRNPCL1
2953.413284363984	1.2631923355581975	0.24620939126363126	5.130561141778793	2.888797056704444e-7	1.3509374471059018e-6	P-val < 0.05	SRRM1
0.3380361775322926	4.636607408007311	1.305174139221119	3.5524818249726215	3.816153804456154e-4	9.78658798239562e-4	P-val < 0.05	LIN28A
2597.725454695526	1.4248867307384605	0.22149851975012755	6.432940194570488	1.2515890656819898e-10	1.110353008316752e-9	P-val < 0.05	SRSF11
1141.4098686921438	1.0070165089840113	0.2550513534935428	3.948289217800627	7.871167686519722e-5	2.453443963599727e-4	P-val < 0.05	ZRANB2
705.7277008890383	-1.3912436880501482	0.268957978637817	-5.172717668002772	2.307134894531022e-7	1.1280910448848112e-6	P-val < 0.05	RBMXL1
977.1797756412191	-2.180598785428297	0.2635634615858325	-8.273524608866012	1.3005594315427618e-16	5.1697237403824785e-15	P-val < 0.05	RBM15
901.0358434867487	1.9929952087180112	0.5882717529228153	3.3878818740078174	7.043459194279373e-4	0.0017776349395086037	P-val < 0.05	CELF3
13171.185991322349	-1.2533337057290117	0.18474296135038307	-6.784202746170892	1.167293064585482e-11	1.4276892097622433e-10	P-val < 0.05	HNRNPU
454.8162355770976	-1.6305717477718682	0.4134637987887234	-3.9436868537191496	8.0238418935337e-5	2.453443963599727e-4	P-val < 0.05	RBMS3
2159.3150490246753	1.0447658158296251	0.25211798771986693	4.14395587271815	3.413654588449756e-5	1.1307730824239816e-4	P-val < 0.05	RBM6
3125.8544376559375	1.2557459165224683	0.2116022121293609	5.934464975039016	2.948052547474535e-9	2.1306379774929593e-8	P-val < 0.05	RBM5
2001.9369828978868	-1.8968187727359873	0.24227667968796107	-7.829143007816454	4.912066607185364e-15	9.762732381780911e-14	P-val < 0.05	RBM15B
1292.788767493149	-1.8740364941702874	0.482188403403308	-3.886523360875648	1.016901446675024e-4	2.994209815209793e-4	P-val < 0.05	IGF2BP2
1250.3645876951243	-1.6132013278461885	0.3071588765326145	-5.252009468379785	1.5044872643188308e-7	7.973782500889802e-7	P-val < 0.05	CPEB2
2833.6851166052493	1.0433449080348571	0.18527986161473764	5.6311835454861265	1.7897712877407473e-8	1.185723478128245e-7	P-val < 0.05	HNRNPD
4602.811581036843	1.1113713242782952	0.1690502383576555	6.57420737808718	4.8913020760475276e-11	5.184780200610379e-10	P-val < 0.05	HNRNPDL
2796.3158424368175	-1.6532620858731673	0.20337195585015855	-8.129253018008374	4.3194387919849426e-16	1.1446512798760098e-14	P-val < 0.05	HNRNPA0
2810.610552006821	-1.7295155102618722	0.21200079283898104	-8.158061519965516	3.404441159852936e-16	1.0826122888332337e-14	P-val < 0.05	G3BP1
685.9752696804437	-1.6716414249634732	0.25988301299019745	-6.4322843025778145	1.2570034056416058e-10	1.110353008316752e-9	P-val < 0.05	GEMIN5
3326.715219028851	-1.3053790382511408	0.24255424623222482	-5.381802456681598	7.374366761645047e-8	4.5097089042367785e-7	P-val < 0.05	CPEB4
2910.0240043856634	1.1157464321941928	0.11241095661819048	9.92560214556204	3.221523494428778e-23	5.122222356141757e-21	P-val < 0.05	SRSF3
2642.856724106232	-1.6535647850374273	0.22191273037652604	-7.451419223366654	9.234142378680323e-14	1.4682286382101714e-12	P-val < 0.05	SYNCRIP
19614.030109101932	-1.3002056842840575	0.2685194696236564	-4.842128155944749	1.2845586793365697e-6	5.673467500403183e-6	P-val < 0.05	QKI
628.5909450973875	-1.7107465194316909	0.586037986702326	-2.9191734294532226	0.0035096090824578673	0.007859547100152126	P-val < 0.05	IGF2BP3
1741.6902682487173	-1.6794821804524493	0.25074059098390183	-6.698086551771254	2.1116619208644054e-11	2.3982446101245746e-10	P-val < 0.05	RBM28
1.8455400832969682	2.1950189044456985	0.9355475491811095	2.346239810437227	0.018963901586443406	0.03547365120287649	P-val < 0.05	ESRP1
0.25206898125495564	5.217384661593864	2.1063349615582814	2.4769966585627987	0.013249314238287124	0.026007913134415465	P-val < 0.05	A1CF
990.9590844324478	-1.252238156800941	0.2589293018213171	-4.836216480686647	1.3233379847375898e-6	5.6867767452236965e-6	P-val < 0.05	PPRC1
353.1294416206139	-4.0233918179472585	0.9195796624770642	-4.375250978375795	1.2129284009151302e-5	4.103310973308632e-5	P-val < 0.05	RBM20
565.9453741759952	1.5539468222987	0.19528848966832657	7.957185930096992	1.759961418703683e-15	3.997626651055509e-14	P-val < 0.05	RBM4B
481.3109889070909	-1.5517836988786522	0.3001533519426486	-5.169969580000417	2.3413210365533817e-7	1.1280910448848112e-6	P-val < 0.05	ZC3H10
1440.05757916192	-2.4731028007930878	0.39627227207417315	-6.240918113821952	4.3500994615121806e-10	3.6403463914759826e-9	P-val < 0.05	MSI1
14.835075720951203	5.1455719502564365	1.160111769437353	4.435410523205024	9.18969958898413e-6	3.1764396405401664e-5	P-val < 0.05	PABPC3
2693.766472864149	-1.3714750589524911	0.3494662561536476	-3.924484938967908	8.691549652035737e-5	2.607464895610721e-4	P-val < 0.05	NOVA1
4597.212302187819	-2.817866509133074	0.3620887899311341	-7.7822528271836475	7.124430651849522e-15	1.2586494151600822e-13	P-val < 0.05	SAMD4A
3114.1782836613897	1.6929738411234763	0.19932360311483158	8.49359440963017	2.0034258679812576e-17	1.0618157100300666e-15	P-val < 0.05	SRSF5
2388.308182591418	1.3580536370196694	0.30184202393309967	4.49921988768757	6.8203282975524385e-6	2.4646186347973586e-5	P-val < 0.05	RBM25
188.113230256114	1.3659125746026204	0.5396760952845185	2.530985875671421	0.011374242873621924	0.023005005477791298	P-val < 0.05	CELF6
475.7933699314044	1.6096018803507615	0.705127180921193	2.282711436889929	0.022447371659194176	0.04150153597455667	P-val < 0.05	RBFOX1
2818.34834337797	1.3310044380402395	0.18085152471356314	7.359652843117112	1.8438912522383953e-13	2.443155909215874e-12	P-val < 0.05	SRSF2
814.3125386494548	3.229869775350255	1.0003737916066122	3.228662928247096	0.0012437039084002854	0.0029961957793279603	P-val < 0.05	RBFOX3
436.0458215501752	2.1041475760468815	0.7301434616923348	2.881827594771395	0.003953760003424328	0.00861161425403381	P-val < 0.05	CELF4
3779.246242211943	-1.1722726116586208	0.22203354325564956	-5.279709518074327	1.293888491185113e-7	7.094078279256309e-7	P-val < 0.05	PTBP1
565.1455553494349	1.60600569277292	0.555027041498726	2.893562966655214	0.003808979107133009	0.008411495528252062	P-val < 0.05	CELF5
1882.1996193271614	-1.241388773361992	0.16815926275218673	-7.382220598762996	1.5567097650797865e-13	2.250153205888055e-12	P-val < 0.05	ELAVL1
289.6328089636334	2.2006797630049246	0.23118416260499988	9.51916315636636	1.745792101048297e-21	1.3879047203333961e-19	P-val < 0.05	U2AF1L4
2594.657314598234	-2.005545221930958	0.3438798331035591	-5.832110606285511	5.473061800336929e-9	3.78355141849379e-8	P-val < 0.05	NOVA2
4053.169006045534	1.0085570157300556	0.18942778610319552	5.324229546665445	1.0138181689203022e-7	5.75703888779743e-7	P-val < 0.05	RBM39
38.3653815572792	2.6539267348240863	0.64148878750498	4.137136589941541	3.5166678927415164e-5	1.1411228468283695e-4	P-val < 0.05	RBM11
391.706897543995	1.438183896668105	0.5332636549970511	2.6969471539853176	0.006997837475959335	0.01483541544903379	P-val < 0.05	PCBP3
