Tumor_Sample_Barcode	experimental_strategy	mutation_count	region_size	tmb
BS_N9KWJSW0	WXS	6	33172686	0.1808716966723768
BS_AVXJSWEN	WXS	8	33172686	0.24116226222983572
BS_HJBRXJSN	WXS	43	33172686	1.296247159485367
BS_Q2NRNKNR	WXS	74	33172686	2.2307509256259803
BS_XE9D080R	WXS	69	33172686	2.0800245117323333
BS_K2SBQ588	WXS	95	33172686	2.8638018639792993
BS_0Q2X74YN	WXS	24	33172686	0.7234867866895072
BS_2RKFDHEG	WXS	91	33172686	2.743220732864381
BS_1V616KKY	WXS	24	33172686	0.7234867866895072
BS_Z4JW5FGH	WXS	13	33172686	0.39188867612348305
BS_XBP9MG30	WXS	19	33172686	0.5727603727958599
BS_KS1Q0JMA	WXS	19	33172686	0.5727603727958599
BS_8RC93BGZ	WXS	209	33172686	6.300364100754458
BS_QRTBPSN6	WXS	7	33172686	0.21101697945110626
BS_QF0WQY17	WXS	4	33172686	0.12058113111491786
BS_KMKE92Z2	WXS	30	33172686	0.904358483361884
BS_J4X5M7X8	WXS	17	33172686	0.512469807238401
BS_W03RS5G8	WXS	89	33172686	2.6829301673069224
BS_P2TV4ZF8	WXS	95	33172686	2.8638018639792993
BS_93WDWT81	WXS	779	33172686	23.483175284630253
BS_02QV7ZWP	WXS	1	34082281	0.029340759205641193
BS_05CHNS17	WXS	17	34082281	0.4987929064959003
BS_0TKQP4XJ	WXS	57	34082281	1.672423274721548
BS_13DJ6WHW	WXS	44	34082281	1.2909934050482126
BS_1B00Q25Y	WXS	13	34082281	0.38142986967333553
BS_1SDWBXX8	WXS	29	34082281	0.8508820169635947
BS_35DRDAFV	WXS	15	34082281	0.4401113880846179
BS_53JGYCCZ	WXS	18	34082281	0.5281336657015415
BS_5XC635HW	WXS	4995	34082281	146.55709223217775
BS_5YTKXXBY	WXS	11	34082281	0.32274835126205315
BS_DD69EB5S	WXS	13	34082281	0.38142986967333553
BS_F6YJDSXZ	WXS	31	34082281	0.909563535374877
BS_HF1TR0QN	WXS	17	34082281	0.4987929064959003
BS_HGKDT5AJ	WXS	303	34082281	8.890250039309281
BS_PCVV9GJG	WXS	47	34082281	1.379015682665136
BS_W60PB1DS	WXS	20	34082281	0.5868151841128239
BS_YGDHJ68W	WXS	16	34082281	0.4694521472902591
BS_3DV5FVPQ	WXS	13	34082281	0.38142986967333553
BS_AG4BP2PM	WXS	565	34082281	16.577528951187276
BS_AMKQKHJ6	WXS	16	34082281	0.4694521472902591
BS_AN55105E	WXS	191	34082281	5.604085008277468
BS_BTDQZ60Q	WXS	20	34082281	0.5868151841128239
BS_C5M87D60	WXS	30	34082281	0.8802227761692358
BS_GBXD55F1	WXS	25	34082281	0.7335189801410298
BS_GJ2KS7BT	WXS	14	34082281	0.4107706288789767
BS_GQFPB8F3	WXS	1	34082281	0.029340759205641193
BS_HSXARQ1K	WXS	59	34082281	1.7311047931328305
BS_PZ5WX9TX	WXS	33	34082281	0.9682450537861594
BS_QJHY513X	WXS	23	34082281	0.6748374617297475
BS_S3DSBR9Y	WXS	51	34082281	1.496378719487701
BS_ST7KGV85	WXS	7	34082281	0.20538531443948835
BS_VS3R7XVV	WXS	28	34082281	0.8215412577579534
BS_XHRV3SAK	WXS	21	34082281	0.616155943318465
BS_ZV7AC5R8	WXS	34	34082281	0.9975858129918006
BS_007JTNB8	WGS	7	35984681	0.1945272211805907
BS_00DBDSHZ	WGS	7	35984681	0.1945272211805907
BS_00GG0R70	WGS	73	35984681	2.028641020883303
BS_00JRW8F2	WGS	2	35984681	0.055579206051597344
BS_00PH2T1P	WGS	18	35984681	0.5002128544643761
BS_00TRPEQX	WGS	65	35984681	1.8063241966769137
BS_01BDZ0TW	WGS	33	35984681	0.9170568998513562
BS_01DCRKR1	WGS	15	35984681	0.41684404538698006
BS_01DQH017	WGS	27	35984681	0.7503192816965641
BS_01Y5F4PN	WGS	9	35984681	0.25010642723218807
BS_02VZJ0QK	WGS	17	35984681	0.4724232514385774
BS_02W5H7K5	WGS	7	35984681	0.1945272211805907
BS_02YBZSBY	WGS	10062	35984681	279.61898564558624
BS_02ZSVZCB	WGS	2743	35984681	76.22688109976575
BS_03SSN1N2	WGS	39	35984681	1.0837945180061481
BS_042DVDQM	WGS	20	35984681	0.5557920605159734
BS_04B8X54S	WGS	9	35984681	0.25010642723218807
BS_04KM3N3S	WGS	2	35984681	0.055579206051597344
BS_05S9WJW6	WGS	58	35984681	1.6117969754963228
BS_060QB7XB	WGS	12	35984681	0.33347523630958403
BS_06GEF6DB	WGS	15	35984681	0.41684404538698006
BS_06GPPDHZ	WGS	22	35984681	0.6113712665675708
BS_08127AYS	WGS	12	35984681	0.33347523630958403
BS_083RF2ZE	WGS	1	35984681	0.027789603025798672
BS_08E29S8P	WGS	7	35984681	0.1945272211805907
BS_08R73HQ3	WGS	8	35984681	0.22231682420638937
BS_090GV72Q	WGS	8	35984681	0.22231682420638937
BS_0A5H37YE	WGS	29	35984681	0.8058984877481614
BS_0A5Z5YKD	WGS	6	35984681	0.16673761815479202
BS_0AK4F99X	WGS	23	35984681	0.6391608695933695
BS_0ATJ22QA	WGS	26	35984681	0.7225296786707655
BS_0DKPGQWD	WGS	5	35984681	0.13894801512899335
BS_0E8WBZBF	WGS	10	35984681	0.2778960302579867
BS_0EN5R1AP	WGS	14	35984681	0.3890544423611814
BS_0FQKT8EY	WGS	63	35984681	1.7507449906253163
BS_0G54B21P	WGS	10	35984681	0.2778960302579867
BS_0GKN4M3K	WGS	6	35984681	0.16673761815479202
