Tumor_Sample_Barcode	experimental_strategy	mutation_count	region_size	tmb
BS_02QV7ZWP	WXS	1	34082281	0.029340759205641193
BS_05CHNS17	WXS	19	34082281	0.5574744249071827
BS_0TKQP4XJ	WXS	58	34082281	1.7017640339271893
BS_13DJ6WHW	WXS	43	34082281	1.2616526458425714
BS_1B00Q25Y	WXS	13	34082281	0.38142986967333553
BS_1SDWBXX8	WXS	30	34082281	0.8802227761692358
BS_35DRDAFV	WXS	15	34082281	0.4401113880846179
BS_53JGYCCZ	WXS	18	34082281	0.5281336657015415
BS_5XC635HW	WXS	4997	34082281	146.61577375058906
BS_5YTKXXBY	WXS	11	34082281	0.32274835126205315
BS_DD69EB5S	WXS	11	34082281	0.32274835126205315
BS_F6YJDSXZ	WXS	32	34082281	0.9389042945805182
BS_HF1TR0QN	WXS	16	34082281	0.4694521472902591
BS_HGKDT5AJ	WXS	301	34082281	8.831568520898
BS_PCVV9GJG	WXS	47	34082281	1.379015682665136
BS_W60PB1DS	WXS	20	34082281	0.5868151841128239
BS_YGDHJ68W	WXS	16	34082281	0.4694521472902591
BS_3DV5FVPQ	WXS	13	34082281	0.38142986967333553
BS_AMKQKHJ6	WXS	18	34082281	0.5281336657015415
BS_AN55105E	WXS	191	34082281	5.604085008277468
BS_BTDQZ60Q	WXS	20	34082281	0.5868151841128239
BS_C5M87D60	WXS	31	34082281	0.909563535374877
BS_GBXD55F1	WXS	25	34082281	0.7335189801410298
BS_GQFPB8F3	WXS	1	34082281	0.029340759205641193
BS_QJHY513X	WXS	24	34082281	0.7041782209353886
BS_S3DSBR9Y	WXS	51	34082281	1.496378719487701
BS_ST7KGV85	WXS	7	34082281	0.20538531443948835
BS_VS3R7XVV	WXS	28	34082281	0.8215412577579534
BS_XHRV3SAK	WXS	22	34082281	0.6454967025241063
BS_ZV7AC5R8	WXS	34	34082281	0.9975858129918006
BS_CH0ZV29W	WGS	21	35984681	0.5835816635417721
BS_4ZE1R1FW	WGS	6	35984681	0.16673761815479202
BS_9YMT5HB4	WGS	3	35984681	0.08336880907739601
BS_G6ASNYWP	WGS	14	35984681	0.3890544423611814
BS_GPNWSW71	WGS	76	35984681	2.112009829960699
BS_20HSXMYQ	WGS	6	35984681	0.16673761815479202
BS_PGBR1H2A	WGS	16	35984681	0.44463364841277875
BS_KTHF096D	WGS	12	35984681	0.33347523630958403
BS_HQYHVPC9	WGS	10	35984681	0.2778960302579867
BS_NWCPQC60	WGS	1	35984681	0.027789603025798672
BS_WBZBDN0A	WGS	36	35984681	1.0004257089287523
BS_QXZZY4SJ	WGS	10	35984681	0.2778960302579867
BS_ZK0GRMB1	WGS	5	35984681	0.13894801512899335
BS_8ZFK0D8Z	WGS	2463	35984681	68.44579225254212
BS_8D7YYP13	WGS	12	35984681	0.33347523630958403
BS_T5BAS1JN	WGS	10	35984681	0.2778960302579867
BS_1BR81RGD	WGS	8	35984681	0.22231682420638937
BS_NQN1P6QY	WGS	37	35984681	1.0282153119545507
BS_42Y9E1Q8	WGS	5	35984681	0.13894801512899335
BS_8C5QG3GE	WGS	34	35984681	0.9448465028771548
BS_NV9ZB445	WGS	14	35984681	0.3890544423611814
BS_ZQEDB5RA	WGS	9	35984681	0.25010642723218807
BS_55AHFCX4	WGS	16	35984681	0.44463364841277875
BS_00PH2T1P	WGS	12	35984681	0.33347523630958403
BS_Y35YEDFF	WGS	14	35984681	0.3890544423611814
BS_S8STY9B1	WGS	18	35984681	0.5002128544643761
BS_R2G2TPBV	WGS	24	35984681	0.6669504726191681
BS_E9YW2KHS	WGS	52	35984681	1.445059357341531
BS_FJP95JXF	WGS	54	35984681	1.5006385633931283
BS_5DXK26YF	WGS	9	35984681	0.25010642723218807
BS_2R0QBATZ	WGS	21	35984681	0.5835816635417721
BS_NV00B2Y5	WGS	4	35984681	0.11115841210319469
BS_B95NMCYN	WGS	8	35984681	0.22231682420638937
BS_5ACNB1BG	WGS	3	35984681	0.08336880907739601
BS_YV3MJ2BD	WGS	18	35984681	0.5002128544643761
BS_BTRGQHM4	WGS	5	35984681	0.13894801512899335
BS_RFEDCJTP	WGS	10	35984681	0.2778960302579867
BS_P0BHM8S1	WGS	17	35984681	0.4724232514385774
BS_SFQWVZ4N	WGS	11	35984681	0.3056856332837854
BS_4J8JK335	WGS	9	35984681	0.25010642723218807
BS_GZG7GH62	WGS	17	35984681	0.4724232514385774
BS_TBSPYEEW	WGS	11	35984681	0.3056856332837854
BS_5QFRPR61	WGS	5	35984681	0.13894801512899335
BS_B5MDTA3Q	WGS	8	35984681	0.22231682420638937
BS_2ABKFT99	WGS	32	35984681	0.8892672968255575
BS_J5C6FMYZ	WGS	8	35984681	0.22231682420638937
BS_QWC51APP	WGS	37	35984681	1.0282153119545507
BS_5BB8J64W	WGS	19	35984681	0.5280024574901747
BS_E2EXBFN7	WGS	42	35984681	1.1671633270835442
BS_X242DJMF	WGS	39	35984681	1.0837945180061481
BS_MMBWD5VD	WGS	79	35984681	2.195378639038095
BS_BJCTR4C8	WGS	6	35984681	0.16673761815479202
BS_08127AYS	WGS	13	35984681	0.3612648393353827
BS_9BZBCZHK	WGS	21	35984681	0.5835816635417721
BS_EWNSDJ7V	WGS	11	35984681	0.3056856332837854
BS_MA4DE9P2	WGS	13	35984681	0.3612648393353827
BS_DHC9SHF6	WGS	42	35984681	1.1671633270835442
BS_56CA6BFQ	WGS	7	35984681	0.1945272211805907
BS_2FPVHEQS	WGS	4	35984681	0.11115841210319469
BS_C2FYP4KW	WGS	257	35984681	7.141927977630258
BS_5CR48ZM7	WGS	7	35984681	0.1945272211805907
BS_VE90VKZY	WGS	10	35984681	0.2778960302579867
BS_M7D3Q30Z	WGS	9	35984681	0.25010642723218807
BS_P4C0QJ9K	WGS	2	35984681	0.055579206051597344
BS_JTP91S1A	WGS	9	35984681	0.25010642723218807
BS_ZPXVVM8K	WGS	10	35984681	0.2778960302579867
BS_ZED6T1CT	WGS	6	35984681	0.16673761815479202
BS_65F8T6N7	WGS	358	35984681	9.948677883235924
BS_WZXHZN97	WGS	226	35984681	6.2804502838305
BS_BVAVPKKN	WGS	7	35984681	0.1945272211805907
BS_CWPHVM94	WGS	14	35984681	0.3890544423611814
BS_BBK329W5	WGS	25	35984681	0.6947400756449668
BS_RR3T675W	WGS	27	35984681	0.7503192816965641
BS_CQC29CK5	WGS	33	35984681	0.9170568998513562
BS_H0MVFRCE	WGS	24	35984681	0.6669504726191681
BS_THY6PFYF	WGS	9	35984681	0.25010642723218807
BS_2NPW3A08	WGS	11	35984681	0.3056856332837854
BS_PNF2SHN9	WGS	13	35984681	0.3612648393353827
BS_NX91DYXQ	WGS	14	35984681	0.3890544423611814
BS_8MJNDM75	WGS	18	35984681	0.5002128544643761
BS_WBTZK7A2	WGS	29	35984681	0.8058984877481614
BS_Y3KBY0FY	WGS	9	35984681	0.25010642723218807
BS_0TER803R	WGS	12	35984681	0.33347523630958403
BS_J6FPW4H0	WGS	59	35984681	1.6395865785221215
BS_6K2SSJ77	WGS	45	35984681	1.2505321361609403
BS_JV1GTZ1Q	WGS	9	35984681	0.25010642723218807
BS_Q4PTDFKS	WGS	7	35984681	0.1945272211805907
BS_MW0JYGG1	WGS	13	35984681	0.3612648393353827
BS_0T5A16N2	WGS	23	35984681	0.6391608695933695
BS_4GHFYCWZ	WGS	4	35984681	0.11115841210319469
BS_7BJQNVK8	WGS	4	35984681	0.11115841210319469
BS_GNETMRJF	WGS	8	35984681	0.22231682420638937
BS_3KPKZVGX	WGS	54	35984681	1.5006385633931283
BS_X8H38ZNB	WGS	14	35984681	0.3890544423611814
BS_GZ39V8AK	WGS	7	35984681	0.1945272211805907
BS_59BAHXTQ	WGS	9	35984681	0.25010642723218807
BS_TKRH7YW7	WGS	6	35984681	0.16673761815479202
BS_95PV1RRY	WGS	5	35984681	0.13894801512899335
BS_QWX24M4X	WGS	7	35984681	0.1945272211805907
BS_P5VHEN5Q	WGS	2	35984681	0.055579206051597344
BS_87J6X9KJ	WGS	380	35984681	10.560049149803495
BS_M0N8YXTA	WGS	7	35984681	0.1945272211805907
BS_TDV0SYNR	WGS	10	35984681	0.2778960302579867
BS_MMCZHZE6	WGS	8	35984681	0.22231682420638937
BS_QEKBZRMD	WGS	8	35984681	0.22231682420638937
BS_WKPJ7S74	WGS	18	35984681	0.5002128544643761
BS_S8Q6R8MX	WGS	6	35984681	0.16673761815479202
BS_FR9R7VFY	WGS	9	35984681	0.25010642723218807
BS_0QTY32QA	WGS	8	35984681	0.22231682420638937
BS_A527Y2QF	WGS	17	35984681	0.4724232514385774
BS_1HXG4A7B	WGS	6	35984681	0.16673761815479202
BS_A3K94FCY	WGS	5	35984681	0.13894801512899335
BS_YPKSF86W	WGS	11	35984681	0.3056856332837854
BS_PWXXZMSR	WGS	20	35984681	0.5557920605159734
BS_QSTNH2MJ	WGS	12	35984681	0.33347523630958403
BS_FSNCPJJF	WGS	10	35984681	0.2778960302579867
BS_GPXZ2NQB	WGS	9	35984681	0.25010642723218807
BS_76SQJSHP	WGS	10	35984681	0.2778960302579867
BS_SMJRCVQB	WGS	8	35984681	0.22231682420638937
BS_HQC1EKZ8	WGS	10	35984681	0.2778960302579867
BS_A2Z4DDQS	WGS	2	35984681	0.055579206051597344
BS_7HRQNWJY	WGS	16	35984681	0.44463364841277875
BS_25EXB29C	WGS	4	35984681	0.11115841210319469
BS_R66Z3ENM	WGS	3	35984681	0.08336880907739601
BS_1FR8GJ7N	WGS	14	35984681	0.3890544423611814
BS_QNQDTDCS	WGS	83	35984681	2.3065370511412895
BS_HZKJMB0D	WGS	5	35984681	0.13894801512899335
