Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_00FD2KMP	2165	23	42	65	0.0300230946882217	Other high-grade glioma
BS_00W5QB9S	1081	28	14	42	0.0388529139685476	Ependymoma
BS_014EVM2D	1803	10	6	16	0.00887409872434831	Low-grade glioma
BS_028YFYJ6	1865	46	48	94	0.050402144772118	Other high-grade glioma
BS_02NZT8CE	2116	1	8	9	0.00425330812854442	Low-grade glioma
BS_03FT4S8B	3284	6	18	24	0.00730816077953715	Craniopharyngioma
BS_0448A413	1816	15	17	32	0.0176211453744493	Mesenchymal tumor
BS_044XZ8ST	2738	2	10	12	0.0043827611395179	Low-grade glioma
BS_052PZFMK	1125	5	5	10	0.00888888888888889	Other high-grade glioma
BS_056Q8577	1843	24	155	179	0.0971242539338036	Other high-grade glioma
BS_063ERW0R	2281	2	4	6	0.00263042525208242	Low-grade glioma
BS_06AMMCXR	2572	2	2	4	0.0015552099533437	Low-grade glioma
BS_06D4QTM6	989	14	5	19	0.019211324570273	Meningioma
BS_06XH7EVF	1328	13	12	25	0.0188253012048193	Non-neoplastic tumor
BS_07ANYSYQ	1847	20	6	26	0.0140768814293449	Ependymoma
BS_08B376A6	2038	29	20	49	0.0240431795878312	Medulloblastoma
BS_08TWG4K0	919	10	6	16	0.0174102285092492	Other high-grade glioma
BS_09R7GDA7	891	17	21	38	0.042648709315376	Other CNS embryonal tumor
BS_09Z7TC35	2556	13	32	45	0.0176056338028169	Medulloblastoma
BS_0BTXD5M6	2015	15	12	27	0.0133995037220844	Medulloblastoma
BS_0C00AYTE	1738	35	36	71	0.0408515535097814	Other high-grade glioma
BS_0C7VZC0A	2553	13	10	23	0.00900900900900901	Other high-grade glioma
BS_0CNMRHGW	1178	39	13	52	0.0441426146010187	Mixed neuronal-glial tumor
BS_0D5VRAKC	718	114	72	186	0.259052924791086	Low-grade glioma
BS_0EB67GB4	1714	30	15	45	0.0262543757292882	Medulloblastoma
BS_0GDJQANN	2104	13	12	25	0.0118821292775665	Choroid plexus tumor
BS_0HKNEFQC	1399	38	22	60	0.0428877769835597	Medulloblastoma
BS_0HW7W7SD	2138	22	18	40	0.0187090739008419	Other CNS embryonal tumor
BS_0J9SHHSC	3013	11	15	26	0.0086292731496847	Low-grade glioma
BS_0JAKSXQP	434	19	10	29	0.0668202764976959	Low-grade glioma
BS_0JCEEVZT	346	35	50	85	0.245664739884393	Other high-grade glioma
BS_0K69QMK6	974	14	2	16	0.0164271047227926	Neurofibroma plexiform
BS_0Q71ZPDX	852	104	319	423	0.496478873239437	Atypical Teratoid Rhabdoid Tumor
BS_0QNRXSFG	1410	38	17	55	0.0390070921985816	Schwannoma
BS_0QYS36NR	1794	3	8	11	0.00613154960981048	Ependymoma
BS_0RF0EZTV	1430	11	4	15	0.0104895104895105	Neurofibroma plexiform
BS_0S8E7590	2170	23	55	78	0.0359447004608295	DIPG or DMG
BS_0SCXXM6N	1718	8	5	13	0.00756693830034924	Low-grade glioma
BS_0SPCTBZY	1932	11	15	26	0.0134575569358178	Other tumor
BS_0T17SY47	2657	11	17	28	0.0105382009785472	Low-grade glioma
BS_0TDWG2CV	1892	14	6	20	0.0105708245243129	Mixed neuronal-glial tumor
BS_0VXZCRJS	1607	1	6	7	0.00435594275046671	DIPG or DMG
BS_0WQJP6ZG	789	6	8	14	0.017743979721166	Ependymoma
BS_0WVJYM9R	2603	4	2	6	0.00230503265462927	Low-grade glioma
BS_0WZKC4JH	1202	104	41	145	0.12063227953411	Low-grade glioma
BS_0X9EGHY2	1434	17	29	46	0.0320781032078103	Low-grade glioma
BS_0XEBS3PG	1308	33	21	54	0.0412844036697248	Non-neoplastic tumor
BS_0XEG6SNV	2876	14	174	188	0.0653685674547983	Ependymoma
BS_0XHT9W4Q	2100	29	20	49	0.0233333333333333	Other high-grade glioma
BS_0Y1BP5A4	1973	25	44	69	0.0349721236695388	Other high-grade glioma
BS_0Y5J2AQ4	1229	20	2	22	0.0179007323026851	Low-grade glioma
BS_0Y66ZBWE	2328	5	13	18	0.0077319587628866	Low-grade glioma
BS_0ZA67BBC	1715	4	3	7	0.00408163265306122	DIPG or DMG
BS_10Z9BMZ7	1493	32	9	41	0.0274614869390489	Medulloblastoma
BS_11WY983P	2037	7	16	23	0.0112911143838979	Mesenchymal tumor
BS_123NZXAQ	1277	38	19	57	0.0446358653093187	Choroid plexus tumor
BS_12G04QJM	730	75	21	96	0.131506849315068	Other high-grade glioma
BS_130PVKA7	204	31	21	52	0.254901960784314	Low-grade glioma
BS_13AFE9QC	1040	25	6	31	0.0298076923076923	Mesenchymal tumor
BS_13CGKADW	2079	12	3	15	0.00721500721500722	Low-grade glioma
BS_15ETQ0E4	1881	4	10	14	0.00744284954811271	Atypical Teratoid Rhabdoid Tumor
BS_1607397Q	2343	10	80	90	0.0384122919334187	Other tumor
BS_166N7SZQ	910	26	11	37	0.0406593406593407	Low-grade glioma
BS_16KA9ZAW	417	10	1	11	0.026378896882494	Low-grade glioma
BS_1719EQ53	463	71	55	126	0.272138228941685	Mixed neuronal-glial tumor
BS_1739JAKK	341	35	43	78	0.228739002932551	Other high-grade glioma
BS_17SAB1QN	2175	16	32	48	0.0220689655172414	Other high-grade glioma
BS_17WYVEEC	1594	11	5	16	0.0100376411543287	Low-grade glioma
BS_17ZSMXFH	1168	8	61	69	0.0590753424657534	Other high-grade glioma
BS_18M3RHYN	2354	52	17	69	0.0293118096856415	Ependymoma
BS_19Z0ERYF	1709	15	8	23	0.013458162668227	Medulloblastoma
BS_1A6MQ9ZA	1103	2	3	5	0.00453309156844968	DIPG or DMG
BS_1AYRM596	1782	21	7	28	0.015712682379349	Medulloblastoma
BS_1BJNPHMD	2118	20	17	37	0.0174693106704438	Other high-grade glioma
BS_1D93Z575	2506	85	42	127	0.0506783719074222	DIPG or DMG
BS_1DECYC4K	1745	19	12	31	0.0177650429799427	Low-grade glioma
BS_1DMAMKFZ	2074	40	19	59	0.0284474445515911	Medulloblastoma
BS_1DNQ1R02	1688	21	114	135	0.0799763033175355	Other high-grade glioma
BS_1EBQ3T20	2029	20	8	28	0.0137999014292755	Other high-grade glioma
BS_1EN5V3XW	2207	10	3	13	0.00589034888989579	Other high-grade glioma
BS_1G3WYEN3	2112	5	4	9	0.00426136363636364	Low-grade glioma
BS_1HFK0SXV	1953	12	7	19	0.00972862263184844	Craniopharyngioma
BS_1HHS9AFK	2416	7	17	24	0.00993377483443709	Other high-grade glioma
BS_1HYS8CSC	909	17		17	0.0187018701870187	Low-grade glioma
BS_1J2WQ08M	2596	2	11	13	0.00500770416024653	Ependymoma
BS_1JDG6JV5	2565	5	5	10	0.00389863547758285	Low-grade glioma
BS_1JNJ0NJ6	1290	29	7	36	0.027906976744186	Craniopharyngioma
BS_1KYGSMA7	2127	3	7	10	0.00470145745181006	Mixed neuronal-glial tumor
BS_1N76FQZY	1389	17	9	26	0.0187185025197984	Low-grade glioma
BS_1N9XZXGE	2325	7	8	15	0.00645161290322581	Mesenchymal tumor
BS_1NPD7PVG	2035	10	2	12	0.0058968058968059	Mixed neuronal-glial tumor
BS_1QNTEZPS	2322	4	3	7	0.00301464254952627	Atypical Teratoid Rhabdoid Tumor
BS_1QXEC43H	2496	16	19	35	0.0140224358974359	Medulloblastoma
BS_1RT76ANT	2501	12	77	89	0.0355857656937225	Other tumor
BS_1RXZ3BP7	2233	3	8	11	0.00492610837438424	Low-grade glioma
BS_1SVVER1H	1841	8	3	11	0.00597501357957632	Schwannoma
BS_1T19NFJ8	2502	6	11	17	0.00679456434852118	Non-neoplastic tumor
BS_1TWCV047	1959	12	37	49	0.0250127616130679	Medulloblastoma
BS_1VNMJHMN	1301	25	7	32	0.0245964642582629	Low-grade glioma
BS_1XFFNFY0	1227	52	11	63	0.0513447432762836	Ependymoma
BS_1XJ73KBQ	1856	11	4	15	0.00808189655172414	Mesenchymal tumor
BS_1Z2CNQEC	786	24	10	34	0.0432569974554707	Medulloblastoma
BS_1Z9AX9JS	643	15	7	22	0.0342146189735614	Low-grade glioma
BS_1ZVXF5FE	1810	15	12	27	0.0149171270718232	Low-grade glioma
BS_1ZWSD3YQ	1207	59	20	79	0.0654515327257664	Medulloblastoma
BS_21ET39G7	2618	3	13	16	0.00611153552330023	DIPG or DMG
BS_21RE8W46	2482	14	105	119	0.0479452054794521	Low-grade glioma
BS_21XGYWWV	2167	46	32	78	0.0359944623904015	Low-grade glioma
BS_22078RXH	895	27	16	43	0.0480446927374302	Craniopharyngioma
BS_22B80N9T	2008	19	195	214	0.106573705179283	Medulloblastoma
BS_22QMSCFR	538	61	47	108	0.200743494423792	Medulloblastoma
BS_238MGRTM	980	43	20	63	0.0642857142857143	Ependymoma
BS_23QW0BBA	1984	8	6	14	0.00705645161290323	Other high-grade glioma
BS_23W9EPFE	1693	56	107	163	0.0962787950383934	Mixed neuronal-glial tumor
BS_24AHZ9ZW	2572	8	1	9	0.00349922239502333	Low-grade glioma
BS_258RRGDM	1935	9	4	13	0.00671834625322997	Mixed neuronal-glial tumor
BS_25KYGJ71	1186	28	22	50	0.0421585160202361	DIPG or DMG
BS_264RCK7G	2166	8	10	18	0.00831024930747922	Mixed neuronal-glial tumor
BS_269X6Y6G	976	20	9	29	0.0297131147540984	Other tumor
BS_26H7DZD4	889	58	24	82	0.0922384701912261	Medulloblastoma
BS_2720P44V	1653	12	7	19	0.0114942528735632	Low-grade glioma
BS_273HKCT4	2547	13	15	28	0.010993325480958	Mixed neuronal-glial tumor
BS_27FYYPJG	878	18	5	23	0.0261958997722096	Mixed neuronal-glial tumor
BS_27Q04NAT	1084	23	8	31	0.0285977859778598	Non-neoplastic tumor
BS_27QE6BV7	2084	11	15	26	0.0124760076775432	Mixed neuronal-glial tumor
BS_2853394H	1733	28	33	61	0.035199076745528	DIPG or DMG
BS_28CTRAS5	2529	19	29	48	0.0189798339264531	Other high-grade glioma
BS_28GPVQAA	324	13	8	21	0.0648148148148148	Mesenchymal tumor
BS_29006KEX	905	9	20	29	0.0320441988950276	Germ cell tumor
BS_297H8BT4	549	15	7	22	0.0400728597449909	DIPG or DMG
BS_29CPJ040	2027	6	4	10	0.00493339911198816	Low-grade glioma
BS_29TRQXWM	1368	15	8	23	0.016812865497076	Low-grade glioma
BS_29X4ZX6Q	2286	13	17	30	0.0131233595800525	Other high-grade glioma
BS_29YQ60CP	1810	108	255	363	0.200552486187845	Medulloblastoma
BS_2A5R9MEJ	2434	8	2	10	0.00410846343467543	DIPG or DMG
BS_2ADZNNV4	1882	7	6	13	0.00690754516471838	Low-grade glioma
BS_2AR3AP0N	2122	7	6	13	0.0061262959472196	Mixed neuronal-glial tumor
BS_2ARXK0TD	1784	9	72	81	0.0454035874439462	DIPG or DMG
BS_2AV1H5TV	245	43	22	65	0.26530612244898	DIPG or DMG
BS_2CW8AGZ2	2056	87	19	106	0.051556420233463	Craniopharyngioma
BS_2D1R9SBY	1275	113	84	197	0.154509803921569	Mixed neuronal-glial tumor
BS_2E9VDD00	350	18	6	24	0.0685714285714286	Low-grade glioma
BS_2EDZ7F2G	255	19	15	34	0.133333333333333	Other high-grade glioma
BS_2EMW8ZG3	1685	19	5	24	0.0142433234421365	Low-grade glioma
BS_2EN3X6HB	823	9	5	14	0.0170109356014581	Other high-grade glioma
BS_2F5CPC8C	1162	18	2	20	0.0172117039586919	Mesenchymal tumor
BS_2FEZWH1F	1938	26	16	42	0.021671826625387	DIPG or DMG
