Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_00FD2KMP	14309	330	360	690	0.0482213991194353	H3 wildtype
BS_0C00AYTE	11749	272	620	892	0.0759213550089369	H3 wildtype
BS_0C7VZC0A	16973	348	182	530	0.0312260649266482	H3 wildtype
BS_0S8E7590	18307	966	138	1104	0.0603048014420713	H3 K28
BS_0VXZCRJS	9828	104	35	139	0.0141432641432641	H3 K28
BS_0XHT9W4Q	13380	170	302	472	0.0352765321375187	H3 wildtype
BS_0ZA67BBC	9783	35	41	76	0.00776857814576306	H3 K28
BS_17ZSMXFH	5577	212	117	329	0.0589922897615205	H3 wildtype
BS_1D93Z575	19492	827	467	1294	0.0663862097270675	H3 K28
BS_25KYGJ71	8113	548	230	778	0.0958954763959078	H3 K28
BS_2853394H	10802	185	224	409	0.0378633586372894	H3 K28
BS_297H8BT4	3076	204	59	263	0.0855006501950585	H3 K28
BS_29X4ZX6Q	13223	161	177	338	0.0255615215911669	H3 wildtype
BS_2A5R9MEJ	15957	117	84	201	0.0125963526978755	H3 K28
BS_2ARXK0TD	10572	176	97	273	0.0258229284903519	H3 K28
BS_2EN3X6HB	5111	89	49	138	0.0270005869692819	H3 wildtype
BS_2HNXVFAS	10281	148	227	375	0.0364750510650715	H3 K28
BS_2JP7RBMB	13626	89	80	169	0.0124027594305005	H3 K28
BS_2K01T8K6	8826	136	74	210	0.0237933378653977	H3 K28
BS_2T5PJAW8	4496	330	274	604	0.134341637010676	H3 wildtype
BS_30F3Z9FS	13287	250	142	392	0.0295025212613833	H3 K28
BS_30VC3R2Q	14372	84	47	131	0.00911494572780406	H3 K28
BS_30YWQ3FY	9526	647	242	889	0.093323535586815	H3 K28
BS_31MBRWC4	9886	215	94	309	0.0312563220716164	H3 wildtype
BS_333KCNDP	8184	195	136	331	0.04044477028348	H3 K28
BS_399RPKC9	12923	71	86	157	0.0121488818385824	H3 K28
BS_3AC3SRWH	2322	309	226	535	0.230404823428079	H3 wildtype
BS_3ZPJAK9A	11869	536	322	858	0.072289156626506	H3 K28
BS_45J79YTF	10742	214	154	368	0.0342580525041892	H3 wildtype
BS_49CJNZ06	17871	667	384	1051	0.0588103631581892	H3 K28
BS_4B0BAVTX	14504	125	126	251	0.0173055708769994	H3 K28
BS_4BM3F6XJ	6243	323	200	523	0.0837738266858882	H3 wildtype
BS_4C6B11E4	5089	104	167	271	0.0532521123992926	H3 K28
BS_4GNN7J8E	8740	52	89	141	0.0161327231121281	H3 wildtype
BS_4KNBXM3C	10768	226	202	428	0.0397473997028232	H3 K28
BS_4QW2S1Q8	15481	75	98	173	0.0111749886958207	H3 K28
BS_51RA1PGE	15893	66	211	277	0.0174290568174668	H3 K28
BS_5965SFPZ	13951	48	97	145	0.010393520177765	H3 K28
BS_5G5BD2MD	4302	417	165	582	0.135285913528591	H3 wildtype
