Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_00W5QB9S	6505	243	182	425	0.0653343581860108	EPN
BS_07ANYSYQ	12797	214	249	463	0.0361803547706494	EPN
BS_0BXY0F9N	10423	62	154	216	0.020723400172695	EPN
BS_0QYS36NR	9497	158	177	335	0.0352742971464673	EPN
BS_0WQJP6ZG	4329	76	127	203	0.0468930468930469	EPN
BS_0XEG6SNV	15438	162	342	504	0.0326467158958414	EPN
BS_18M3RHYN	16537	167	233	400	0.0241881840720808	EPN
BS_196BBNEJ	12129	154	64	218	0.0179734520570533	EPN
BS_1J2WQ08M	15332	128	104	232	0.0151317505870076	EPN
BS_1XFFNFY0	6689	192	143	335	0.050082224547765	EPN
BS_238MGRTM	6087	227	218	445	0.0731066206669952	EPN
BS_34201DKZ	15664	55	121	176	0.0112359550561798	EPN
BS_3A9BTVZJ	7520	596	323	919	0.122207446808511	EPN
BS_3NQB12XN	17185	453	508	961	0.0559208612161769	EPN
BS_3X9WMZGJ	10771	70	78	148	0.0137405997586111	EPN
BS_418N847Z	11070	91	142	233	0.0210478771454381	EPN
BS_4FZS7TX4	7916	36	55	91	0.0114957049014654	EPN
BS_4NWHYH53	6479	142	103	245	0.0378144775428307	EPN
BS_4SCWT0FX	10905	159	65	224	0.0205410362219166	EPN
BS_4T0HPZDC	12719	174	147	321	0.0252378331629845	EPN
BS_50S6TFFE	9371	279	297	576	0.0614662255895849	EPN
BS_53M8PP88	12557	30	86	116	0.0092378752886836	EPN
BS_5SWXR2QQ	4054	246	188	434	0.107054760730143	EPN
BS_613KQVAE	9794	116	245	361	0.0368593016132326	EPN
BS_67Z63A2K	13134	41	74	115	0.00875590071569971	EPN
BS_6AFD49QR	12564	167	84	251	0.0199777141037886	EPN
BS_6AQ5RR83	8182	649	320	969	0.118430701539966	EPN
BS_6H1C1ME9	13430	136	110	246	0.0183172002978407	EPN
BS_6MZ7FRZH	15006	60	56	116	0.0077302412368386	EPN
BS_6N7YE1A4	12118	1779	547	2326	0.191945865654398	EPN
BS_74G5K7JF	6008	84	59	143	0.0238015978695073	EPN
BS_7B89YR6K	14371	2021	912	2933	0.204091573307355	EPN
BS_7BTZQKYY	24144	26	240	266	0.0110172299536117	EPN
BS_7FKE2YPB	12562	513	171	684	0.0544499283553574	EPN
BS_7G42J2SK	11029	243	81	324	0.0293770967449451	EPN
BS_8Q7W9NSR	10039	480	113	593	0.0590696284490487	EPN
BS_8RHPJ740	13969	272	226	498	0.0356503686734913	EPN
BS_8ZP3CBQA	18784	29	70	99	0.00527044293015332	EPN
BS_975AWWJE	4680	323	248	571	0.122008547008547	EPN
BS_9D1XZKJE	4953	701	460	1161	0.234403391883707	EPN
BS_ADEE1SN5	5963	212	143	355	0.0595337917155794	EPN
BS_AGTPCRR4	11480	45	40	85	0.00740418118466899	EPN
BS_AP814Q8D	7201	597	348	945	0.13123177336481	EPN
BS_BJDNWMJH	11548	140	87	227	0.0196570834776585	EPN
BS_BPKRC55C	2321	251	191	442	0.190435157259802	EPN
BS_BW1Z7QQY	4127	154	115	269	0.0651805185364672	EPN
BS_BYBG9F2X	6571	63	55	118	0.0179576928930148	EPN
BS_C05FKR8X	11357	209	230	439	0.0386545742713745	EPN
BS_C80S5N37	9091	71	95	166	0.018259817401826	EPN
BS_CE7C68FX	2065	451	235	686	0.332203389830508	EPN
BS_CN797XGY	5832	109	104	213	0.036522633744856	EPN
BS_CXVJK2FY	10929	129	164	293	0.0268094061670784	EPN
BS_CZ3ER8DY	7816	169	93	262	0.0335209825997953	EPN
BS_CZ3NA7KV	5779	87	90	177	0.0306281363557709	EPN
BS_D48301X5	10788	95	185	280	0.0259547645532073	EPN
BS_DS4Z2VBP	13876	201	229	430	0.0309887575670222	EPN
BS_E2B5BJ7A	9788	216	186	402	0.0410706988148754	EPN
BS_E4F1D721	11615	71	163	234	0.0201463624623332	EPN
BS_EK5PCKY0	3000	82	161	243	0.081	EPN
BS_EMYET8F4	13390	127	58	185	0.0138162808065721	EPN
BS_ETM3DW4J	6534	125	143	268	0.0410162228344047	EPN
BS_EVCAC3NH	4128	170	183	353	0.0855135658914729	EPN
BS_EWC2NGHN	11872	93	252	345	0.0290599730458221	EPN
BS_FTKPQ5FZ	3073	142	110	252	0.082004555808656	EPN
BS_FW5ECXXK	4744	188	229	417	0.0879005059021922	EPN
BS_G0RPJHA9	6652	78	173	251	0.0377330126277811	EPN
BS_G23JJAZY	6386	233	129	362	0.056686501722518	EPN
BS_G63HYD6N	16701	199	268	467	0.0279623974612299	EPN
BS_GKZZJ29B	7749	76	147	223	0.0287779068266873	EPN
BS_GS7Q2JHA	8089	252	73	325	0.0401780195326987	EPN
BS_GV3NZ9QD	14154	39	40	79	0.00558146107107531	EPN
BS_H4NXBD2D	5133	115	149	264	0.0514319111630625	EPN
BS_HC44ZA0V	13095	46	203	249	0.0190148911798396	EPN
BS_HJVKKWGP	8988	164	165	329	0.0366043613707165	EPN
BS_HTSFDSJR	2278	501	330	831	0.364793678665496	EPN
BS_HYASKY2Z	6819	35	138	173	0.0253702888986655	EPN
BS_HZ707C55	13982	56	116	172	0.0123015305392648	EPN
BS_J70GK8SM	3680	116	160	276	0.075	EPN
BS_J8VX4D17	12530	175	69	244	0.0194732641660016	EPN
BS_JCKGMNR0	4223	105	87	192	0.0454653090220223	EPN
BS_JHGW42S6	11768	53	123	176	0.0149558123725357	EPN
BS_JHTBR7DW	8067	176	192	368	0.0456179496715012	EPN
BS_K1024ZPM	9504	138	198	336	0.0353535353535354	EPN
BS_K5KWSB7D	7603	314	362	676	0.0889122714717875	EPN
BS_KBT7MQ6H	8032	152	156	308	0.0383466135458167	EPN
BS_KDSTG5YY	12653	77	47	124	0.00980004741958429	EPN
BS_KT3C0XCA	12951	150	407	557	0.0430082619102772	EPN
BS_KWVZXEDS	6093	289	381	670	0.10996225176432	EPN
BS_KXMYBQ6N	11177	151	102	253	0.0226357698845844	EPN
BS_M1T1K5WV	16434	69	80	149	0.00906656930753316	EPN
BS_M3C0MZC9	3060	303	169	472	0.154248366013072	EPN
BS_MA2T7ET1	6981	224	227	451	0.0646039249391205	EPN
BS_MKP2Y41Z	9451	103	114	217	0.0229605332769019	EPN
BS_MPZ6PKW8	5354	361	242	603	0.112626073963392	EPN
BS_MQCKXD60	3617	355	231	586	0.162012717721869	EPN
BS_MT15SGJN	3190	105	70	175	0.054858934169279	EPN
BS_N5DVEJXT	14097	78	53	131	0.00929275732425339	EPN
BS_N8J1DP02	15001	281	219	500	0.0333311112592494	EPN
BS_NFJPYMET	9048	271	375	646	0.0713969938107869	EPN
BS_NGHK9RZP	11035	76	223	299	0.0270956048935206	EPN
BS_NH7K4CD9	8679	257	432	689	0.079387026155087	EPN
BS_NJ19NGVS	5097	42	56	98	0.0192269962723171	EPN
BS_NWNTY3FZ	4684	312	177	489	0.104397950469684	EPN
BS_P78SMRBS	14462	118	124	242	0.0167335085050477	EPN
BS_P7A4C235	5973	99	117	216	0.036162732295329	EPN
