Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_08B376A6	13894	129	324	453	0.0326040017273643	MB
BS_09Z7TC35	16252	124	148	272	0.0167364016736402	MB
BS_0BTXD5M6	14230	131	148	279	0.0196064652143359	MB
BS_0EB67GB4	11569	141	160	301	0.0260178062062408	MB
BS_0HKNEFQC	9170	339	306	645	0.0703380588876772	MB
BS_10Z9BMZ7	9559	189	250	439	0.0459253059943509	MB
BS_19Z0ERYF	11626	138	88	226	0.0194391880268364	MB
BS_1AYRM596	12588	88	122	210	0.0166825548141087	MB
BS_1BWP5MCT	14264	383	289	672	0.0471116096466629	MB
BS_1DMAMKFZ	13771	256	232	488	0.0354367874518917	MB
BS_1QXEC43H	15898	260	180	440	0.0276764372877091	MB
BS_1TWCV047	10269	85	164	249	0.0242477359041776	MB
BS_1Z2CNQEC	4638	124	70	194	0.0418283742992669	MB
BS_1ZWSD3YQ	8893	380	394	774	0.0870347464297762	MB
BS_22B80N9T	11210	774	266	1040	0.0927743086529884	MB
BS_22QMSCFR	3277	614	284	898	0.274031126029905	MB
BS_26H7DZD4	6369	559	266	825	0.129533678756477	MB
BS_29YQ60CP	11181	1257	638	1895	0.169483945979787	MB
BS_2G4EH95X	13881	243	125	368	0.0265110582811037	MB
BS_2M4174KG	8233	163	113	276	0.0335236244382364	MB
BS_2SFTWNVE	19569	38	85	123	0.00628545147938065	MB
BS_2Z1MKS84	16367	63	111	174	0.0106311480417914	MB
BS_34CAMM62	7362	133	149	282	0.0383048084759576	MB
BS_397XFJY9	3992	284	153	437	0.109468937875752	MB
BS_3F5PR9GS	11003	137	87	224	0.0203580841588658	MB
BS_3MYEMXPQ	13522	191	128	319	0.0235911847359858	MB
BS_3N2YFZFB	10292	310	295	605	0.0587835211815002	MB
BS_3NWQXPQV	12996	330	197	527	0.0405509387503847	MB
BS_3RAM3K7B	17872	432	254	686	0.0383840644583706	MB
BS_3SZZ50WB	8595	155	108	263	0.0305991855730076	MB
BS_3V3KE3VT	13263	333	291	624	0.0470481791449898	MB
BS_46MF83WA	7811	176	84	260	0.0332863909870695	MB
BS_4CP4T22V	10388	102	86	188	0.0180978051597998	MB
BS_4D9DD103	17374	119	218	337	0.0193967998158167	MB
