gene	CTRL1	CTRL2	CTRL3	Treated1	Treated2	Treated3
ENSG00000000003.15_TSPAN6	4334.00	5232.00	5280.00	2967.00	3279.00	3830.00
ENSG00000000005.6_TNMD	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000000419.14_DPM1	1757.00	1923.00	1958.00	1550.00	1779.00	1692.00
ENSG00000000457.14_SCYL3	2298.00	2614.00	2736.00	1925.00	2040.00	2060.00
ENSG00000000460.17_C1orf112	6223.00	7452.00	7478.00	4560.00	5122.00	5249.00
ENSG00000000938.13_FGR	1.00	1.00	3.00	0.00	0.00	4.00
ENSG00000000971.16_CFH	875.85	875.13	801.21	454.99	437.92	533.95
ENSG00000001036.14_FUCA2	5336.00	6287.00	6623.00	5323.00	5946.00	7051.00
ENSG00000001084.13_GCLC	3609.00	4250.00	4614.00	2152.00	2065.84	2277.00
ENSG00000001167.15_NFYA	5050.00	5658.00	6135.00	3935.00	4492.86	4668.00
ENSG00000001460.18_STPG1	2150.00	2484.00	2734.00	1785.00	1958.00	2003.00
ENSG00000001461.17_NIPAL3	8456.00	9680.00	10365.00	5665.00	6125.00	6904.00
ENSG00000001497.18_LAS1L	3785.00	3943.00	4639.00	3620.00	3932.00	4189.00
ENSG00000001561.7_ENPP4	18270.00	21362.00	22841.00	13302.00	14583.00	15537.00
ENSG00000001617.12_SEMA3F	11.00	13.00	3.00	8.00	2.00	24.00
ENSG00000001626.17_CFTR	1.00	0.00	4.00	1.00	2.00	1.00
ENSG00000001629.10_ANKIB1	23308.00	25776.00	27514.00	18254.00	19680.00	21575.00
ENSG00000001630.18_CYP51A1	10461.19	12222.55	13437.51	10915.40	11776.70	14290.64
ENSG00000001631.17_KRIT1	13076.02	13792.19	14833.24	10587.78	11451.99	11016.29
ENSG00000002016.18_RAD52	476.99	470.49	492.29	455.11	596.00	585.49
ENSG00000002079.14_MYH16	0.00	1.00	2.00	6.00	2.00	1.00
ENSG00000002330.14_BAD	683.00	803.00	810.00	535.00	535.00	694.00
ENSG00000002549.13_LAP3	1854.00	2219.00	2383.00	1004.00	1080.00	1285.00
ENSG00000002586.20_CD99	8462.50	9463.00	10345.50	6239.50	6536.50	7906.00
ENSG00000002586.20_PAR_Y_CD99	8462.50	9463.00	10345.50	6239.50	6536.50	7906.00
ENSG00000002587.10_HS3ST1	2714.00	3050.00	3271.00	2122.00	2375.00	2512.00
ENSG00000002726.21_AOC1	7.00	1.00	4.00	6.00	2.00	22.00
ENSG00000002745.13_WNT16	0.00	3.00	1.00	0.00	0.00	4.00
ENSG00000002746.15_HECW1	2417.00	2359.00	2591.00	760.00	814.00	899.00
ENSG00000002822.16_MAD1L1	794.68	878.84	942.03	641.24	720.41	778.86
ENSG00000002834.18_LASP1	15159.00	17132.00	18864.00	11751.00	12224.00	13437.00
ENSG00000002919.15_SNX11	2005.00	2277.00	2429.00	1767.00	1891.00	2077.00
ENSG00000002933.9_TMEM176A	297.00	336.00	362.00	82.00	89.00	91.00
ENSG00000003056.8_M6PR	9062.00	10797.00	11389.00	9671.00	10790.00	11985.00
ENSG00000003096.14_KLHL13	3578.00	4126.00	4487.00	2529.00	2747.00	3226.00
ENSG00000003137.9_CYP26B1	173.00	200.00	167.00	89.00	98.00	118.00
ENSG00000003147.19_ICA1	210.00	269.00	259.00	139.00	138.00	160.00
ENSG00000003249.15_DBNDD1	5979.00	6658.00	7557.00	4150.00	4472.00	4875.00
ENSG00000003393.16_ALS2	7262.00	7826.00	8481.00	6918.00	7134.00	7812.00
ENSG00000003400.15_CASP10	40.00	52.00	32.00	39.00	55.00	64.00
ENSG00000003402.21_CFLAR	18278.00	18683.00	20137.00	19459.88	20537.90	21132.00
ENSG00000003436.16_TFPI	7907.00	8983.00	9164.00	6665.00	6854.00	7490.00
ENSG00000003509.16_NDUFAF7	1056.00	1131.00	1230.00	1030.00	1156.00	1319.00
ENSG00000003756.17_RBM5	7147.00	7422.00	8030.91	6737.00	7194.00	7396.00
ENSG00000003987.14_MTMR7	7.00	1.00	8.00	0.00	3.00	4.00
ENSG00000003989.18_SLC7A2	409.00	619.00	399.00	115.00	96.00	92.00
ENSG00000004059.11_ARF5	6177.89	7318.95	7732.94	4529.97	5105.00	5450.91
ENSG00000004139.14_SARM1	14011.96	16344.90	17049.00	8293.90	9107.00	9400.00
ENSG00000004142.12_POLDIP2	11949.00	14010.00	15091.00	9526.00	10330.00	11794.00
ENSG00000004399.13_PLXND1	29176.00	32278.00	34776.00	18788.00	20252.00	20853.00
ENSG00000004455.17_AK2	17150.00	19508.00	21190.00	13110.99	13953.00	15502.00
ENSG00000004468.13_CD38	69.00	44.00	50.00	14.00	16.00	18.00
ENSG00000004478.8_FKBP4	5913.00	6661.00	7415.00	5092.00	5219.00	6034.00
ENSG00000004487.18_KDM1A	7998.00	8409.00	9242.00	5791.00	6303.00	6453.00
ENSG00000004534.15_RBM6	4404.00	4509.00	5360.09	3555.00	3952.00	4677.00
