gene	dPSI	Uniprot	Preference	Exon Coordinates
ACVRL1	0.674948717948718	Modifications	Skipping	51913559-51913770
BCKDK	0.945927710843374	Modifications	Skipping	31110688-31110761
CAMK2A	0.971538461538461	Modifications	Skipping	150250688-150250810
CAMK2G	0.254481366459627	Modifications	Skipping	73819532-73819617
CAMK2G	0.453015015015015	Modifications	Skipping	73819532-73819645
CAMK2G	0.764205128205129	Modifications	Skipping	73825279-73825347
CAMK2G	0.857948818897639	Modifications	Skipping	73825279-73825347
CAMK2G	0.655737051792829	Modifications	Skipping	73825321-73825347
CAMK4	0.951090909090909	Modifications	Skipping	111344024-111344102
CASK	0.9498	Modifications	Skipping	41853097-41853227
CASK	0.969694736842105	Modifications	Skipping	41853115-41853227
CDC42BPA	0.9492	Modifications	Skipping	227004994-227005111
CDK10	0.884945945945946	Modifications	Skipping	89693398-89693467
CDK14	0.965076923076923	Modifications	Skipping	90726567-90726812
CDK14	0.981052631578947	Modifications	Skipping	90747681-90747775
CDK17	0.960035714285714	Modifications	Skipping	96311052-96311177
CDK17	0.961522727272727	Modifications	Skipping	96334719-96334865
CDK1	0.942309090909091	Modifications	Skipping	60788060-60788230
CLK1	0.753066455696203	Modifications	Skipping	200860125-200860215
CLK2	0.75760621761658	Modifications	Skipping	155268708-155268792
CLK2	0.810430051813471	Modifications	Skipping	155268708-155268795
CLK3	0.882767123287671	Modifications	Skipping	74622120-74622216
CLK4	0.714709251101321	Modifications	Skipping	178617344-178617434
CSF1R	0.980296296296296	Modifications	Skipping	150059700-150059862
DCLK2	0.991222222222222	Modifications	Skipping	150248305-150248385
DYRK2	0.652032110091743	Modifications	Skipping	67649797-67649945
EEF2K	0.969	Modifications	Skipping	22225654-22225975
EEF2K	0.888425	Modifications	Skipping	22264818-22264880
EIF2AK1	0.9841	Modifications	Skipping	6028615-6028697
EIF2AK4	0.923188679245283	Modifications	Skipping	40016502-40016672
EPHA5	0.812738095238095	Modifications	Skipping	65490377-65490712
EPHA5	0.75745	Modifications	Skipping	65490377-65490712
GRK4	0.476	Modifications	Skipping	3037374-3037511
HIPK3	0.95195	Modifications	Skipping	33286413-33287511
IKBKE	0.773818181818182	Modifications	Skipping	206493266-206493378
IRAK1	0.947904761904762	Modifications	Skipping	154013043-154013343
IRAK1	0.965190476190476	Modifications	Skipping	154013043-154013433
MAP3K20	0.921051724137931	Modifications	Skipping	173090998-173091190
MAP4K5	0.9758125	Modifications	Skipping	50445041-50445194
MAP4K5	0.97	Modifications	Skipping	50456516-50456594
MAPKAPK3	0.956363636363636	Modifications	Skipping	50644409-50644532
MAPKAPK5	0.823114754098361	Modifications	Skipping	111868753-111868861
MAPKAPK5	0.82274427480916	Modifications	Skipping	111868753-111868861
MARK1	0.768314606741573	Modifications	Skipping	220657790-220657834
MARK3	0.950298701298701	Modifications	Skipping	103405076-103405267
MARK3	0.940283950617284	Modifications	Skipping	103491777-103492034
MAST1	0.916	Modifications	Skipping	12843529-12843607
MELK	0.874538461538461	Modifications	Skipping	36589536-36589652
MELK	0.815776	Modifications	Skipping	36657241-36657363
MKNK1	0.570643564356436	Modifications	Skipping	46560234-46560277
MKNK2	0.443774509803922	Modifications	Skipping	2039631-2039856
MKNK2	0.443774509803922	Modifications	Skipping	2039631-2039856
MYLK	0.508186206896552	Modifications	Skipping	123732896-123733102
NADK2	0.957	Modifications	Skipping	36219596-36219679
NADK	0.9706	Modifications	Skipping	1765228-1765446
NAXD	0.945	Modifications	Skipping	110637129-110637249
NEK1	0.825978813559322	Modifications	Skipping	169438083-169438259
NEK3	0.707896551724138	Modifications	Skipping	52156075-52156248
NEK4	0.624909937888198	Modifications	Skipping	52749692-52749829
NEK6	0.978132075471698	Modifications	Skipping	124301936-124302054
NEK6	0.975454545454545	Modifications	Skipping	124312509-124312649
NEK6	0.991307692307692	Modifications	Skipping	124327338-124327445
NEK7	0.972121212121212	Modifications	Skipping	198232553-198232637
NEK9	0.922470588235294	Modifications	Skipping	75095372-75095431
NEK9	0.930390243902439	Modifications	Skipping	75124046-75124223
NPR2	0.934882352941176	Modifications	Skipping	35800022-35800157
NPR2	0.761126829268293	Modifications	Skipping	35801926-35802000
OXSR1	0.942901960784314	Modifications	Skipping	38242743-38242778
PAK3	0.954	Modifications	Skipping	111123077-111123278
PAK3	0.936875	Modifications	Skipping	111123077-111123278
PAK4	0.579419689119171	Modifications	Skipping	39172918-39173106
PAK4	0.707634020618557	Modifications	Skipping	39172918-39173376
PEAK1	0.971692307692308	Modifications	Skipping	77178790-77182040
PI4KB	0.970875	Modifications	Skipping	151302194-151302298
PI4KB	0.899531914893617	Modifications	Skipping	151315573-151315672
PI4KB	0.950428571428572	Modifications	Skipping	151315573-151316509
PI4KB	0.951531914893617	Modifications	Skipping	151315573-151316509
PIK3C2A	0.9618	Modifications	Skipping	17135111-17135159
PIK3C2A	0.944805194805195	Modifications	Skipping	17168677-17169806
PKD2	0.940795454545454	Modifications	Skipping	88043233-88043457
PKN2	0.957033333333334	Modifications	Skipping	88740988-88741288
PKN2	0.94825	Modifications	Skipping	88784639-88784824
PRKD3	0.955933333333334	Modifications	Skipping	37279746-37279929
PRKD3	0.957328125	Modifications	Skipping	37289356-37289513
PRKD3	0.747703422053232	Modifications	Skipping	37316237-37317179
PRKDC	0.733858858858859	Modifications	Skipping	47782162-47782254
PRKX	0.886783132530121	Modifications	Skipping	3641852-3641971
PTK2	0.903608695652174	Modifications	Skipping	140675460-140675499
PTK2	0.911954545454545	Modifications	Skipping	140686632-140686694
PTK2	0.946984435797666	Modifications	Skipping	140686632-140686694
PTK2	0.970104761904762	Modifications	Skipping	140739018-140739107
PTK2B	0.804995327102804	Modifications	Skipping	27445794-27445919
PTK2B	0.852081081081081	Modifications	Skipping	27451043-27451078
RIPK1	0.766888888888889	Modifications	Skipping	3082547-3083313
ROR1	0.828555555555555	Modifications	Skipping	64009305-64009376
RPS6KA4	0.937787878787879	Modifications	Skipping	64365301-64365465
SRPK1	0.896771929824562	Modifications	Skipping	35870281-35870494
STK16	0.916128205128205	Modifications	Skipping	219247662-219247757
STK32A	0.924255813953489	Modifications	Skipping	147239539-147239686
STK33	0.904148148148148	Modifications	Skipping	8413495-8413692
STK38	0.866566037735849	Modifications	Skipping	36499873-36499990
TLK1	0.952863636363636	Modifications	Skipping	171117739-171117857
TLK2	0.538753205128205	Modifications	Skipping	62524236-62524331
TNIK	0.954354838709677	Modifications	Skipping	171108065-171108162
TNIK	0.890649193548387	Modifications	Skipping	171128714-171128878
TNIK	0.978333333333333	Modifications	Skipping	171161270-171161336
TNK2	0.939387434554974	Modifications	Skipping	195882051-195882328
ULK3	0.926108108108108	Modifications	Skipping	74838643-74838745
VRK3	0.684442446043165	Modifications	Skipping	50009236-50009289
VRK3	0.849060714285715	Modifications	Skipping	50009236-50009385
ACTR2	0.989461538461538	Other	Skipping	65255545-65255694
ACVRL1	0.834923076923077	Other	Skipping	51913974-51914073
ADCK2	0.9307125	Other	Skipping	140686990-140687241
ALDH18A1	0.960804347826087	Other	Skipping	95642992-95643206
BCKDK	0.945927710843374	Other	Skipping	31110688-31110761
CAMK1	0.862812785388128	Other	Skipping	9765759-9765890
CAMK4	0.951090909090909	Other	Skipping	111344024-111344102
CASK	0.9498	Other	Skipping	41853097-41853227
CASK	0.969694736842105	Other	Skipping	41853115-41853227
CDC42BPA	0.829442028985508	Other	Skipping	227112671-227112913
CDC42BPA	0.950767123287671	Other	Skipping	227254064-227254155
CDC42BPA	0.932	Other	Skipping	227254064-227254155
CDK10	0.780528985507247	Other	Skipping	89689252-89689324
CDK10	0.476168253968254	Other	Skipping	89689252-89689324
CDK10	0.692	Other	Skipping	89689252-89689324
CDK10	0.784093023255814	Other	Skipping	89689252-89689324
CDK14	0.981052631578947	Other	Skipping	90747681-90747775
CDK17	0.966222222222222	Other	Skipping	96298869-96298983
CDK17	0.960035714285714	Other	Skipping	96311052-96311177
CDK19	0.9519	Other	Skipping	110746126-110746201
CDK19	0.9519	Other	Skipping	110746126-110746201
CDK1	0.942309090909091	Other	Skipping	60788060-60788230
CDK8	0.918	Other	Skipping	26337567-26337642
CHKB	0.910625	Other	Skipping	50579727-50579802
CLK2	0.905102941176471	Other	Skipping	155265860-155265954
CLK2	0.75760621761658	Other	Skipping	155268708-155268792
CLK2	0.810430051813471	Other	Skipping	155268708-155268795
CLK3	0.960583333333333	Other	Skipping	74625802-74625968
COQ8B	0.902689655172414	Other	Skipping	40703715-40703855
CSNK1D	0.981457142857143	Other	Skipping	82265686-82265796
CSNK1G1	0.866159090909091	Other	Skipping	64259201-64259241
CSNK1G3	0.960666666666667	Other	Skipping	123553107-123553147
CSNK2A2	0.966	Other	Skipping	58174451-58174510
CSNK2A2	0.89616	Other	Skipping	58174451-58174510
DCLK2	0.988169811320755	Other	Skipping	150193138-150193240
DCLK2	0.969434554973822	Other	Skipping	150203795-150203889
DCLK2	0.963025773195876	Other	Skipping	150203795-150203889
DCLK2	0.966689655172414	Other	Skipping	150232682-150232828
DGKB	0.88023595505618	Other	Skipping	14701681-14701730
DGKB	0.960533333333333	Other	Skipping	14736041-14736194
DGKG	0.913632183908046	Other	Skipping	186284660-186284709
DMPK	0.965142857142857	Other	Skipping	45778493-45778641
EEF2K	0.969	Other	Skipping	22225654-22225975
EEF2K	0.863611111111111	Other	Skipping	22257643-22257770
EIF2AK1	0.97925	Other	Skipping	6054546-6054704
EIF2AK4	0.923188679245283	Other	Skipping	40016502-40016672
EIF2AK4	0.957153846153846	Other	Skipping	40025977-40026089
EPHA5	0.688196428571428	Other	Skipping	65495388-65495543
EPHB1	0.966	Other	Skipping	135106448-135106603
EPHB1	0.965666666666667	Other	Skipping	135201474-135201689
ETNK2	0.880222222222222	Other	Skipping	204149703-204149962
FASTK	0.916909090909091	Other	Skipping	151078842-151079021
FASTK	0.914047337278106	Other	Skipping	151079500-151079922
FER	0.912	Other	Skipping	108798124-108798389
FER	0.937568181818182	Other	Skipping	108832770-108832943
GALK1	0.90875	Other	Skipping	75763014-75763149
GALK1	0.8369375	Other	Skipping	75763014-75763181
GALK2	0.890510791366907	Other	Skipping	49281987-49282085
GRK2	0.9669	Other	Skipping	67281093-67281184
GRK3	0.8577	Other	Skipping	25604377-25604453
GRK3	0.782333333333333	Other	Skipping	25604377-25604453
GRK3	0.77775	Other	Skipping	25644592-25644665
GRK3	0.799157894736842	Other	Skipping	25644592-25644665
GRK3	0.959785714285714	Other	Skipping	25672296-25672347
GRK4	0.517830357142857	Other	Skipping	2988727-2988839
GRK4	0.731740458015267	Other	Skipping	3009648-3009711
GRK5	0.914558823529412	Other	Skipping	119326516-119326611
GRK5	0.914558823529412	Other	Skipping	119326516-119326611
HIPK3	0.95195	Other	Skipping	33286413-33287511
HK1	0.972818181818181	Other	Skipping	69359897-69360045
HK1	0.980461538461538	Other	Skipping	69368536-69368631
HK1	0.977774193548387	Other	Skipping	69398595-69398828
IKBKE	0.773818181818182	Other	Skipping	206493266-206493378
IRAK1	0.975473684210526	Other	Skipping	154012529-154012678
IRAK1	0.947904761904762	Other	Skipping	154013043-154013343
IRAK1	0.965190476190476	Other	Skipping	154013043-154013433
IRAK1	0.955636363636364	Other	Skipping	154016032-154016097
LRRK2	0.957590909090909	Other	Skipping	40340294-40340454
LRRK2	0.960906976744186	Other	Skipping	40348409-40348509
MAP2K3	0.950818181818182	Other	Skipping	21312142-21312281
MAP3K10	0.90528	Other	Skipping	40192638-40192713
MAP3K10	0.90528	Other	Skipping	40192638-40192713
MAP3K20	0.921051724137931	Other	Skipping	173090998-173091190
MAP4K3	0.941692307692308	Other	Skipping	39378066-39378123
MAP4K4	0.99154794520548	Other	Skipping	101790720-101790776
MAP4K4	0.979833333333333	Other	Skipping	101855977-101856138
MAPKAPK5	0.94414705882353	Other	Skipping	111866156-111866231
MARK3	0.950298701298701	Other	Skipping	103405076-103405267
MELK	0.775869565217391	Other	Skipping	36581644-36581739
MELK	0.740888111888112	Other	Skipping	36583627-36583712
MELK	0.742833333333334	Other	Skipping	36594628-36594771
MELK	0.904510204081633	Other	Skipping	36642997-36643083
MELK	0.815776	Other	Skipping	36657241-36657363
MINK1	0.9629	Other	Skipping	4890951-4891124
MKNK1	0.901238095238095	Other	Skipping	46580530-46580627
MKNK2	0.443774509803922	Other	Skipping	2039631-2039856
MKNK2	0.443774509803922	Other	Skipping	2039631-2039856
MKNK2	0.970918032786885	Other	Skipping	2046186-2046283
MKNK2	0.970918032786885	Other	Skipping	2046186-2046283
MKNK2	0.880125	Other	Skipping	2046522-2046691
MKNK2	0.880125	Other	Skipping	2046522-2046691
MOK	0.708571428571429	Other	Skipping	102251756-102251804
MTOR	0.932552631578948	Other	Skipping	11117004-11117086
MTOR	0.913141509433962	Other	Skipping	11247625-11247733
MTOR	0.909107843137255	Other	Skipping	11256933-11257165
MVK	0.738630872483222	Other	Skipping	109581395-109581550
MVK	0.841988235294117	Other	Skipping	109581395-109581550
MYLK	0.946351351351351	Other	Skipping	123647224-123647427
MYLK	0.87345	Other	Skipping	123752331-123752538
NADK	0.857725806451613	Other	Skipping	1754051-1754208
NADK	0.84387265917603	Other	Skipping	1754051-1754208
NAXD	0.821277777777778	Other	Skipping	110627439-110627547
NAXD	0.919714285714286	Other	Skipping	110627439-110627547
NAXD	0.909125	Other	Skipping	110627439-110627547
NAXD	0.945	Other	Skipping	110637129-110637249
NEK11	0.884279069767442	Other	Skipping	131080423-131080588
NEK3	0.707896551724138	Other	Skipping	52156075-52156248
NEK6	0.978132075471698	Other	Skipping	124301936-124302054
NEK6	0.975454545454545	Other	Skipping	124312509-124312649
NEK6	0.991307692307692	Other	Skipping	124327338-124327445
NEK7	0.957063829787234	Other	Skipping	198253040-198253180
NEK9	0.922470588235294	Other	Skipping	75095372-75095431
NEK9	0.930390243902439	Other	Skipping	75124046-75124223
NIM1K	0.853447368421053	Other	Skipping	43245082-43246067
NLK	0.931602941176471	Other	Skipping	28185179-28185265
PAK3	0.949214285714286	Other	Skipping	111163562-111163727
PAK4	0.579419689119171	Other	Skipping	39172918-39173106
PAK4	0.707634020618557	Other	Skipping	39172918-39173376
PAPSS1	0.984228571428571	Other	Skipping	107701171-107701285
PDIK1L	0.879416666666667	Other	Skipping	26114292-26114593
PDIK1L	0.894057142857143	Other	Skipping	26114292-26114593
PDK1	0.815430232558139	Other	Skipping	172568741-172568817
PDPK1	0.2626	Other	Skipping	2566356-2566453
PEAK1	0.971692307692308	Other	Skipping	77178790-77182040
PHKG1	0.829590476190476	Other	Skipping	56087598-56087776
PHKG2	0.770954838709677	Other	Skipping	30756367-30756520
PI4KB	0.970875	Other	Skipping	151302194-151302298
PI4KB	0.899531914893617	Other	Skipping	151315573-151315672
PI4KB	0.950428571428572	Other	Skipping	151315573-151316509
PI4KB	0.951531914893617	Other	Skipping	151315573-151316509
PIK3C2A	0.944805194805195	Other	Skipping	17168677-17169806
PINK1	0.985166666666667	Other	Skipping	20637842-20638129
PKD2	0.806066265060241	Other	Skipping	88057983-88058103
PKN2	0.957033333333334	Other	Skipping	88740988-88741288
PKN2	0.94825	Other	Skipping	88784639-88784824
PKN2	0.849021052631579	Other	Skipping	88804391-88804534
PNCK	0.8765	Other	Skipping	153670450-153670594
PRKCI	0.924666666666667	Other	Skipping	170267915-170268000
PRKCZ	0.958294117647059	Other	Skipping	2146027-2146108
PTK2	0.966333333333333	Other	Skipping	140664917-140664997
PTK2	0.468568862275449	Other	Skipping	140669727-140669735
PTK2	0.903608695652174	Other	Skipping	140675460-140675499
PTK2	0.911954545454545	Other	Skipping	140686632-140686694
PTK2	0.946984435797666	Other	Skipping	140686632-140686694
PTK2	0.975924050632911	Other	Skipping	140702570-140702707
PTK2	0.963031496062992	Other	Skipping	140717598-140717709
PTK2	0.968323529411765	Other	Skipping	140744652-140744767
PTK2	0.977975	Other	Skipping	140752232-140752316
PTK2	0.857893081761006	Other	Skipping	140879471-140879637
PTK2B	0.804995327102804	Other	Skipping	27445794-27445919
PTK2B	0.852081081081081	Other	Skipping	27451043-27451078
RIOK3	0.925222222222222	Other	Skipping	23467399-23467526
ROCK2	0.956125	Other	Skipping	11235702-11235962
RPS6KL1	0.758277777777778	Other	Skipping	74907435-74907530
RPS6KL1	0.680515151515152	Other	Skipping	74909543-74910148
RPS6KL1	0.751916666666667	Other	Skipping	74911794-74911841
RPS6KL1	0.661516666666667	Other	Skipping	74918513-74918605
SMG1	0.9546	Other	Skipping	18889372-18889585
SMG1	0.912561403508772	Other	Skipping	18896052-18896207
SRM	0.979184615384615	Other	Skipping	11055781-11055926
STK16	0.916128205128205	Other	Skipping	219247662-219247757
STK24	0.947619047619048	Other	Skipping	98460372-98460440
STK25	0.970208333333333	Other	Skipping	241501478-241501708
STK25	0.947608695652174	Other	Skipping	241501478-241501708
STK25	0.94125	Other	Skipping	241501478-241501799
STK32A	0.924255813953489	Other	Skipping	147239539-147239686
STK32B	0.951714285714286	Other	Skipping	5139905-5139960
STK33	0.904148148148148	Other	Skipping	8413495-8413692
STK33	0.856045871559633	Other	Skipping	8440678-8440753
STK35	0.934020408163265	Other	Skipping	2116666-2117415
STK40	0.953571428571429	Other	Skipping	36358737-36358822
STK40	0.917	Other	Skipping	36358737-36358822
STK40	0.886285714285714	Other	Skipping	36358737-36358837
STRADB	0.958754716981132	Other	Skipping	201469953-201470052
TAF1	0.913222222222222	Other	Skipping	71454170-71454237
TAF1	0.702836363636364	Other	Skipping	71459150-71459251
TAF1	0.233733944954129	Other	Skipping	71459150-71459251
TAOK1	0.973761904761905	Other	Skipping	29480368-29480481
TAOK1	0.984511111111111	Other	Skipping	29498318-29498521
TLK1	0.97064	Other	Skipping	171028339-171028405
TLK1	0.94336	Other	Skipping	171046174-171046362
TLK2	0.885888888888889	Other	Skipping	62523134-62523177
TLK2	0.820226666666667	Other	Skipping	62552302-62552397
TNIK	0.469663580246914	Other	Skipping	171107183-171107206
TNIK	0.954354838709677	Other	Skipping	171108065-171108162
TNIK	0.890649193548387	Other	Skipping	171128714-171128878
TNIK	0.827792207792208	Other	Skipping	171139470-171139556
TNIK	0.978333333333333	Other	Skipping	171161270-171161336
TNK2	0.939387434554974	Other	Skipping	195882051-195882328
TRPM7	0.9292	Other	Skipping	50596255-50596381
TTBK2	0.868833333333333	Other	Skipping	42794644-42794801
TTBK2	0.902348837209302	Other	Skipping	42872611-42872758
VRK3	0.781842105263158	Other	Skipping	49995191-49995275
VRK3	0.849060714285715	Other	Skipping	50009236-50009385
WNK1	0.892857142857143	Other	Skipping	880721-880999
WNK1	0.98490625	Other	Skipping	882943-883059
WNK1	0.982609271523178	Other	Skipping	900476-900670
