SpliceID	dPSI	Uniprot
LZTS2:101003507-101004166_100999475-101002946_101005457-101005715	0.9366	Modifications
OGA:101800242-101800400_101798841-101799455_101803734-101804019	0.982963855421687	Modifications
PPRC1:102146672-102147392_102144249-102144307_102148371-102148521	0.468726315789474	Modifications
PPRC1:102146672-102147392_102145019-102145090_102148371-102148521	0.8658	Modifications
NOLC1:102158049-102158214_102152408-102152530_102159192-102159308	0.930422222222222	Modifications
GBF1:102363227-102363396_102362474-102362664_102363709-102363798	0.908285714285714	Modifications
GBF1:102363256-102363396_102362474-102362664_102363709-102363798	0.948928571428571	Modifications
PSD:102405346-102405536_102405182-102405253_102407222-102407266	0.973666666666667	Modifications
ARL3:102705346-102705489_102699372-102699489_102714272-102714397	0.970785714285714	Modifications
SH3PXD2A:103622470-103622553_103617196-103617314_103627088-103627202	0.729167539267016	Modifications
GSTO1:104262979-104263077_104259575-104259798_104266083-104266190	0.9700125	Modifications
ADD3:110100625-110100848_110007963-110008299_110112776-110112906	0.986	Modifications
PDCD4:110875966-110876070_110871794-110872018_110881232-110881535	0.92105376344086	Modifications
CCDC186:114162637-114163329_114157553-114157680_114174014-114174203	0.866105263157895	Modifications
AFAP1L2:114333221-114333295_114323170-114323261_114340602-114340731	0.904166666666667	Modifications
ABLIM1:114453379-114453483_114451623-114451671_114465697-114465827	0.27485049833887	Modifications
ABLIM1:114473879-114473956_114472976-114473132_114487957-114487993	0.957705882352941	Modifications
ATRNL1:115171037-115171292_115165557-115165645_115215696-115215880	0.892572463768116	Modifications
USP6NL:11597631-11597717_11527499-11527567_11611442-11611650	0.927944444444444	Modifications
BAG3:119672255-119672656_119669850-119670177_119676463-119677819	0.987692307692308	Modifications
WDR11:120867066-120867169_120866568-120866764_120871169-120871346	0.911	Modifications
DHTKD1:12087535-12087729_12084539-12084751_12088985-12089255	0.940616071428571	Modifications
FGFR2:121565438-121565704_121564323-121564579_121593708-121593764	0.865014423076923	Modifications
NSMCE4A:121959501-121959595_121959323-121959410_121960357-121960406	0.90509009009009	Modifications
TACC2:122211497-122211708_122210885-122211422_122215390-122215451	0.939	Modifications
TACC2:122215391-122215451_122210041-122211708_122216626-122216665	0.937953846153846	Modifications
ACADSB:123037747-123037847_123034355-123034515_123040465-123040657	0.868363636363637	Modifications
OAT:124411973-124412200_124408740-124408965_124418872-124418923	0.973682926829268	Modifications
BCCIP:125830562-125830651_125827557-125827638_125831419-125831537	0.939583333333334	Modifications
INSYN2A:127175212-127176400_127135425-127138020_127195996-127196158	0.766083333333333	Modifications
INSYN2A:127175212-127176400_127153851-127153923_127195996-127196158	0.79003125	Modifications
MKI67:128114928-128116007_128113426-128113602_128116490-128116536	0.694797619047619	Modifications
MGMT:129536241-129536377_129467189-129467296_129707894-129708043	0.957217391304348	Modifications
OPTN:13133502-13133581_13132066-13132197_13136744-13136918	0.974666666666667	Modifications
PHYH:13280976-13281110_13277795-13278354_13283689-13283839	0.969714285714286	Modifications
BEND7:13480899-13481124_13452538-13452658_13492610-13492876	0.903615384615385	Modifications
FAM171A1:15254721-15254879_15248638-15248815_15275854-15275947	0.967190476190476	Modifications
RSU1:16816973-16817084_16782033-16782084_16817314-16817424	0.774271565495208	Modifications
VIM:17233587-17233682_17230003-17230710_17233769-17233931	0.997828571428571	Modifications
VIM:17235846-17235889_17235168-17235389_17236293-17236379	0.999827586206896	Modifications
VIM:17235846-17235889_17235168-17235389_17237229-17237593	0.9937	Modifications
VIM:17235846-17236379_17235168-17235389_17237229-17237593	0.997788461538462	Modifications
VIM:17236294-17236379_17235168-17235389_17237229-17237593	0.99725	Modifications
VIM:17236294-17236379_17235845-17235889_17237229-17237593	0.999698630136986	Modifications
MLLT10:21617112-21617207_21614830-21614924_21651672-21651768	0.8314125	Modifications
PIP4K2A:22591629-22591781_22573310-22573457_22607926-22608023	0.949128342245989	Modifications
