Splice ID	Case	Sample	Histology	CNS	Type
HDAC10:50247692-50247776_50246874-50246966_50247889-50247948	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
ADNP:50928651-50928825_50903888-50904001_50930825-50931375	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
APOC1:44914672-44914733_44914246-44914489_44914871-44914949	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
CD46:207790253-207790345_207785618-207785682_207793518-207793873	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
COL11A2:33184145-33184324_33181110-33181170_33184991-33185054	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
CPNE2:57137149-57137282_57134774-57134826_57146084-57146321	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
SRSF7:38748898-38749173_38748578-38748653_38749528-38749705	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
SRSF7:38748898-38749346_38748578-38748653_38749528-38749705	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
PCGF3:732400-732498_730969-731110_733671-733789	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
ITGB1BP1:9418626-9418732_9414177-9414256_9423372-9423430	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
SEPTIN6:119625335-119625379_119615723-119616742_119629317-119629508	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
ERP29:112019756-112019894_112013425-112013609_112022149-112023168	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
S100A13:153627483-153627598_153626319-153626533_153628120-153628248	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
PTBP2:96806419-96806452_96804784-96804939_96806865-96806958	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
USP39:85645814-85645899_85644947-85645083_85647929-85648016	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
PDLIM5:94584986-94585003_94575942-94576034_94585564-94585737	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
ACIN1:23067314-23068671_23065965-23066008_23069475-23069525	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
SF3B1:197418896-197418951_197418508-197418588_197420427-197420542	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
SF3B1:197418896-197419640_197418508-197418588_197420427-197420542	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
JMJD1C:63219878-63219983_63217206-63217331_63264650-63264764	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
HPS1:98435272-98435414_98433939-98434091_98435634-98435772	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
USP15:62374390-62374535_62355330-62355475_62381489-62381633	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
N4BP2L2:32480590-32480637_32443064-32444126_32517856-32517920	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
C2orf27A:131733833-131733952_131722416-131722648_131750632-131750830	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
NFYB:104131754-104131838_104128423-104128517_104135447-104135532	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
CCL4:36104528-36104642_36103826-36103981_36105224-36105614	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
TANC2:63151270-63151380_63099174-63099357_63193990-63194082	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
FLNA:154353554-154353727_154353295-154353457_154353914-154354043	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
CASTOR3:100223570-100223698_100222596-100222720_100223881-100223943	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
ATM:108248933-108249102_108246963-108247127_108250700-108251072	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
RNF14:141974804-141974955_141973582-141973742_141980122-141980351	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
USP25:15824039-15824166_15818697-15818846_15824965-15825061	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
CBFB:67036639-67036755_67029726-67029813_67066681-67066798	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
MIOS:7582630-7582819_7574097-7574196_7583117-7583372	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
TSPAN18:44897752-44897828_44860327-44860469_44906406-44906479	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
CTSB:11857858-11857940_11853328-11853479_11864375-11864463	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
MAP4K3:39303074-39303117_39299742-39299801_39307942-39308005	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
ATP2B4:203723881-203723988_203722477-203722689_203727394-203727571	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
XPO6:28152930-28152964_28152658-28152785_28156073-28156117	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
SEMA4F:74657853-74657951_74657564-74657624_74662731-74662825	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
ANKRD36B:97580462-97580568_97560831-97560860_97584943-97585117	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
FOXP1:70972011-70972180_70970735-70970805_70972554-70972676	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
UPRT:75294563-75294620_75293471-75293514_75296341-75296411	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
FAM102A:127953805-127953925_127953574-127953604_127979991-127980989	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
XPNPEP3:40860678-40860793_40857096-40857245_40868998-40869115	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
GATC:120454933-120455030_120446656-120446829_120457075-120457179	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
AEBP1:44107809-44107931_44107628-44107700_44108006-44108084	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
SMG1P3:21487578-21487616_21484371-21484535_21519827-21520179	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
NSD1:177238237-177238507_177235820-177235945_177239755-177239865	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
MAN2B1:12658428-12658510_12658223-12658344_12661259-12661376	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
EMSY:76459936-76460085_76458182-76458358_76463820-76464080	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
CEP164:117363429-117363506_117362403-117362538_117371079-117371466	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
LRRK2:40316278-40316403_40315211-40315300_40319987-40320175	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
