SpliceID	dPSI	Uniprot
ABCA1_104884427-104884568_104883038-104883157_104889101-104889195	-0.412142857142857	Modifications
ABHD14B_51971460-51971892_51969942-51970184_51973964-51974031	-0.247	Modifications
ABI1_26759062-26759235_26755654-26755741_26765217-26765318	-0.370240506329114	Modifications
ABI1_26759062-26759238_26755654-26755741_26765217-26765318	-0.374753086419753	Modifications
AC010619.3_49478909-49479047_49476422-49476566_49480297-49480476	-0.326	Modifications
ACAD10_111727962-111728143_111721670-111721739_111733922-111734047	-0.661176470588235	Modifications
ACAD10_111729806-111729956_111727961-111728143_111733922-111734068	-0.5	Modifications
ACLY_41896620-41896649_41893032-41893174_41897748-41897839	-0.273545454545455	Modifications
ACSF2_50472428-50472579_50470930-50471135_50473664-50473790	-0.348787878787879	Modifications
ACTN4_38710257-38710342_38709394-38709476_38711275-38711361	-0.40925	Modifications
ADAMTS13_133443376-133443561_133442613-133442743_133444862-133445052	-0.456388888888889	Modifications
ADCY9_4007368-4007558_3993348-3993510_4113749-4114026	-0.29775	Modifications
ADGRB2_31740347-31740541_31739925-31740034_31741623-31741725	-0.943615384615385	Modifications
ADGRD1_130987095-130987349_130971457-130971580_130991013-130991078	-0.364	Modifications
AGAP3_151139979-151140116_151134424-151134568_151141897-151142052	-0.22625	Modifications
AK4_65190710-65190829_65148202-65148552_65218753-65218926	-0.34	Modifications
AL358113.1_69249375-69249485_69248011-69248224_69251034-69251364	-0.310307692307692	Modifications
AMPD2_109625303-109625433_109620653-109621266_109625661-109625792	-0.28538	Modifications
ANK3_60082150-60082176_60080536-60080618_60082614-60082686	-0.385	Modifications
ANK3_60137342-60137353_60134270-60134358_60138963-60139087	-0.461421052631579	Modifications
ANKHD1-EIF4EBP3_140496520-140497278_140486957-140487060_140504820-140504966	-0.288666666666667	Modifications
ANKRD17_73139531-73140283_73135116-73135265_73141740-73141792	-0.278625	Modifications
ANKS1B_98829174-98829353_98800996-98801125_98832028-98832136	-0.228333333333333	Modifications
ANKS3_4726979-4727177_4726658-4726780_4729979-4730151	-0.4506	Modifications
AP000295.1_33268394-33268517_33262792-33263637_33279751-33279918	-0.991181818181818	Modifications
AP003071.5_69085671-69085752_69083944-69084016_69135434-69135532	-0.264	Modifications
ARHGEF11_156954892-156954921_156951572-156951699_156955702-156955799	-0.675025316455696	Modifications
ARHGEF1_41897315-41897326_41896376-41896482_41897945-41898113	-0.556727272727273	Modifications
ARHGEF40_21087320-21087463_21085688-21085866_21087967-21088098	-0.296076923076923	Modifications
ARMC6_19042711-19042877_19033609-19034013_19051621-19052195	-0.305833333333333	Modifications
ARSA_50627556-50627792_50627165-50627406_50627945-50628170	-0.282176470588235	Modifications
ASIC4_219531758-219531902_219517135-219517268_219537065-219537157	-0.5038	Modifications
ASPDH_50513272-50513416_50512359-50512580_50514477-50514690	-0.6466	Modifications
ATF7IP2_10457372-10457529_10440363-10440462_10473478-10473534	-0.823363636363636	Modifications
ATP11C_139731651-139731755_139726348-139728962_139732434-139732525	-0.532	Modifications
BCAS1_53966906-53967073_53953431-53953695_53975388-53975430	-0.357777777777778	Modifications
BCAS1_53975389-53975430_53966905-53967073_53985286-53985499	-0.29795652173913	Modifications
BCL2L12_49667022-49667161_49666684-49666799_49668850-49668937	-0.492	Modifications
BCLAF1_136276468-136276508_136275842-136275989_136277864-136278103	-0.78632	Modifications
BID_17743803-17744013_17739348-17739488_17774380-17774495	-0.265666666666667	Modifications
BMP7_57183722-57183919_57168752-57171108_57202474-57202623	-0.211777777777778	Modifications
BTN2A2_26385015-26385362_26383791-26383915_26388012-26388289	-0.326117647058824	Modifications
BTN2A2_26385143-26385362_26383791-26383915_26388012-26388159	-0.479269230769231	Modifications
C11orf74_36633284-36633438_36610080-36610239_36648015-36648155	-0.7	Modifications
C12orf49_116723067-116723223_116720295-116720447_116737789-116738069	-0.208	Modifications
CALU_128754262-128754455_128748572-128748804_128754528-128754722	-0.30475	Modifications
CAMK2G_73819532-73819617_73817478-73817554_73821681-73821730	-0.2458	Modifications
CAMK2G_73819532-73819645_73817478-73817554_73821681-73821730	-0.265	Modifications
CAMK2G_73825279-73825347_73824039-73824084_73828088-73828121	-0.310741379310345	Modifications
CAPZB_19342752-19342864_19338822-19339617_19344357-19344434	-0.282666666666667	Modifications
CASP8AP2_89865953-89869082_89857083-89857199_89871288-89871388	-0.432	Modifications
CAST_96729153-96729209_96727488-96727530_96729611-96729691	-0.278684210526316	Modifications
CAST_96740745-96740783_96740037-96740118_96741265-96741317	-0.483266666666667	Modifications
CBLB_105685320-105685466_105680991-105681818_105693493-105693588	-0.576691358024691	Modifications
CCDC13_42730467-42730589_42713161-42713316_42732886-42732970	-0.402	Modifications
CCDC14_123955843-123956795_123948895-123949132_123961143-123961349	-0.569455882352941	Modifications
CCDC14_123956046-123956115_123948895-123949132_123961143-123961225	-0.2625	Modifications
CCDC39_180614996-180615077_180613813-180613864_180616280-180616363	-0.940166666666667	Modifications
CCT3_156337677-156337789_156337078-156337240_156338153-156338257	-0.2825	Modifications
CD22_35338168-35338431_35337754-35338021_35340880-35341138	-0.411230769230769	Modifications
CD46_207767779-207767823_207767012-207767195_207770320-207770362	-0.33747619047619	Modifications
CDCA3_6849323-6849413_6849153-6849198_6849564-6849858	-0.499333333333333	Modifications
CDCA3_6849323-6849429_6848808-6849198_6849564-6849783	-0.478444444444444	Modifications
CDCA3_6850833-6851009_6850198-6850596_6851221-6851249	-0.843405405405405	Modifications
CDHR3_106022198-106022448_106020372-106020544_106024380-106024562	-0.5	Modifications
CEMIP2_71690092-71690246_71685742-71685846_71694508-71694607	-0.207560606060606	Modifications
CEP57L1_109145219-109145381_109140420-109140675_109146757-109146933	-0.486555555555556	Modifications
CES1_55810927-55811007_55810516-55810664_55812902-55813043	-0.507	Modifications
CES4A_67005240-67005393_67004083-67004224_67008973-67009314	-0.706	Modifications
CHL1_398227-398385_394692-394872_399016-399148	-0.297304347826087	Modifications
CHST6_75478084-75479844_75473180-75473508_75481816-75481981	-0.248777777777778	Modifications
CHST6_75478533-75479844_75473360-75473467_75481816-75481891	-0.347823529411765	Modifications
CLEC5A_141945341-141945400_141935813-141935950_141946806-141946936	-0.678333333333333	Modifications
CLK1_200860125-200860215_200859679-200859746_200861237-200861466	-0.2614	Modifications
