Splice ID	Case	Type	Tumor_PSI	Mean_PSI	Sample	Histology
U2AF1L4:35742529-35743904_35742528-35742803_35743808-35743904	RI	Inclusion	0.619	0.28171568627451	BS_30VC3R2Q	H3 WT
EMD:154379942-154380367_154379941-154380019_154380233-154380367	RI	Inclusion	0.21600000000000003	0.0945327868852459	BS_30VC3R2Q	H3 WT
CAMKV:49857989-49859881_49857988-49859676_49859769-49859881	RI	Skipping	0.33399999999999996	0.628166666666667	BS_30VC3R2Q	H3 WT
LST1:31587200-31588909_31587199-31587318_31588517-31588909	RI	Inclusion	0.5710000000000001	0.264379310344828	BS_30VC3R2Q	H3 WT
COL20A1:63328079-63328498_63328078-63328127_63328330-63328498	RI	Skipping	0.36700000000000005	0.624292307692308	BS_30VC3R2Q	H3 WT
FBXL6:144356990-144357502_144356989-144357121_144357438-144357502	RI	Skipping	0.196	0.470990384615385	BS_30VC3R2Q	H3 WT
CCL4L2:36211776-36212878_36211775-36211890_36212481-36212878	RI	Inclusion	0.701	0.25798	BS_30VC3R2Q	H3 WT
STUB1:681793-682076_681792-681880_682058-682076	RI	Skipping	0.843	0.94034693877551	BS_30VC3R2Q	H3 WT
MOK:102232535-102233789_102232534-102232671_102233687-102233789	RI	Skipping	0.35600000000000004	0.696935483870968	BS_30VC3R2Q	H3 WT
TCTN3:95683101-95683629_95683100-95683180_95683521-95683629	RI	Inclusion	0.7140000000000001	0.502190476190476	BS_30VC3R2Q	H3 WT
ACADM:75742168-75745914_75742167-75744391_75745834-75745914	RI	Skipping	0.727	0.856428571428571	BS_30VC3R2Q	H3 WT
ZNF181:34739148-34739621_34739147-34739268_34739522-34739621	RI	Inclusion	0.382	0.148731707317073	BS_30VC3R2Q	H3 WT
STAT3:42323260-42323625_42323259-42323354_42323452-42323625	RI	Skipping	0.502	0.764416666666667	BS_30VC3R2Q	H3 WT
ROBO3:124877519-124878131_124877518-124877752_124877936-124878131	RI	Skipping	0.322	0.720557142857143	BS_30VC3R2Q	H3 WT
CHROMR:178426366-178430889_178426365-178426505_178430694-178430889	RI	Skipping	0.35200000000000004	0.578907407407408	BS_30VC3R2Q	H3 WT
ADCK5:144391580-144391866_144391579-144391711_144391782-144391866	RI	Skipping	0.237	0.487557142857143	BS_30VC3R2Q	H3 WT
C1orf131:231223763-231225523_231223762-231224414_231225470-231225523	RI	Inclusion	0.21600000000000003	0.0855	BS_30VC3R2Q	H3 WT
HGS:81696607-81696998_81696606-81696747_81696829-81696998	RI	Skipping	0.37799999999999995	0.631588235294118	BS_30VC3R2Q	H3 WT
RTEL1-TNFRSF6B:63695778-63697191_63695777-63695854_63696759-63697191	RI	Inclusion	0.948	0.7193125	BS_399RPKC9	H3 WT
IDH3B:2658395-2658837_2658394-2658522_2658758-2658837	RI	Skipping	0.6679999999999999	0.859118644067797	BS_399RPKC9	H3 WT
EMD:154379942-154380367_154379941-154380019_154380233-154380367	RI	Inclusion	0.24100000000000002	0.0945327868852459	BS_399RPKC9	H3 WT
CTPS1:41008659-41008890_41008658-41008714_41008793-41008890	RI	Inclusion	0.335	0.142969387755102	BS_399RPKC9	H3 WT
FGFR1:38427921-38428435_38427920-38428093_38428345-38428435	RI	Inclusion	0.44299999999999995	0.158202247191011	BS_399RPKC9	H3 WT
FGFR1:38427921-38428435_38427920-38428093_38428351-38428435	RI	Inclusion	0.254	0.100366336633663	BS_399RPKC9	H3 WT
ABCA2:137010973-137011309_137010972-137011105_137011185-137011309	RI	Inclusion	0.165	0.0705104166666667	BS_399RPKC9	H3 WT
ABCA2:137011407-137011749_137011406-137011554_137011633-137011749	RI	Inclusion	0.136	0.0508977272727273	BS_399RPKC9	H3 WT
RGR:84247641-84249043_84247640-84247747_84248921-84249043	RI	Inclusion	0.544	0.239408163265306	BS_399RPKC9	H3 WT
MDK:46381711-46382133_46381710-46381885_46382056-46382133	RI	Skipping	0.313	0.683063829787234	BS_399RPKC9	H3 WT
CALM3:46605827-46608340_46605826-46605857_46608204-46608340	RI	Skipping	0.514	0.774153846153846	BS_399RPKC9	H3 WT
CBLB:105680992-105681818_105680991-105681610_105681723-105681818	RI	Inclusion	0.255	0.127192307692308	BS_399RPKC9	H3 WT
DDX41:177516288-177516835_177516287-177516447_177516724-177516835	RI	Inclusion	0.275	0.0802959183673469	BS_399RPKC9	H3 WT
BHLHE40:4979962-4980408_4979961-4980031_4980300-4980408	RI	Inclusion	0.226	0.0925294117647059	BS_399RPKC9	H3 WT
LAMB1:108001558-108002971_108001557-108001733_108002848-108002971	RI	Inclusion	0.371	0.124702702702703	BS_399RPKC9	H3 WT
SNX14:85543182-85543760_85543181-85543306_85543604-85543760	RI	Inclusion	0.172	0.0553818181818182	BS_399RPKC9	H3 WT
PSD4:113185365-113186255_113185364-113185440_113185876-113186255	RI	Inclusion	0.465	0.241328767123288	BS_399RPKC9	H3 WT
PHIP:78955613-78958600_78955612-78955682_78958474-78958600	RI	Inclusion	0.423	0.150078125	BS_399RPKC9	H3 WT
CCDC180:97307736-97308132_97307735-97307806_97307982-97308132	RI	Skipping	0.135	0.319646341463415	BS_399RPKC9	H3 WT
TRAPPC6B:39158285-39159550_39158284-39158402_39159482-39159550	RI	Inclusion	0.32299999999999995	0.134950617283951	BS_399RPKC9	H3 WT
DDX41:177513353-177513847_177513352-177513484_177513684-177513847	RI	Inclusion	0.096	0.0350657894736842	BS_399RPKC9	H3 WT
SBF1:50465961-50466258_50465960-50466043_50466149-50466258	RI	Skipping	0.522	0.726936170212766	BS_399RPKC9	H3 WT
SSR2:156011810-156012565_156011809-156011887_156012384-156012565	RI	Inclusion	0.6920000000000001	0.402368421052632	BS_399RPKC9	H3 WT
EFS:23359317-23360039_23359316-23359694_23359922-23360039	RI	Skipping	0.87	0.93721052631579	BS_399RPKC9	H3 WT
ZNF10:133130611-133131014_133130610-133130754_133130836-133131014	RI	Inclusion	0.7340000000000001	0.430829787234043	BS_399RPKC9	H3 WT
EWSR1:29298733-29299280_29298732-29298895_29299194-29299280	RI	Skipping	0.21100000000000002	0.607755102040816	BS_B1C6GZ84	H3 WT
LZTR1:20994104-20994727_20994103-20994269_20994557-20994727	RI	Skipping	0.039	0.29424	BS_B1C6GZ84	H3 WT
NELFCD:58993624-58994239_58993623-58993675_58994109-58994239	RI	Skipping	0.5539999999999999	0.740991452991453	BS_B1C6GZ84	H3 WT
SORBS3:22566661-22566868_22566660-22566713_22566821-22566868	RI	Inclusion	0.406	0.206829268292683	BS_B1C6GZ84	H3 WT
SPAG7:4959226-4959916_4959225-4959643_4959759-4959916	RI	Inclusion	0.179	0.088764705882353	BS_B1C6GZ84	H3 WT
RACK1:181241492-181242345_181241491-181241639_181242285-181242345	RI	Skipping	0.905	0.967811764705882	BS_B1C6GZ84	H3 WT
PTPRO:15594937-15597399_15594936-15595057_15596089-15597399	RI	Inclusion	0.306	0.162981308411215	BS_B1C6GZ84	H3 WT
PLCB2:40291265-40291924_40291264-40291487_40291848-40291924	RI	Skipping	0.11900000000000001	0.48596	BS_B1C6GZ84	H3 WT
VPS28:144423617-144424132_144423616-144423922_144424040-144424132	RI	Inclusion	0.342	0.150766666666667	BS_B1C6GZ84	H3 WT
ILK:6608884-6609408_6608883-6608967_6609298-6609408	RI	Skipping	0.298	0.729206896551724	BS_B1C6GZ84	H3 WT
RPS17:82538306-82538985_82538305-82538371_82538879-82538985	RI	Inclusion	0.023	0.00381690140845071	BS_B1C6GZ84	H3 WT
ITGAX:31360310-31361213_31360309-31360463_31361062-31361213	RI	Skipping	0.136	0.456956043956044	BS_B1C6GZ84	H3 WT
EEF1D:143581054-143581328_143581053-143581154_143581285-143581328	RI	Skipping	0.877	0.951488372093023	BS_B1C6GZ84	H3 WT
GLYCTK:52290960-52291922_52290959-52291111_52291746-52291922	RI	Skipping	0.135	0.477208333333333	BS_B1C6GZ84	H3 WT
TCIRG1:68042946-68043497_68042945-68043031_68043370-68043497	RI	Skipping	0.151	0.466223880597015	BS_B1C6GZ84	H3 WT
CCNL2:1390766-1392803_1390765-1390865_1392678-1392803	RI	Skipping	0.8590000000000001	0.9475625	BS_B1C6GZ84	H3 WT
NUP62:49927694-49929504_49927693-49927815_49929416-49929504	RI	Skipping	0.735	0.839872340425532	BS_B1C6GZ84	H3 WT
CDK5RAP3:47975514-47976013_47975513-47975638_47975868-47976013	RI	Skipping	0.725	0.919052631578948	BS_B1C6GZ84	H3 WT
CENPI:101098204-101098539_101098203-101098248_101098443-101098539	RI	Inclusion	0.45899999999999996	0.282875	BS_B1C6GZ84	H3 WT
BIRC5:78215966-78216781_78215965-78216034_78216663-78216781	RI	Skipping	0.062	0.260428571428571	BS_B1C6GZ84	H3 WT
POMGNT1:46193305-46193925_46193304-46193388_46193854-46193925	RI	Skipping	0.41200000000000003	0.783125	BS_B1C6GZ84	H3 WT
C22orf46:41693463-41698136_41693462-41693851_41693937-41698136	RI	Skipping	0.293	0.534221153846154	BS_B1HF89ES	H3.1 K28
SGSM3:40407017-40407328_40407016-40407071_40407200-40407328	RI	Inclusion	0.25	0.123064220183486	BS_B1HF89ES	H3.1 K28
LZTR1:20994104-20994727_20994103-20994269_20994557-20994727	RI	Inclusion	0.574	0.29424	BS_B1HF89ES	H3.1 K28
NECAB3:33659497-33659732_33659496-33659550_33659652-33659732	RI	Skipping	0.10800000000000001	0.378211009174312	BS_B1HF89ES	H3.1 K28
TMEM33:41935129-41935529_41935128-41935262_41935466-41935529	RI	Skipping	0.647	0.875337078651685	BS_B1HF89ES	H3.1 K28
RNASEK-C17orf49:7014145-7015156_7014144-7014878_7015061-7015156	RI	Inclusion	0.213	0.0936016949152542	BS_B1HF89ES	H3.1 K28
EEF1A1:73519337-73520056_73519336-73519507_73519882-73520056	RI	Skipping	0.39399999999999996	0.703709090909091	BS_B1HF89ES	H3.1 K28
ZNF655:99561888-99562494_99561887-99561973_99562367-99562494	RI	Skipping	0.245	0.664086021505376	BS_B1HF89ES	H3.1 K28
RPS15:1438807-1440253_1438806-1438892_1440025-1440253	RI	Skipping	0.423	0.777346666666667	BS_B1HF89ES	H3.1 K28
APC2:1456853-1458060_1456852-1457243_1457964-1458060	RI	Inclusion	0.532	0.180415094339623	BS_B1HF89ES	H3.1 K28
GSK3A:42242183-42242602_42242182-42242239_42242371-42242602	RI	Skipping	0.373	0.768521276595745	BS_B1HF89ES	H3.1 K28
MYO7B:127634176-127634683_127634175-127634289_127634595-127634683	RI	Inclusion	0.625	0.153428571428571	BS_B1HF89ES	H3.1 K28
SORBS3:22565826-22566484_22565825-22565872_22566344-22566484	RI	Inclusion	0.42700000000000005	0.113955357142857	BS_B1HF89ES	H3.1 K28
MRPL20-AS1:1399519-1400303_1399518-1399689_1400157-1400303	RI	Inclusion	0.8490000000000001	0.519376146788991	BS_B1HF89ES	H3.1 K28
PLCB2:40290577-40290837_40290576-40290672_40290760-40290837	RI	Inclusion	0.397	0.14992	BS_B1HF89ES	H3.1 K28
ARL6IP4:122981129-122981879_122981128-122981266_122981594-122981879	RI	Inclusion	0.45399999999999996	0.260358333333333	BS_B1HF89ES	H3.1 K28
APBB1:6401574-6401982_6401573-6401688_6401976-6401982	RI	Inclusion	0.833	0.40289156626506	BS_B1HF89ES	H3.1 K28
IMP4:130342894-130343194_130342893-130342962_130343085-130343194	RI	Inclusion	0.7979999999999999	0.443826923076923	BS_B1HF89ES	H3.1 K28
SF3B1:197418509-197420542_197418508-197418588_197418895-197420542	RI	Skipping	0.405	0.695377358490566	BS_B1HF89ES	H3.1 K28
HCFC1R1:3023233-3023968_3023232-3023530_3023846-3023968	RI	Inclusion	0.18600000000000003	0.059453125	BS_B1HF89ES	H3.1 K28
RPL18:48615331-48615946_48615330-48615447_48615876-48615946	RI	Inclusion	0.026000000000000002	0.00716071428571429	BS_B1HF89ES	H3.1 K28
DCXR:82036859-82037547_82036858-82037013_82037449-82037547	RI	Inclusion	0.318	0.122712962962963	BS_B1HF89ES	H3.1 K28
