splicing_event	histology	type	freq
ZFAS1:49280903-49280964_49280321-49280570_49289044-49289260	H3.1 K28	inclusion	3
U2AF1L4:35743155-35743345_35742530-35742803_35743808-35743904	H3.1 K28	inclusion	4
RGN:47089776-47089991_47084417-47084600_47091677-47091809	H3.1 K28	inclusion	4
NEK1:169508769-169508852_169508247-169508331_169537808-169537911	H3.1 K28	inclusion	3
PLEKHA6:204256802-204256888_204250545-204250614_204257352-204257869	H3.1 K28	inclusion	3
DENND4A:65700544-65700672_65697266-65697383_65701050-65701192	H3.1 K28	inclusion	3
CTBS:84569931-84570139_84565840-84566012_84570581-84570720	H3.1 K28	inclusion	4
RACK1:181240216-181240327_181239322-181239582_181241491-181241639	H3.1 K28	inclusion	5
RACK1:181240216-181240345_181239486-181239582_181241491-181241563	H3.1 K28	inclusion	5
NT5C2:103111745-103111805_103106588-103106706_103139405-103139479	H3.1 K28	inclusion	3
ZCCHC17:31318167-31318236_31310043-31310164_31319108-31319166	H3.1 K28	inclusion	4
ATP2B1:89598657-89598743_89590527-89591295_89599116-89599299	H3.1 K28	inclusion	3
SUGT1:52661475-52661570_52659178-52659249_52662648-52662702	H3.1 K28	inclusion	3
WDR59:74899698-74899754_74893678-74893812_74903946-74904100	H3.1 K28	inclusion	3
MYO18A:29085604-29085648_29082315-29082438_29086437-29086577	H3.1 K28	inclusion	3
PSMC5:63827674-63827923_63827459-63827514_63828137-63828209	H3.1 K28	inclusion	9
PSMC5:63827829-63827923_63827445-63827514_63828137-63828209	H3.1 K28	inclusion	9
PSMC5:63827851-63827923_63827459-63827514_63828137-63828209	H3.1 K28	inclusion	8
GRIA3:123465674-123465788_123464864-123465112_123480062-123480177	H3.1 K28	inclusion	4
ABRAXAS1:83483992-83484166_83482153-83482244_83484985-83485103	H3.1 K28	inclusion	5
FAM126B:200987365-200987532_200973717-200981871_200988261-200988421	H3.1 K28	inclusion	3
NT5C2:103111693-103111805_103106588-103106706_103139405-103139479	H3.1 K28	inclusion	4
CNOT2:70294237-70294294_70278131-70278274_70310894-70311017	H3.1 K28	inclusion	7
ZNF112:44343254-44343302_44340415-44340542_44356625-44356674	H3.1 K28	inclusion	4
CERS5:50135433-50135652_50134545-50134702_50135731-50135838	H3.1 K28	inclusion	5
TMCC1:129857250-129857405_129848342-129848412_129880308-129880559	H3.1 K28	inclusion	3
COX4I1:85804540-85804661_85801204-85801278_85804936-85805096	H3.1 K28	inclusion	4
XPO1:61525270-61525333_61522610-61522683_61526419-61526521	H3.1 K28	inclusion	6
MRM2:2238015-2238937_2234294-2235564_2239417-2239707	H3.1 K28	inclusion	5
CLK4:178619838-178619896_178616881-178618778_178623255-178623416	H3.1 K28	inclusion	5
TMEM116:111965595-111965759_111943264-111943369_111991757-111991889	H3.1 K28	inclusion	3
CAMK2G:73819532-73819617_73817478-73817554_73821681-73821730	H3.1 K28	inclusion	5
CAMK2G:73819532-73819645_73817478-73817554_73821681-73821730	H3.1 K28	inclusion	3
TM2D1:61686792-61686921_61683451-61683546_61694696-61694770	H3.1 K28	inclusion	3
KIF21A:39346466-39346504_39342033-39342124_39351776-39351980	H3.1 K28	inclusion	3
FYN:111699515-111699670_111696276-111696456_111700103-111700268	H3.1 K28	inclusion	8
NDUFB1:92118849-92118966_92117497-92117642_92121641-92121724	H3.1 K28	inclusion	5
CAPZB:19342752-19342864_19338822-19339617_19344357-19344434	H3.1 K28	inclusion	6
FXYD6:117844110-117844206_117842718-117842781_117876591-117876625	H3.1 K28	inclusion	3
PPP2R2B:147035169-147035240_146701044-146701142_147055664-147056027	H3.1 K28	inclusion	3
DOCK9:98825872-98825940_98824397-98824504_98826829-98826887	H3.1 K28	inclusion	6
MAPT:45989878-45990075_45987039-45987095_45991459-45991586	H3.1 K28	inclusion	5
LRRC27:132348963-132349057_132347983-132348356_132351606-132351753	H3.1 K28	inclusion	5
GUF1:44688007-44688146_44686509-44686713_44689285-44689409	H3.1 K28	inclusion	4
KANSL2:48662560-48662654_48660467-48660619_48667692-48667789	H3.1 K28	inclusion	7
PHLDB1:118613294-118613450_118607614-118607699_118613815-118613896	H3.1 K28	inclusion	5
ZNF827:145763090-145763122_145757626-145761598_145764987-145765165	H3.1 K28	inclusion	3
USP8:50484275-50484361_50481480-50482065_50489800-50489881	H3.1 K28	inclusion	4
IFT46:118557738-118557890_118556905-118557045_118559784-118559864	H3.1 K28	inclusion	6
ETNK1:22668598-22668700_22661062-22661205_22671271-22671355	H3.1 K28	inclusion	3
BBOF1:74022916-74023144_74019348-74019534_74029183-74029249	H3.1 K28	inclusion	3
MDM4:204537459-204537497_204532190-204532246_204538208-204538308	H3.1 K28	inclusion	6
DNAJC10:182739545-182739709_182736248-182736386_182740298-182740384	H3.1 K28	inclusion	5
SLC30A6:32177477-32177596_32175318-32175361_32184272-32184338	H3.1 K28	inclusion	4
SLMAP:57896247-57896371_57890040-57890100_57896510-57896591	H3.1 K28	inclusion	5
SNRPN:24967029-24967240_24962113-24962209_24967931-24968082	H3.1 K28	inclusion	4
DOCK9:98825872-98825975_98824397-98824504_98826829-98826887	H3.1 K28	inclusion	3
TCTN1:110628052-110628224_110626361-110626492_110628766-110628918	H3.1 K28	inclusion	5
SMURF2:64593991-64594104_64593439-64593573_64598381-64598490	H3.1 K28	inclusion	3
NUCB2:17291240-17291365_17282788-17282943_17295323-17295441	H3.1 K28	inclusion	4
NCOR1:16151590-16151616_16149450-16149517_16151945-16151998	H3.1 K28	inclusion	3
MYO5A:52331699-52331836_52330352-52330499_52336462-52336556	H3.1 K28	inclusion	3
DENND10:119105311-119105495_119104091-119104197_119107947-119108096	H3.1 K28	inclusion	3
DCAKD:45044391-45044664_45034773-45034999_45060887-45060995	H3.1 K28	inclusion	3
ACOT7:6282724-6282888_6281101-6281286_6294863-6294980	H3.1 K28	inclusion	3
LSP1P4:91654920-91654997_91617775-91618154_91655367-91655378	H3.1 K28	inclusion	3
PKIG:44598616-44598890_44589796-44589866_44614533-44614707	H3.1 K28	inclusion	3
PUF60:143827385-143827536_143824312-143824399_143829279-143829304	H3.1 K28	inclusion	3
MORF4L2:103684681-103684729_103678498-103678600_103685170-103685260	H3.1 K28	inclusion	4
CDK16:47222261-47222380_47218412-47218664_47223551-47223759	H3.1 K28	inclusion	5
ST3GAL3:43921443-43921638_43920781-43920928_43930131-43931057	H3.1 K28	inclusion	5
SRI:88214795-88214936_88210881-88210925_88217121-88217191	H3.1 K28	inclusion	4
PXYLP1:141262243-141262340_141260122-141260254_141278341-141278500	H3.1 K28	inclusion	5
MBNL2:97366459-97366553_97357481-97357635_97391321-97391599	H3.1 K28	inclusion	3
AKR1A1:45552436-45552563_45550542-45551155_45561788-45561878	H3.1 K28	inclusion	4
CTSB:11864376-11864463_11853328-11853479_11868000-11868040	H3.1 K28	inclusion	6
RBM23:22908333-22908380_22906027-22906368_22909482-22909595	H3.1 K28	inclusion	4
