splice_id	gene	histology
HNRNPK:83975462-83975505_83974516-83974589_83976994-83977051	HNRNPK	ATRT
CARD8:48221730-48221855_48215137-48215384_48230437-48230647	CARD8	ATRT
SECISBP2L:49019418-49019552_49017547-49017628_49027364-49027480	SECISBP2L	ATRT
SUZ12:31947617-31947685_31940421-31940486_31966146-31966196	SUZ12	ATRT
NCOA4:46016540-46016694_46015125-46015266_46030525-46030623	NCOA4	ATRT
SORBS1:95351209-95351376_95346405-95346452_95354881-95354967	SORBS1	ATRT
SORBS1:95351216-95351376_95346405-95346452_95354881-95354967	SORBS1	ATRT
SEMA6D:47767037-47767093_47766579-47766677_47768580-47768748	SEMA6D	ATRT
STAG3L5P-PVRIG2P-PILRB:100353373-100353483_100353209-100353270_100355142-100355240	PILRB	ATRT
GBA2:35741672-35741890_35740824-35741064_35744296-35744412	GBA2	ATRT
MANEAL:37796744-37796820_37795736-37795846_37799843-37801133	MANEAL	ATRT
ZFP69B:40454203-40454288_40450475-40451088_40456944-40457071	ZFP69B	ATRT
CHID1:893427-893519_884067-884169_899339-899401	CHID1	ATRT
EIF4G3:21001199-21001312_20997600-20997633_21002712-21002808	EIF4G3	ATRT
AKR1A1:45568485-45568684_45567981-45568177_45568926-45568999	AKR1A1	ATRT
NDUFS2:161203403-161203543_161201680-161202480_161206406-161206597	NDUFS2	ATRT
NDUFS2:161203437-161203543_161201665-161202480_161206406-161206593	NDUFS2	ATRT
R3HDM2:57289009-57289040_57283823-57284056_57295398-57295507	R3HDM2	ATRT
INO80E:30001414-30001530_30000928-30001040_30005220-30005791	INO80E	ATRT
CPT1C:49691821-49691953_49691115-49691340_49692238-49692393	CPT1C	ATRT
PILRB:100353895-100354012_100353209-100353270_100355142-100355240	PILRB	ATRT
METTL26:635518-635774_635280-635340_636093-636260	METTL26	ATRT
TMUB2:44189411-44189588_44188934-44189299_44190500-44191226	TMUB2	ATRT
TMUB2:44189424-44189588_44188850-44189299_44190500-44190553	TMUB2	ATRT
RALY:34031522-34031604_33993645-33994131_34072065-34072205	RALY	ATRT
EPB41L1:36214357-36214440_36212271-36212376_36218875-36218962	EPB41L1	ATRT
PUM1:30964674-30964910_30953713-30953981_30965981-30966197	PUM1	ATRT
C3orf18:50565466-50565861_50561721-50561747_50567462-50567665	C3orf18	ATRT
NENF:212442546-212442625_212432972-212433120_212444338-212444442	NENF	ATRT
METTL26:635518-635774_634736-634797_636093-636260	METTL26	ATRT
CACNG7:53941470-53941615_53915364-53915505_53942035-53942386	CACNG7	ATRT
FNTA:43064101-43064215_43056307-43056546_43069554-43069583	FNTA	ATRT
FEZ1:125448502-125448567_125442880-125446111_125452333-125452409	FEZ1	ATRT
MSI1:120351344-120351400_120347445-120347514_120353298-120353379	MSI1	ATRT
ABAT:8735699-8735809_8674616-8674711_8746000-8746025	ABAT	ATRT
RPS9:54206276-54206462_54201486-54201609_54207397-54207647	RPS9	ATRT
PPP1CA:67401068-67401199_67398939-67400919_67401727-67401788	PPP1CA	ATRT
UNC13A:17676012-17676041_17674656-17674756_17688177-17688326	UNC13A	ATRT
HMGA1:34237204-34237317_34236872-34236963_34240736-34240882	HMGA1	ATRT
ACSL3:222900674-222900780_222860984-222861258_222908732-222909036	ACSL3	ATRT
UFD1:19475068-19475100_19471686-19471808_19479082-19479172	UFD1	ATRT
DLG4:7191893-7192002_7191266-7191358_7192944-7193117	DLG4	ATRT
RBM4:66643450-66644140_66638934-66640123_66646026-66646452	RBM4	ATRT
FAM131A:184338387-184338529_184337310-184337371_184341723-184341817	FAM131A	ATRT
BLOC1S1:55716933-55717005_55716291-55716717_55719090-55719223	BLOC1S1	ATRT
MTCH2:47635545-47635571_47634671-47634734_47638698-47638791	MTCH2	ATRT
NFASC:204920632-204920740_204828650-204828782_204944225-204944406	NFASC	ATRT
CYRIB:129879389-129879471_129871374-129871496_129903311-129903350	CYRIB	ATRT
SDR39U1:24441674-24441795_24440203-24440926_24442177-24442260	SDR39U1	ATRT
SH3BP5:15256853-15257113_15254352-15256303_15258830-15258883	SH3BP5	ATRT
SIVA1:104755630-104755824_104753146-104753319_104756603-104756760	SIVA1	ATRT
PHC1:8933307-8933350_8932562-8932813_8933864-8933980	PHC1	ATRT
