SpliceID	dPSI	Uniprot	Type
ACAA1:38126161-38126700	-0.254	Mod	A5SS
AFDN:167965756-167966270	0.21	Mod	A5SS
AFDN:167965756-167966276	0.288	Mod	A5SS
ALDH3B1:68015296-68018637	0.148	Mod	A5SS
ANPEP:89804945-89805217	0.122	Mod	A5SS
BANP:87975047-87975207	0.463	Mod	A5SS
BECN1:42823704-42823879	-0.23	Mod	A5SS
BLVRB:40458173-40458545	-0.109	Mod	A5SS
C19orf54:40742398-40742770	-0.151	Mod	A5SS
CASP8:201276826-201277104	0.119	Mod	A5SS
CD74:150405084-150406321	0.22	Mod	A5SS
CD74:150405084-150406321	0.5	Mod	A5SS
CDK18:205523482-205523715	-0.101	Mod	A5SS
CLK4:178617343-178618778	-0.601	Mod	A5SS
DDX56:44572562-44572744	0.605	Mod	A5SS
DNAJC11:6652828-6654039	-0.158	Mod	A5SS
ERBB2:39706989-39707204	-0.252	Mod	A5SS
ESAM:124754629-124754763	0.3	Mod	A5SS
ETF1:138542633-138542936	0.119	Mod	A5SS
EWSR1:29288605-29291599	-0.117	Mod	A5SS
EZH2:148846469-148846598	-0.15	Mod	A5SS
FCGRT:49513881-49514486	0.165	Mod	A5SS
FHIP1B:6218557-6218763	0.112	Mod	A5SS
HNRNPA1:54282572-54282662	0.395	Mod	A5SS
HNRNPA1:54282572-54282665	0.395	Mod	A5SS
HNRNPA2B1:26190992-26192577	0.136	Mod	A5SS
ITGA6:172489484-172489658	-0.108	Mod	A5SS
KLC1:103679383-103679545	-0.114	Mod	A5SS
LARP7:112644667-112644871	0.171	Mod	A5SS
MID1:10566887-10567603	-0.117	Mod	A5SS
NCL:231458265-231459125	0.133	Mod	A5SS
NFKBIL1:31557627-31557849	0.16	Mod	A5SS
NMT1:45081643-45081995	-0.276	Mod	A5SS
P4HTM:49002499-49006187	-0.188	Mod	A5SS
PARD3:34347955-34348115	-0.183	Mod	A5SS
PIGA:15331819-15331992	0.108	Mod	A5SS
PIGT:45416516-45418979	0.313	Mod	A5SS
PLEKHH3:42669917-42670376	-0.158	Mod	A5SS
PLSCR1:146521543-146522053	0.161	Mod	A5SS
PPARGC1A:23831495-23831751	0.11	Mod	A5SS
PPIG:169630773-169631933	-0.186	Mod	A5SS
PUM1:31059203-31059577	0.119	Mod	A5SS
RAD51AP1:4543762-4543911	-0.146	Mod	A5SS
RAD51C:58692601-58693650	0.15	Mod	A5SS
RANBP3:5931403-5931531	0.15	Mod	A5SS
RMND5B:178138107-178138396	0.162	Mod	A5SS
RPL35A:197951158-197951328	-0.154	Mod	A5SS
SCARB1:124807760-124807927	0.126	Mod	A5SS
SGO1:20174248-20175055	-0.312	Mod	A5SS
SLC9A3-AS1:477243-477465	0.113	Mod	A5SS
ST3GAL3:43899167-43899289	0.185	Mod	A5SS
SYNCRIP:85614980-85615347	-0.115	Mod	A5SS
TACC1:38827167-38827375	-0.269	Mod	A5SS
TLE3:70057458-70057658	-0.242	Mod	A5SS
TMEM199:28357646-28357905	-0.738	Mod	A5SS
TMEM231:75542554-75542683	0.128	Mod	A5SS
TMEM94:75491690-75491900	-0.112	Mod	A5SS
TMF1:69047348-69048562	-0.404	Mod	A5SS
USP19:49116720-49116943	-0.146	Mod	A5SS
ZNF652:49316825-49317983	0.139	Mod	A5SS
ABHD11:73737220-73737735	0.101	Other	A5SS
AFDN:167965756-167966270	0.21	Other	A5SS
AFDN:167965756-167966276	0.288	Other	A5SS
ALDH3B1:68015296-68018637	0.148	Other	A5SS
AMPH:38427837-38429285	0.287	Other	A5SS
ANPEP:89804945-89805217	0.122	Other	A5SS
ATXN2:111485264-111485331	-0.266	Other	A5SS
ATXN2L:28835932-28836176	-0.153	Other	A5SS
