SpliceID	Histology
TNFRSF1B:12188796-12188895_12166990-12167169_12190956-12191085	Atypical Teratoid Rhabdoid Tumor
WASHC4:105111125-105111264_105107713-105107861_105114215-105114269	Atypical Teratoid Rhabdoid Tumor
ERO1A:52661293-52661304_52658123-52658150_52663800-52663847	Atypical Teratoid Rhabdoid Tumor
PABPC1L:44938674-44938748_44938044-44938191_44939125-44939184	Atypical Teratoid Rhabdoid Tumor
MRTO4:19254782-19254840_19251804-19251863_19255947-19256051	Atypical Teratoid Rhabdoid Tumor
SMOX:4182089-4182323_4181802-4181976_4182482-4182848	Atypical Teratoid Rhabdoid Tumor
SLC30A9:42075657-42075786_42070525-42070691_42078211-42078325	Atypical Teratoid Rhabdoid Tumor
HDAC11:13496736-13496852_13483463-13483564_13500712-13500789	Atypical Teratoid Rhabdoid Tumor
RPS6KC1:213232123-213232255_213176399-213176492_213240701-213242297	Atypical Teratoid Rhabdoid Tumor
GTF2A2:59652206-59652326_59650668-59650773_59657405-59657515	Atypical Teratoid Rhabdoid Tumor
XPO1:61501996-61502040_61499712-61499894_61522610-61522683	Atypical Teratoid Rhabdoid Tumor
PIWIL2:22354271-22354378_22352798-22353212_22355348-22355516	Atypical Teratoid Rhabdoid Tumor
WSCD1:6109607-6109766_6095101-6095223_6117987-6118188	Atypical Teratoid Rhabdoid Tumor
CYBC1:82449170-82449292_82446622-82446696_82450699-82450717	Atypical Teratoid Rhabdoid Tumor
DBR1:138163778-138163858_138163348-138163494_138167080-138167305	Atypical Teratoid Rhabdoid Tumor
PHACTR4:28457832-28457855_28407409-28407463_28459084-28459258	Atypical Teratoid Rhabdoid Tumor
RELB:45009814-45009822_45002948-45002996_45011935-45012229	Atypical Teratoid Rhabdoid Tumor
PLCH1:155504555-155504626_155500702-155500794_155514722-155514884	Atypical Teratoid Rhabdoid Tumor
UNC13A:17620693-17620722_17618905-17618962_17624828-17624952	Atypical Teratoid Rhabdoid Tumor
CLK2:155266729-155266895_155264644-155264774_155268009-155268126	Atypical Teratoid Rhabdoid Tumor
TMEM145:42317709-42317881_42316869-42316963_42320316-42320437	Atypical Teratoid Rhabdoid Tumor
WDR35:19960554-19960614_19953833-19953978_19966723-19966909	Atypical Teratoid Rhabdoid Tumor
SPAG17:117981270-117981401_117973424-117973561_117983810-117983913	Atypical Teratoid Rhabdoid Tumor
CRACR2B:830866-831032_830484-830713_831223-831295	Atypical Teratoid Rhabdoid Tumor
COL23A1:178256866-178256928_178256352-178256397_178257522-178257567	Atypical Teratoid Rhabdoid Tumor
LRRC9:59960914-59961045_59959817-59960014_59966588-59966765	Atypical Teratoid Rhabdoid Tumor
ENSG00000225689:129121151-129121238_129116609-129116723_129122117-129122193	Atypical Teratoid Rhabdoid Tumor
DPY19L4:94765711-94765809_94765182-94765314_94766611-94766685	Atypical Teratoid Rhabdoid Tumor
ENSG00000173727:65455437-65455581_65455256-65455331_65466084-65466720	Atypical Teratoid Rhabdoid Tumor
ZNF213:3138745-3138818_3138353-3138541_3140688-3141779	Atypical Teratoid Rhabdoid Tumor
AK2:33031544-33031661_33021592-33021703_33036735-33036902	Atypical Teratoid Rhabdoid Tumor
FAM13C:59264085-59264166_59253716-59254443_59268552-59268691	Atypical Teratoid Rhabdoid Tumor
CASP8AP2:89846562-89846644_89829899-89830067_89853165-89853234	Atypical Teratoid Rhabdoid Tumor
ZNF444:56142276-56142386_56141726-56141794_56146246-56146420	Atypical Teratoid Rhabdoid Tumor
RGS8:182669624-182669752_182666871-182666973_182671656-182671730	Atypical Teratoid Rhabdoid Tumor
MOB4:197523624-197523686_197516065-197516146_197540110-197540153	Atypical Teratoid Rhabdoid Tumor
PAAF1:73909399-73909593_73900269-73900420_73914412-73914447	Atypical Teratoid Rhabdoid Tumor
VIRMA:94534839-94535007_94530962-94531085_94537102-94537151	Atypical Teratoid Rhabdoid Tumor
IPO11:62601764-62601848_62591576-62591672_62627153-62627569	Atypical Teratoid Rhabdoid Tumor
ANKIB1:92392241-92392292_92391165-92391344_92396364-92396476	Atypical Teratoid Rhabdoid Tumor
ABCC1:16014491-16014628_16009775-16009901_16033108-16033170	Atypical Teratoid Rhabdoid Tumor
TVP23C-CDRT4:15440208-15440285_15436020-15438200_15545784-15545916	Atypical Teratoid Rhabdoid Tumor
CCNY:35483404-35483478_35336508-35337207_35501500-35501535	Atypical Teratoid Rhabdoid Tumor
EXD3:137354567-137354773_137354338-137354377_137356267-137356368	Atypical Teratoid Rhabdoid Tumor
DGKB:14607434-14607508_14583051-14583137_14613339-14613413	Atypical Teratoid Rhabdoid Tumor
NTNG1:107324282-107324922_107148068-107148839_107395153-107395326	Atypical Teratoid Rhabdoid Tumor
RALGPS2:178906776-178906867_178902105-178902211_178916329-178916375	Atypical Teratoid Rhabdoid Tumor
MROH7-TTC4:54733629-54733710_54731485-54731700_54737581-54737664	Atypical Teratoid Rhabdoid Tumor
ZNF573:37771564-37771690_37770004-37770097_37773660-37773751	Atypical Teratoid Rhabdoid Tumor
SLC4A11:3230732-3230845_3230514-3230647_3230932-3231058	Atypical Teratoid Rhabdoid Tumor
CCNI:77066249-77066405_77058506-77058635_77075471-77075693	Atypical Teratoid Rhabdoid Tumor
ARHGEF1:41892025-41892123_41888751-41888865_41892330-41892373	Atypical Teratoid Rhabdoid Tumor
EIF3I:32226171-32226320_32222439-32222630_32228498-32228609	Atypical Teratoid Rhabdoid Tumor
HMGN1:39345830-39345958_39345145-39345274_39347246-39347292	Atypical Teratoid Rhabdoid Tumor
RIN2:19964952-19965024_19960699-19960811_19970837-19970929	Atypical Teratoid Rhabdoid Tumor
PRRC2A:31622727-31622901_31620719-31620858_31623731-31623909	Atypical Teratoid Rhabdoid Tumor
HSD17B14:48832666-48832752_48815036-48815141_48834275-48834358	Atypical Teratoid Rhabdoid Tumor
ENSG00000255339:100509316-100509511_100509006-100509102_100516095-100516219	Atypical Teratoid Rhabdoid Tumor
TSPAN31:57745745-57745873_57745022-57745217_57746588-57748205	Atypical Teratoid Rhabdoid Tumor
UBXN1:62676813-62677005_62676498-62676639_62677517-62677634	Atypical Teratoid Rhabdoid Tumor
LETMD1:51056144-51056245_51053777-51053860_51056349-51056428	Atypical Teratoid Rhabdoid Tumor
LETMD1:51056150-51056245_51053777-51053860_51056349-51056502	Atypical Teratoid Rhabdoid Tumor
AXL:41221146-41221246_41220635-41220858_41221879-41221996	Atypical Teratoid Rhabdoid Tumor
FKBP8:18539371-18539459_18538215-18538436_18541678-18541995	Atypical Teratoid Rhabdoid Tumor
TSPAN12:120815729-120815803_120810462-120810570_120838776-120838797	Atypical Teratoid Rhabdoid Tumor
SETD2:47126648-47126663_47120181-47124548_47163853-47164113	Atypical Teratoid Rhabdoid Tumor
ZNF43:21819095-21819221_21817887-21817986_21851904-21852068	Atypical Teratoid Rhabdoid Tumor
THADA:43560234-43560385_43556092-43556555_43566697-43566821	Atypical Teratoid Rhabdoid Tumor
CRAT:129109179-129109277_129107813-129108077_129110482-129110545	Atypical Teratoid Rhabdoid Tumor
MUC20-OT1:195708429-195708513_195708133-195708268_195708746-195708807	Atypical Teratoid Rhabdoid Tumor
MIPOL1:37219553-37219691_37197912-37198104_37247102-37247240	Atypical Teratoid Rhabdoid Tumor
SPAG17:118099606-118099800_118097669-118097851_118101739-118101926	Atypical Teratoid Rhabdoid Tumor
TACC2:122132609-122132734_122088477-122088591_122195039-122195176	Atypical Teratoid Rhabdoid Tumor
ADAM23:206562203-206562293_206561127-206561212_206565019-206565068	Atypical Teratoid Rhabdoid Tumor
VPS11:119071596-119071843_119070233-119070397_119073197-119073399	Atypical Teratoid Rhabdoid Tumor
CIAO1:96269268-96269355_96268456-96268658_96271110-96274173	Atypical Teratoid Rhabdoid Tumor
DECR1:90036841-90036940_90020908-90021056_90042727-90042748	Atypical Teratoid Rhabdoid Tumor
BMP2K:78847188-78847269_78844927-78845049_78850923-78851056	Atypical Teratoid Rhabdoid Tumor
CCSER2:84438512-84438707_84425730-84425893_84463932-84463945	Atypical Teratoid Rhabdoid Tumor
BTAF1:91939952-91940066_91935656-91935780_91951402-91951566	Atypical Teratoid Rhabdoid Tumor
TSPOAP1:58326293-58326421_58324810-58325002_58327587-58328760	Atypical Teratoid Rhabdoid Tumor
STYXL1:76021851-76021992_76013741-76013887_76028641-76028671	Atypical Teratoid Rhabdoid Tumor
ADAM23:206530885-206530948_206481231-206481308_206542051-206542134	Atypical Teratoid Rhabdoid Tumor
CIT:119803206-119803389_119784188-119785065_119822819-119822973	Atypical Teratoid Rhabdoid Tumor
CFAP46:132909137-132909244_132908347-132908634_132909918-132910068	Atypical Teratoid Rhabdoid Tumor
ALDH4A1:18886464-18886511_18885472-18885628_18889361-18889454	Atypical Teratoid Rhabdoid Tumor
CAMK2G:73847988-73848082_73847224-73847347_73848525-73848609	Atypical Teratoid Rhabdoid Tumor
EIF3B:2371777-2371849_2369471-2369682_2372672-2372795	Atypical Teratoid Rhabdoid Tumor
CASC15:21978945-21979062_21909469-21909603_22056545-22056690	Atypical Teratoid Rhabdoid Tumor
DMKN:35506126-35506185_35505938-35505986_35508204-35508240	Atypical Teratoid Rhabdoid Tumor
CLDND1:98521133-98521442_98518734-98518995_98522848-98522875	Atypical Teratoid Rhabdoid Tumor
KIRREL2:35862493-35862597_35861804-35862024_35862926-35863036	Atypical Teratoid Rhabdoid Tumor
HHLA3:70366146-70366328_70354797-70355208_70366443-70366537	Atypical Teratoid Rhabdoid Tumor
FCHSD2:72841454-72841583_72840876-72840959_72843150-72843328	Atypical Teratoid Rhabdoid Tumor
RNF138:32123518-32123574_32092689-32092886_32126692-32126800	Atypical Teratoid Rhabdoid Tumor
CES4A:67006391-67006519_67005239-67005393_67008973-67009739	Atypical Teratoid Rhabdoid Tumor
PAIP1:43533738-43533792_43529785-43529879_43534852-43534970	Atypical Teratoid Rhabdoid Tumor
MDM2:68835829-68835984_68828770-68828931_68839273-68839314	Atypical Teratoid Rhabdoid Tumor
TSPAN2:115053379-115053462_115048010-115050555_115057536-115057608	Atypical Teratoid Rhabdoid Tumor
TRAPPC9:140435112-140435240_140405576-140405698_140439051-140439197	Atypical Teratoid Rhabdoid Tumor
PTPRO:15501620-15502063_15499441-15499594_15503907-15504069	Atypical Teratoid Rhabdoid Tumor
CSNK1G3:123595039-123595134_123591318-123591414_123604723-123604830	Atypical Teratoid Rhabdoid Tumor
OBSCN:228299259-228299522_228298453-228298717_228299881-228300145	Atypical Teratoid Rhabdoid Tumor
PSAP:71828014-71828157_71825836-71825893_71828876-71829077	Atypical Teratoid Rhabdoid Tumor
SLC13A4:135721395-135721523_135707436-135708250_135727397-135727624	Atypical Teratoid Rhabdoid Tumor
ZNF510:96774788-96774846_96763505-96763632_96775999-96776245	Atypical Teratoid Rhabdoid Tumor
SUOX:55997615-55997723_55997258-55997339_55999332-55999458	Atypical Teratoid Rhabdoid Tumor
KIF1C:5000220-5000352_4999849-4999970_5000771-5000848	Atypical Teratoid Rhabdoid Tumor
JOSD2:50507574-50507699_50506377-50506572_50511116-50511162	Atypical Teratoid Rhabdoid Tumor
TTLL12:43182980-43183149_43180741-43180940_43186892-43187134	Atypical Teratoid Rhabdoid Tumor
RIMS1:72252761-72252832_72251214-72251368_72258124-72258281	Atypical Teratoid Rhabdoid Tumor
PLOD2:146077862-146077924_146073286-146073352_146079115-146079257	Atypical Teratoid Rhabdoid Tumor
TTLL9:31919864-31919932_31909736-31909922_31922962-31923053	Atypical Teratoid Rhabdoid Tumor
ABI1:26768852-26768992_26765217-26765318_26770244-26770345	Atypical Teratoid Rhabdoid Tumor
CHD8:21391463-21391642_21390946-21391063_21391832-21391946	Atypical Teratoid Rhabdoid Tumor
ALKBH6:36010894-36011077_36010566-36010683_36011403-36011464	Atypical Teratoid Rhabdoid Tumor
NCOR1:16067894-16068121_16065484-16065694_16070164-16070525	Atypical Teratoid Rhabdoid Tumor
VIT:36775002-36775067_36773790-36773847_36783339-36783402	Atypical Teratoid Rhabdoid Tumor
CPNE5:36753034-36753095_36748220-36748267_36756244-36756298	Atypical Teratoid Rhabdoid Tumor
