SpliceID	dPSI	Uniprot	Type
ABHD17B:71866798-71867006	0.166	Mod	SE
ABI1:26770244-26770345	0.186	Mod	SE
ACHE:100892333-100892554	-0.118	Mod	SE
ACHE:100892333-100892643	-0.118	Mod	SE
ACHE:100892333-100892818	-0.115	Mod	SE
ACTN4:38710256-38710342	0.239	Mod	SE
ADAMTS10:8585455-8585660	-0.272	Mod	SE
ADCY7:50310686-50310880	0.15	Mod	SE
ADCY9:3974668-3974710	-0.188	Mod	SE
ADD3:110132304-110132400	0.211	Mod	SE
ADGRB3:69062933-69063036	0.135	Mod	SE
ADGRE5:14397076-14397223	-0.163	Mod	SE
AFDN:167965756-167966276	0.102	Mod	SE
AGFG2:100553346-100553500	-0.34	Mod	SE
AGTPBP1:85575314-85575475	-0.179	Mod	SE
AKR1A1:45568484-45568684	-0.67	Mod	SE
AKT1S1:49872916-49873302	-0.248	Mod	SE
AKT2:40236237-40236385	0.105	Mod	SE
ALX1:85283571-85283876	0.119	Mod	SE
ANKS3:4726978-4727177	-0.578	Mod	SE
ANKS6:98790103-98790606	-0.184	Mod	SE
ANPEP:89804945-89805217	-0.229	Mod	SE
ANPEP:89805077-89805217	-0.191	Mod	SE
APBA3:3759688-3760301	0.101	Mod	SE
ARHGAP17:24939363-24939597	-0.167	Mod	SE
ARHGAP17:24939363-24939597	-0.336	Mod	SE
ARID5B:62057116-62057318	-0.21	Mod	SE
ARMC6:19042710-19042877	0.306	Mod	SE
ARSD:2910658-2910793	-0.383	Mod	SE
ASAP1:130091972-130092143	0.107	Mod	SE
ASIC3:151051171-151051319	-0.16	Mod	SE
ATG9A:219227921-219228053	-0.199	Mod	SE
ATG9A:219227921-219228079	-0.374	Mod	SE
ATP11C:139731650-139731755	-0.136	Mod	SE
ATP5MF-PTCD1:99460085-99460193	-0.229	Mod	SE
ATP7A:78029249-78029444	0.17	Mod	SE
ATXN2:111510384-111510444	0.362	Mod	SE
B4GALNT1:57631199-57631364	0.101	Mod	SE
BABAM1:17268755-17269091	-0.217	Mod	SE
BCAS3:61368326-61368494	-0.128	Mod	SE
BCL2L12:49667018-49667161	0.234	Mod	SE
BCL2L12:49667021-49667161	0.261	Mod	SE
BCLAF1:136267028-136267175	-0.121	Mod	SE
BIRC5:78215965-78216781	-0.208	Mod	SE
BMP7:57183721-57183919	0.239	Mod	SE
BNC2:16435554-16437524	0.108	Mod	SE
BNIP2:59679591-59679768	-0.377	Mod	SE
BRPF1:9744223-9744541	0.118	Mod	SE
CAMK2G:73819531-73819617	0.125	Mod	SE
CAMK2G:73819531-73819645	0.131	Mod	SE
CAMK2G:73825278-73825347	0.198	Mod	SE
CAMK2G:73828088-73828121	-0.189	Mod	SE
CASP8:201272897-201272942	0.24	Mod	SE
CASP8:201272897-201272942	0.494	Mod	SE
CASP8:201274888-201274953	0.247	Mod	SE
CAST:96729611-96729725	0.315	Mod	SE
CC2D1B:52357000-52357126	-0.18	Mod	SE
CC2D1B:52357000-52357174	-0.226	Mod	SE
CCDC18:93183977-93184146	0.159	Mod	SE
CCDC28B:32204185-32204379	0.196	Mod	SE
CCNYL1:207733946-207734047	-0.405	Mod	SE
CD44:35201667-35201787	0.113	Mod	SE
CD44:35201667-35201787	-0.205	Mod	SE
CD44:35201670-35201787	0.106	Mod	SE
CD44:35201670-35201787	-0.236	Mod	SE
CD74:150403120-150403312	-0.153	Mod	SE
CD74:150403120-150403312	-0.763	Mod	SE
CD74:150403120-150404767	-0.156	Mod	SE
CD74:150403120-150404767	-0.593	Mod	SE
CD74:150404679-150404767	-0.277	Mod	SE
CDC25A:48180720-48180840	-0.174	Mod	SE
CDC25C:138330986-138331214	0.125	Mod	SE
CDC27:47157229-47157384	0.243	Mod	SE
CDC42SE2:131385542-131385644	-0.118	Mod	SE
CDCA3:6849322-6849413	0.163	Mod	SE
CDK4:57750922-57751090	-0.323	Mod	SE
CDK5:151055531-151055606	-0.27	Mod	SE
CDKL3:134350248-134350427	0.161	Mod	SE
CDON:126018336-126018473	0.195	Mod	SE
CEACAM1:42518947-42519235	0.233	Mod	SE
CEP128:80497468-80497582	0.177	Mod	SE
CEP164:117382795-117382942	0.273	Mod	SE
CEP170:243185778-243186072	0.119	Mod	SE
CFAP36:55537482-55537585	-0.168	Mod	SE
CFHR2:196950851-196951028	0.392	Mod	SE
CHL1:390700-390816	-0.835	Mod	SE
CLASRP:45068419-45068480	-0.203	Mod	SE
CLEC18B:74418058-74418298	0.279	Mod	SE
CLK1:200860124-200860215	-0.525	Mod	SE
CLK4:178617343-178617434	-0.374	Mod	SE
CLTCL1:19208153-19208311	-0.526	Mod	SE
CNNM1:99388151-99388301	0.295	Mod	SE
CNNM1:99388151-99388301	0.333	Mod	SE
CNOT2:70329422-70329570	-0.334	Mod	SE
CNTNAP3:39149805-39149977	0.12	Mod	SE
COBLL1:164722424-164722522	-0.255	Mod	SE
COBLL1:164722424-164722522	-0.369	Mod	SE
COBLL1:164729913-164730115	-0.601	Mod	SE
COL9A3:62836186-62836333	0.268	Mod	SE
COQ4:128325778-128325881	-0.139	Mod	SE
