splice_id	gene	histology
TMEM164:110003883-110004164_110002686-110002772_110067346-110067396	TMEM164	ATRT
PDE9A:42731770-42731949_42698967-42699011_42732069-42732124	PDE9A	ATRT
HNRNPA2B1:26191422-26191650_26190992-26191128_26192494-26192577	HNRNPA2B1	ATRT
NFIB:14112999-14113081_14081847-14088326_14120439-14120624	NFIB	ATRT
RBM4B:66666272-66666493_66665547-66665578_66668614-66668685	RBM4B	ATRT
PPP1R12B:202445046-202445228_202442446-202442572_202448988-202449097	PPP1R12B	ATRT
AP1S2:15831452-15831568_15826932-15827372_15845378-15845516	AP1S2	ATRT
PACRG:163312779-163312895_163089258-163089408_163314826-163315491	PACRG	ATRT
TMEM248:66922149-66922246_66921231-66921461_66941847-66942024	TMEM248	ATRT
NDE1:15699729-15699854_15696708-15696860_15724190-15724222	NDE1	ATRT
USP33:77745421-77745599_77741616-77741748_77759642-77759852	USP33	ATRT
MYO10:16738136-16738398_16711159-16711245_16741803-16741880	MYO10	ATRT
SNHG8:118278934-118279137_118278754-118278792_118279388-118279431	SNHG8	ATRT
SNHG8:118278966-118279137_118278757-118278792_118279388-118279431	SNHG8	ATRT
TPM1:63065896-63066085_63062575-63062645_63069869-63070314	TPM1	ATRT
TMEM94:75457294-75457477_75456649-75456751_75471799-75471929	TMEM94	ATRT
APTX:32997243-32997348_32989758-32989895_33001566-33001583	APTX	ATRT
C12orf76:110044420-110044533_110042280-110042459_110048362-110048565	C12orf76	ATRT
FAM3A:154512314-154512411_154511847-154511871_154512822-154512936	FAM3A	ATRT
FAM3A:154512314-154512431_154511867-154511871_154512822-154512936	FAM3A	ATRT
NPAS3:33055905-33055994_32939316-32939366_33215181-33215426	NPAS3	ATRT
CCNDBP1:43194081-43194137_43192742-43192803_43194414-43194461	CCNDBP1	ATRT
COG4:70515868-70516040_70514334-70514509_70517625-70517740	COG4	ATRT
TCF7L2:113089397-113089540_113040024-113040126_113141183-113141316	TCF7L2	ATRT
TCF7L2:113089400-113089540_113040024-113040126_113141183-113141316	TCF7L2	ATRT
OPA1:193626092-193626202_193618702-193618936_193631611-193631665	OPA1	ATRT
ARMC10:103075777-103075881_103074880-103075411_103083681-103083830	ARMC10	ATRT
ZNF138:64814918-64815044_64794387-64794571_64831450-64832242	ZNF138	ATRT
MSI2:57259977-57260054_57258269-57258354_57262150-57262192	MSI2	ATRT
ENSG00000285791:66453710-66453840_66451952-66452105_66454058-66454157	ENSG00000285791	ATRT
PLXDC1:39079502-39079528_39079103-39079164_39083458-39083540	PLXDC1	ATRT
CADM2:85979164-85979283_85961468-85961647_86065604-86065730	CADM2	ATRT
BCAP31:153723508-153723612_153723152-153723288_153724333-153724435	BCAP31	ATRT
HMGN1:39347379-39347478_39345829-39345958_39348291-39348339	HMGN1	ATRT
CTSB:11864376-11864463_11853328-11853479_11868000-11868040	CTSB	ATRT
TFPI:187513616-187513646_187503647-187503770_187554199-187554431	TFPI	ATRT
GTF2H2C:69562673-69562770_69560190-69560403_69565099-69565133	GTF2H2C	ATRT
ENSG00000266865:31033295-31033365_31032425-31032506_31033923-31034162	ENSG00000266865	ATRT
GALNT11:152079287-152079408_152025797-152025884_152094189-152094522	GALNT11	ATRT
TRIM16:15682854-15682964_15680864-15680953_15683035-15683157	TRIM16	ATRT
TRIM16:15682861-15682951_15680864-15680953_15683035-15683157	TRIM16	ATRT
PDZD2:32100862-32100963_32098596-32098634_32101104-32101239	PDZD2	ATRT
FKTN:105574198-105574332_105573654-105573746_105574944-105575018	FKTN	ATRT
FAM222B:28790378-28790425_28766585-28766707_28834292-28834326	FAM222B	ATRT
DISP1:222928430-222928570_222899780-222899865_222942806-222943332	DISP1	ATRT
MIR100HG:122100374-122100406_122089116-122091719_122101446-122101783	MIR100HG	ATRT
RABGAP1L:174877392-174877605_174811831-174811960_174957456-174957549	RABGAP1L	ATRT
ENSG00000232759:22564966-22565152_22563336-22563430_22571774-22572013	ENSG00000232759	ATRT
DMD:31177932-31177970_31173538-31173604_31178668-31178805	DMD	ATRT
VSIG10:118121501-118121618_118117666-118117882_118126480-118126670	VSIG10	ATRT
RTN2:45493160-45493378_45489345-45489553_45494165-45494420	RTN2	ATRT
ZNF343:2486641-2486763_2481822-2484656_2492698-2492825	ZNF343	ATRT
F3:94540572-94541066_94540256-94540368_94541536-94541759	F3	ATRT
SH3BGRL:81202437-81202576_81202127-81202245_81276983-81277169	SH3BGRL	ATRT
UGP2:63842059-63842204_63840953-63841232_63856305-63856433	UGP2	ATRT
FAM221A:23698192-23698299_23691389-23691596_23700785-23700868	FAM221A	ATRT
FN1:215392931-215393203_215391631-215391814_215394527-215394719	FN1	ATRT
TTI1:38019005-38019144_38011514-38013857_38033403-38033461	TTI1	ATRT
TPP2:102616956-102617051_102616395-102616500_102618721-102618846	TPP2	ATRT
ABCA11P:437446-437511_425814-426973_472574-472701	ABCA11P	ATRT
AOPEP:95085930-95086119_95082574-95082719_95086681-95086841	AOPEP	ATRT
HSPA12A:116835198-116835257_116834934-116835022_116849565-116849701	HSPA12A	ATRT
TBC1D15:71894325-71894375_71893221-71893324_71894685-71894883	TBC1D15	ATRT
NRG1:32614514-32614564_32605561-32605683_32727948-32728078	NRG1	ATRT
TFPI:187513616-187513646_187503647-187503770_187529363-187529485	TFPI	ATRT
NPTN:73597022-73597369_73591965-73592137_73633124-73633244	NPTN	MB
JKAMP:59484990-59485116_59484442-59484593_59486712-59486804	JKAMP	MB
FRMD4A:13651903-13651974_13643705-13647035_13654415-13654512	FRMD4A	MB
CDCA7:173359255-173359491_173358711-173358837_173363225-173363462	CDCA7	MB
CDCA7:173359343-173359491_173358711-173358837_173363225-173363462	CDCA7	MB
PI4KB:151324745-151324917_151315572-151316509_151327270-151327377	PI4KB	MB
TAFAZZIN:154414101-154414190_154413481-154413567_154419542-154419623	TAFAZZIN	MB
MBD2:54187714-54187837_54166075-54166166_54188873-54189011	MBD2	MB
ALAS1:52198672-52198848_52198093-52198255_52199209-52199440	ALAS1	MB
RACK1:181243286-181243405_181242173-181242345_181243691-181243904	RACK1	MB
ABLIM1:114453379-114453483_114451623-114451671_114465697-114465827	ABLIM1	MB
BPTF:67928959-67929120_67928354-67928601_67929335-67929487	BPTF	MB
NFIX:13087989-13088136_13081679-13081855_13090298-13090390	NFIX	MB
SSBP3:54258069-54258149_54257126-54257186_54281437-54281527	SSBP3	MB
EXOC7:76090329-76090397_76089174-76089320_76094413-76094581	EXOC7	MB
ZFYVE21:103729793-103729846_103729090-103729182_103732619-103732762	ZFYVE21	MB
